"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
43,"N",2,"E",1,0,-1,0.999525504125125,-1.00047472112809
43,"N",8,"E",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",9,"E",1,0,-1,0.999525504125125,-1.00047472112809
43,"N",10,"E",0,0,0,0,NA
42,"N",15,"W",1,0,-1,0.999525504125125,-1.00047472112809
34,"N",3,"W",3,0,-3,1.7295840831163,-1.73452105005193
42,"N",14,"W",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",13,"W",0,0,0,0,NA
42,"N",12,"W",3,0,-3,1.7295840831163,-1.73452105005193
42,"N",11,"W",2,0,-2,1.41287116666253,-1.4155572335193
42,"N",10,"W",4,0,-4,1.9962013261055,-2.0038059025859
42,"N",9,"W",5,0,-5,2.23075790594018,-2.24139068909528
42,"N",8,"W",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",7,"W",2,0,-2,1.41287116666253,-1.4155572335193
42,"N",6,"W",2,0,-2,1.41287116666253,-1.4155572335193
42,"N",5,"W",4,0,-4,1.9962013261055,-2.0038059025859
42,"N",10,"E",4,0,-4,1.9962013261055,-2.0038059025859
42,"N",4,"W",2,0,-2,1.41287116666253,-1.4155572335193
42,"N",11,"E",3,0,-3,1.7295840831163,-1.73452105005193
42,"N",9,"E",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",3,"W",3,0,-3,1.7295840831163,-1.73452105005193
42,"N",2,"W",3,3,0,1.7295840831163,0
42,"N",8,"E",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",1,"W",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",7,"E",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",6,"E",3,0,-3,1.7295840831163,-1.73452105005193
42,"N",5,"E",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",4,"E",0,0,0,0,NA
42,"N",2,"E",4,0,-4,1.9962013261055,-2.0038059025859
42,"N",3,"E",2,0,-2,1.41287116666253,-1.4155572335193
42,"N",1,"E",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",12,"E",0,0,0,0,NA
42,"N",16,"W",0,0,0,0,NA
41,"N",16,"W",1,0,-1,0.999525504125125,-1.00047472112809
41,"N",15,"W",5,0,-5,2.23075790594018,-2.24139068909528
41,"N",14,"W",0,0,0,0,NA
41,"N",13,"W",3,0,-3,1.7295840831163,-1.73452105005193
41,"N",12,"W",4,0,-4,1.9962013261055,-2.0038059025859
41,"N",11,"W",0,0,0,0,NA
41,"N",10,"W",1,0,-1,0.999525504125125,-1.00047472112809
41,"N",9,"W",4,0,-4,1.9962013261055,-2.0038059025859
41,"N",8,"W",1,0,-1,0.999525504125125,-1.00047472112809
42,"N",13,"E",0,0,0,0,NA
41,"N",7,"W",2,5,3,1.41287116666253,2.12333585027895
41,"N",6,"W",1,0,-1,0.999525504125125,-1.00047472112809
41,"N",13,"E",0,0,0,0,NA
41,"N",12,"E",3,0,-3,1.7295840831163,-1.73452105005193
41,"N",5,"W",2,0,-2,1.41287116666253,-1.4155572335193
41,"N",11,"E",3,0,-3,1.7295840831163,-1.73452105005193
41,"N",10,"E",2,0,-2,1.41287116666253,-1.4155572335193
41,"N",1,"W",4,0,-4,1.9962013261055,-2.0038059025859
41,"N",4,"W",1,0,-1,0.999525504125125,-1.00047472112809
41,"N",3,"W",0,0,0,0,NA
41,"N",2,"W",7,0,-7,2.63695097346019,-2.65458101817291
41,"N",9,"E",7,0,-7,2.63695097346019,-2.65458101817291
41,"N",8,"E",5,0,-5,2.23075790594018,-2.24139068909528
41,"N",7,"E",3,0,-3,1.7295840831163,-1.73452105005193
41,"N",6,"E",0,0,0,0,NA
