"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
44,"N",3,"W",1,0,-1,0.999708242152798,-1.00029184299469,1571,55276.06296,-191239691.2
44,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469,1573,55569.91051,-193821624.7
44,"N",2,"W",4,2,-2,1.99766491455695,-1.00116890747094,1569,55241.30728,-190781179.9
44,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208,1567,55712.96934,-194229210.8
44,"N",1,"E",3,0,-3,1.73053434662654,-1.73356859738041,1566,55520.52803,-193191902.8
44,"N",2,"E",1,0,-1,0.999708242152798,-1.00029184299469,1568,55705.41979,-192525661.4
44,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469,1570,55007.41299,-192498643.2
44,"N",4,"E",1,0,-1,0.999708242152798,-1.00029184299469,1572,50127.14752,-151281794.1
44,"N",5,"E",4,0,-4,1.99766491455695,-2.00233781494187,1574,42706.76351,-100321342
44,"N",6,"E",1,0,-1,0.999708242152798,-1.00029184299469,1576,35428.43829,-47939634.12
43,"N",15,"W",1,3,2,0.999708242152798,2.00058368598937,1565,56051.16619,-194402916.5
43,"N",14,"W",0,2,2,0,Inf,1564,55697.21188,-195576282.9
43,"N",13,"W",4,0,-4,1.99766491455695,-2.00233781494187,1563,56006.12897,-195532378.5
43,"N",12,"W",3,1,-2,1.73053434662654,-1.15571239825361,1562,55729.47355,-193768883.7
43,"N",11,"W",6,4,-2,2.44519866256641,-0.817929451139506,1561,55618.06296,-192811592.2
43,"N",10,"W",4,0,-4,1.99766491455695,-2.00233781494187,1560,55465.12702,-191549405.9
43,"N",9,"W",5,0,-5,2.23280411942157,-2.23933660660537,1558,55726.78474,-193372863
44,"N",7,"E",0,0,0,0,NA,1578,11077.27051,-3834335.62
43,"N",8,"W",3,0,-3,1.73053434662654,-1.73356859738041,1556,55509.82203,-192311264.7
43,"N",7,"W",4,33,29,1.99766491455695,14.5169491583286,1554,55618.97392,-192610734.7
43,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208,1552,55686.72103,-194267470.1
43,"N",5,"W",6,0,-6,2.44519866256641,-2.45378835341852,1550,56039.6107,-196028318.9
43,"N",4,"W",2,0,-2,1.41338822611233,-1.41503938058208,1548,56101.01894,-195755835
43,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208,1546,55458.37835,-193621051.6
43,"N",2,"W",0,0,0,0,NA,1544,55044.07104,-189167180.2
43,"N",7,"E",3,0,-3,1.73053434662654,-1.73356859738041,1553,53627.74262,-183948667.1
43,"N",6,"E",2,0,-2,1.41338822611233,-1.41503938058208,1551,55824.80122,-195059579.5
43,"N",5,"E",0,0,0,0,NA,1549,55540.48599,-192621932.7
43,"N",4,"E",4,0,-4,1.99766491455695,-2.00233781494187,1547,55370.38653,-192705679.2
43,"N",1,"W",5,0,-5,2.23280411942157,-2.23933660660537,1542,55740.41966,-193826212
43,"N",1,"E",0,0,0,0,NA,1541,55294.46668,-190419387.7
43,"N",3,"E",3,0,-3,1.73053434662654,-1.73356859738041,1545,55372.96107,-190813867.7
43,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041,1543,55572.27153,-192994180.7
43,"N",8,"E",3,0,-3,1.73053434662654,-1.73356859738041,1555,47650.59734,-134640960.3
43,"N",9,"E",0,0,0,0,NA,1557,40041.61366,-80853977.51
43,"N",10,"E",0,0,0,0,NA,1559,31235.9176,-25242114.72
42,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208,1539,55840.56231,-194648628.2
34,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208,1196,54923.5323,-188847199.8
42,"N",14,"W",4,3,-1,1.99766491455695,-0.500584453735468,1538,55824.39338,-194208022.4
42,"N",13,"W",6,0,-6,2.44519866256641,-2.45378835341852,1537,55889.79244,-195623808.4
42,"N",12,"W",7,0,-7,2.64034314095416,-2.65117055863821,1535,55899.72661,-194990142
42,"N",11,"W",5,0,-5,2.23280411942157,-2.23933660660537,1533,55533.23386,-192869819.6
42,"N",10,"W",0,0,0,0,NA,1531,55264.22327,-191851830.3
42,"N",9,"W",3,0,-3,1.73053434662654,-1.73356859738041,1529,55659.36807,-193982490.3
42,"N",8,"W",3,2,-1,1.73053434662654,-0.577856199126805,1527,55461.39223,-193046504.2
42,"N",7,"W",3,0,-3,1.73053434662654,-1.73356859738041,1525,56226.73417,-198584844.1
42,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208,1523,55865.80826,-192721417.4
42,"N",5,"W",4,0,-4,1.99766491455695,-2.00233781494187,1521,55885.67197,-195350516.6
42,"N",10,"E",2,0,-2,1.41338822611233,-1.41503938058208,1530,55476.75935,-194011385.7
42,"N",4,"W",5,0,-5,2.23280411942157,-2.23933660660537,1519,55904.59586,-195273930.1
42,"N",11,"E",3,0,-3,1.73053434662654,-1.73356859738041,1532,51237.00068,-161831808.6
42,"N",9,"E",3,0,-3,1.73053434662654,-1.73356859738041,1528,55750.52021,-193956677.4
42,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208,1517,55373.76204,-191149781.5
42,"N",2,"W",2,1,-1,1.41338822611233,-0.707519690291042,1515,55377.33529,-190947285
42,"N",8,"E",4,0,-4,1.99766491455695,-2.00233781494187,1526,55597.68082,-192949748.2
42,"N",1,"W",3,0,-3,1.73053434662654,-1.73356859738041,1513,55180.75716,-189212076.3
42,"N",7,"E",1,0,-1,0.999708242152798,-1.00029184299469,1524,55658.48666,-193083288.8
42,"N",6,"E",6,0,-6,2.44519866256641,-2.45378835341852,1522,55624.95872,-193230657.6
42,"N",5,"E",2,4,2,1.41338822611233,1.41503938058209,1520,55493.29611,-192323317.4
42,"N",4,"E",1,0,-1,0.999708242152798,-1.00029184299469,1518,55485.12385,-193285747.5
42,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041,1514,55902.44034,-195995670.3
42,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469,1516,55443.44667,-191101559.5
42,"N",1,"E",4,0,-4,1.99766491455695,-2.00233781494187,1512,55609.86983,-192596312.6
42,"N",12,"E",1,0,-1,0.999708242152798,-1.00029184299469,1534,39305.86319,-66386769.3
42,"N",16,"W",0,0,0,0,NA,1540,9269.987111,-5384229.382
41,"N",16,"W",3,0,-3,1.73053434662654,-1.73356859738041,1509,60136.16455,-145172267.5
41,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208,1507,55558.4641,-192970228.5
41,"N",14,"W",4,0,-4,1.99766491455695,-2.00233781494187,1505,55672.22947,-194544620.4
41,"N",13,"W",1,0,-1,0.999708242152798,-1.00029184299469,1503,55929.89672,-195665362.5
41,"N",12,"W",2,2,2.22044604925031e-16,1.41338822611233,1.57100930107355e-16,1501,56011.42199,-195868363.1
41,"N",11,"W",1,0,-1,0.999708242152798,-1.00029184299469,1499,55849.5514,-194647230.3
41,"N",10,"W",2,0,-2,1.41338822611233,-1.41503938058208,1497,55379.15434,-191410773.9
41,"N",9,"W",2,0,-2,1.41338822611233,-1.41503938058208,1495,55932.88902,-194753094.5
41,"N",8,"W",0,0,0,0,NA,1493,55899.41735,-195112234.4
42,"N",13,"E",0,0,0,0,NA,1536,3654.863288,-517631.4961
41,"N",7,"W",2,0,-2,1.41338822611233,-1.41503938058208,1491,55987.40509,-196119846.8
41,"N",6,"W",3,0,-3,1.73053434662654,-1.73356859738041,1489,55534.23259,-195037774.1
41,"N",13,"E",0,0,0,0,NA,1502,51522.58886,-143514465.1
41,"N",12,"E",0,0,0,0,NA,1500,55377.97013,-191577675.9
