"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
46,"N",7,"W",11,6,-5,3.31322232989396,-1.50910488405407,1615,56194.27049,-197749977.5
46,"N",6,"W",11,0,-11,3.31322232989396,-3.32003074491896,1614,56513.55155,-199164487.2
46,"N",5,"W",11,16,5,3.31322232989396,1.50910488405407,1613,56683.8501,-200719773.1
46,"N",4,"W",9,0,-9,2.99748216489424,-3.00251995004532,1612,56341.94811,-198475689.3
46,"N",3,"W",6,0,-6,2.44811939876388,-2.45086085385768,1611,55984.99699,-195526278.8
46,"N",2,"W",10,0,-10,3.15932859894666,-3.16522947417817,1609,55957.30351,-196131545.9
46,"N",1,"W",9,0,-9,2.99748216489424,-3.00251995004532,1607,55633.74821,-193150127.5
46,"N",1,"E",9,0,-9,2.99748216489424,-3.00251995004532,1606,55954.63849,-195401002
46,"N",2,"E",10,0,-10,3.15932859894666,-3.16522947417817,1608,56059.99874,-171349286.6
46,"N",3,"E",0,0,0,0,NA,1610,12956.85046,-7084575.112
45,"N",15,"W",16,13,-3,3.9940298474189,-0.751121076858931,1605,56258.34568,-196266118.5
45,"N",14,"W",8,14,6,2.8263171452472,2.12290400958355,1604,55862.36828,-194577981.2
45,"N",13,"W",6,17,11,2.44811939876388,4.49324489873908,1603,55836.31352,-195034152.1
45,"N",12,"W",7,52,45,2.64402439967938,17.0195101094592,1602,55536.73851,-193071541.5
45,"N",11,"W",10,54,44,3.15932859894666,13.9270096863839,1601,55738.48747,-193140537.5
45,"N",10,"W",5,13,8,2.23502557010665,3.57937739370841,1600,55422.4174,-192795301.1
45,"N",9,"W",13,17,4,3.6011794819818,1.11074719269441,1599,55537.05062,-193017972.3
45,"N",8,"W",13,668,655,3.6011794819818,181.88485280371,1598,55750.6163,-193412914.3
45,"N",7,"W",9,102,93,2.99748216489424,31.0260394838017,1597,55747.3637,-194318331.2
45,"N",6,"W",9,12,3,2.99748216489424,1.00083998334844,1596,55905.63439,-195230373.3
45,"N",5,"W",3,4,1,1.73156638557435,0.577511788361673,1595,55833.15485,-195317155.9
45,"N",4,"W",10,13,3,3.15932859894666,0.94956884225345,1594,56109.29373,-196235816.5
45,"N",3,"W",12,0,-12,3.46022461155574,-3.46798296270273,1593,55609.58575,-192053488.7
45,"N",2,"W",9,1,-8,2.99748216489424,-2.66890662226251,1591,55831.89314,-194914113
45,"N",1,"W",10,0,-10,3.15932859894666,-3.16522947417817,1589,55640.3518,-193360140.1
45,"N",1,"E",16,0,-16,3.9940298474189,-4.00597907658097,1588,55722.95308,-196287616.9
45,"N",2,"E",14,0,-14,3.73677134762079,-3.74654981469868,1590,55677.84432,-191731241.6
45,"N",3,"E",1,0,-1,0.99990678163578,-1.00009322705469,1592,53118.39857,-71167879.07
44,"N",15,"W",12,0,-12,3.46022461155574,-3.46798296270273,1587,56105.82004,-194291100.9
44,"N",14,"W",11,10,-1,3.31322232989396,-0.301820976810815,1586,55810.82709,-195317368.9
44,"N",13,"W",6,2,-4,2.44811939876388,-1.63390723590512,1585,56063.98223,-195694739.7
44,"N",12,"W",11,13,2,3.31322232989396,0.60364195362163,1584,55554.14357,-193203912.2
44,"N",11,"W",7,10,3,2.64402439967938,1.13463400729728,1583,55982.93547,-196104304.6
44,"N",10,"W",7,2,-5,2.64402439967938,-1.8910566788288,1582,55535.93683,-192309055.6
44,"N",9,"W",10,4,-6,3.15932859894666,-1.8991376845069,1581,55576.42754,-192685340.4
44,"N",8,"W",15,57,42,3.86756430990813,10.8595479310847,1580,55738.43067,-194573920.7
44,"N",7,"W",9,70,61,2.99748216489424,20.3504129947516,1579,55816.31552,-194535033.2
44,"N",6,"W",8,0,-8,2.8263171452472,-2.83053867944473,1577,55960.90642,-195563479.8
44,"N",5,"W",10,0,-10,3.15932859894666,-3.16522947417817,1575,55378.9436,-191382784.7
44,"N",3,"W",9,3,-6,2.99748216489424,-2.00167996669688,1571,55276.06296,-191239691.2
44,"N",4,"W",7,3,-4,2.64402439967938,-1.51284534306304,1573,55569.91051,-193821624.7
44,"N",2,"W",6,6,0,2.44811939876388,0,1569,55241.30728,-190781179.9
44,"N",1,"W",5,0,-5,2.23502557010665,-2.23711087106775,1567,55712.96934,-194229210.8
44,"N",1,"E",11,0,-11,3.31322232989396,-3.32003074491896,1566,55520.52803,-193191902.8
44,"N",2,"E",9,0,-9,2.99748216489424,-3.00251995004532,1568,55705.41979,-192525661.4
44,"N",3,"E",8,0,-8,2.8263171452472,-2.83053867944473,1570,55007.41299,-192498643.2
44,"N",4,"E",7,0,-7,2.64402439967938,-2.64747935036032,1572,50127.14752,-151281794.1
44,"N",5,"E",5,0,-5,2.23502557010665,-2.23711087106775,1574,42706.76351,-100321342
44,"N",6,"E",2,0,-2,1.41394988873188,-1.41447728518422,1576,35428.43829,-47939634.12
43,"N",15,"W",7,5,-2,2.64402439967938,-0.756422671531519,1565,56051.16619,-194402916.5
43,"N",14,"W",18,2,-16,4.23551618051876,-3.77757971356406,1564,55697.21188,-195576282.9
43,"N",13,"W",11,1,-10,3.31322232989396,-3.01820976810815,1563,56006.12897,-195532378.5
43,"N",12,"W",9,3,-6,2.99748216489424,-2.00167996669688,1562,55729.47355,-193768883.7
43,"N",11,"W",14,12,-2,3.73677134762079,-0.535221402099811,1561,55618.06296,-192811592.2
43,"N",10,"W",12,0,-12,3.46022461155574,-3.46798296270273,1560,55465.12702,-191549405.9
43,"N",9,"W",5,0,-5,2.23502557010665,-2.23711087106775,1558,55726.78474,-193372863
44,"N",7,"E",0,0,0,0,NA,1578,11077.27051,-3834335.62
43,"N",8,"W",8,1,-7,2.8263171452472,-2.47672134451414,1556,55509.82203,-192311264.7
43,"N",7,"W",9,35,26,2.99748216489424,8.67394652235316,1554,55618.97392,-192610734.7
43,"N",6,"W",9,0,-9,2.99748216489424,-3.00251995004532,1552,55686.72103,-194267470.1
43,"N",5,"W",10,0,-10,3.15932859894666,-3.16522947417817,1550,56039.6107,-196028318.9
43,"N",4,"W",11,0,-11,3.31322232989396,-3.32003074491896,1548,56101.01894,-195755835
43,"N",3,"W",12,0,-12,3.46022461155574,-3.46798296270273,1546,55458.37835,-193621051.6
43,"N",2,"W",8,0,-8,2.8263171452472,-2.83053867944473,1544,55044.07104,-189167180.2
43,"N",7,"E",9,0,-9,2.99748216489424,-3.00251995004532,1553,53627.74262,-183948667.1
43,"N",6,"E",10,0,-10,3.15932859894666,-3.16522947417817,1551,55824.80122,-195059579.5
43,"N",5,"E",11,0,-11,3.31322232989396,-3.32003074491896,1549,55540.48599,-192621932.7
43,"N",4,"E",7,0,-7,2.64402439967938,-2.64747935036032,1547,55370.38653,-192705679.2
43,"N",1,"W",13,0,-13,3.6011794819818,-3.60992837625684,1542,55740.41966,-193826212
43,"N",1,"E",9,0,-9,2.99748216489424,-3.00251995004532,1541,55294.46668,-190419387.7
43,"N",3,"E",10,0,-10,3.15932859894666,-3.16522947417817,1545,55372.96107,-190813867.7
43,"N",2,"E",9,0,-9,2.99748216489424,-3.00251995004532,1543,55572.27153,-192994180.7
43,"N",8,"E",5,0,-5,2.23502557010665,-2.23711087106775,1555,47650.59734,-134640960.3
43,"N",9,"E",3,0,-3,1.73156638557435,-1.73253536508502,1557,40041.61366,-80853977.51
43,"N",10,"E",0,0,0,0,NA,1559,31235.9176,-25242114.72
42,"N",15,"W",7,2,-5,2.64402439967938,-1.8910566788288,1539,55840.56231,-194648628.2
34,"N",3,"W",14,0,-14,3.73677134762079,-3.74654981469868,1196,54923.5323,-188847199.8
42,"N",14,"W",4,6,2,1.99925414877138,1.00037306473971,1538,55824.39338,-194208022.4
42,"N",13,"W",8,1,-7,2.8263171452472,-2.47672134451414,1537,55889.79244,-195623808.4
42,"N",12,"W",10,0,-10,3.15932859894666,-3.16522947417817,1535,55899.72661,-194990142
42,"N",11,"W",6,0,-6,2.44811939876388,-2.45086085385768,1533,55533.23386,-192869819.6
42,"N",10,"W",6,0,-6,2.44811939876388,-2.45086085385768,1531,55264.22327,-191851830.3
42,"N",9,"W",9,0,-9,2.99748216489424,-3.00251995004532,1529,55659.36807,-193982490.3
42,"N",8,"W",12,2,-10,3.46022461155574,-2.88998580225228,1527,55461.39223,-193046504.2
42,"N",7,"W",13,0,-13,3.6011794819818,-3.60992837625684,1525,56226.73417,-198584844.1
42,"N",6,"W",5,0,-5,2.23502557010665,-2.23711087106775,1523,55865.80826,-192721417.4
42,"N",5,"W",8,0,-8,2.8263171452472,-2.83053867944473,1521,55885.67197,-195350516.6
42,"N",10,"E",10,0,-10,3.15932859894666,-3.16522947417817,1530,55476.75935,-194011385.7
42,"N",4,"W",19,0,-19,4.35117219585728,-4.36663941226912,1519,55904.59586,-195273930.1
42,"N",11,"E",7,0,-7,2.64402439967938,-2.64747935036032,1532,51237.00068,-161831808.6
42,"N",9,"E",13,0,-13,3.6011794819818,-3.60992837625684,1528,55750.52021,-193956677.4
42,"N",3,"W",9,0,-9,2.99748216489424,-3.00251995004532,1517,55373.76204,-191149781.5
42,"N",2,"W",12,9,-3,3.46022461155574,-0.866995740675683,1515,55377.33529,-190947285
42,"N",8,"E",15,0,-15,3.86756430990813,-3.8784099753874,1526,55597.68082,-192949748.2
42,"N",1,"W",16,0,-16,3.9940298474189,-4.00597907658097,1513,55180.75716,-189212076.3
42,"N",7,"E",9,0,-9,2.99748216489424,-3.00251995004532,1524,55658.48666,-193083288.8
42,"N",6,"E",14,0,-14,3.73677134762079,-3.74654981469868,1522,55624.95872,-193230657.6
42,"N",5,"E",8,4,-4,2.8263171452472,-1.41526933972236,1520,55493.29611,-192323317.4
42,"N",4,"E",15,0,-15,3.86756430990813,-3.8784099753874,1518,55485.12385,-193285747.5
42,"N",2,"E",11,0,-11,3.31322232989396,-3.32003074491896,1514,55902.44034,-195995670.3
42,"N",3,"E",6,0,-6,2.44811939876388,-2.45086085385768,1516,55443.44667,-191101559.5
42,"N",1,"E",10,0,-10,3.15932859894666,-3.16522947417817,1512,55609.86983,-192596312.6
42,"N",12,"E",3,0,-3,1.73156638557435,-1.73253536508502,1534,39305.86319,-66386769.3
42,"N",16,"W",0,0,0,0,NA,1540,9269.987111,-5384229.382
41,"N",16,"W",8,18,10,2.8263171452472,3.53817334930591,1509,60136.16455,-145172267.5
41,"N",15,"W",6,10,4,2.44811939876388,1.63390723590512,1507,55558.4641,-192970228.5
41,"N",14,"W",13,0,-13,3.6011794819818,-3.60992837625684,1505,55672.22947,-194544620.4
41,"N",13,"W",9,0,-9,2.99748216489424,-3.00251995004532,1503,55929.89672,-195665362.5
41,"N",12,"W",15,3,-12,3.86756430990813,-3.10272798030992,1501,56011.42199,-195868363.1
41,"N",11,"W",7,0,-7,2.64402439967938,-2.64747935036032,1499,55849.5514,-194647230.3
41,"N",10,"W",13,0,-13,3.6011794819818,-3.60992837625684,1497,55379.15434,-191410773.9
41,"N",9,"W",12,0,-12,3.46022461155574,-3.46798296270273,1495,55932.88902,-194753094.5
41,"N",8,"W",11,0,-11,3.31322232989396,-3.32003074491896,1493,55899.41735,-195112234.4
