"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS016720","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","","","Davidson, Donald W.","s.n.","1990-08-10",1990,8,10,222,"1990-08-10","","",NA,"Ashland","Stockton Island. Apostle Island National Lake Shore",46.93827,-90.65296,NA,27498,"46.938270 N"," 90.652960 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Heim, Mike, Gitar, Richard D.","Davidson, Donald W."
"SUWS016721","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum complanatum",3413,"(L.) Holub","Diphasiastrum","complanatum","","","","","Davidson, Donald W.","s.n.","1990-08-10",1990,8,10,222,"1990-08-10","","",NA,"Ashland","Stockton Island. Apostle Island National Lake Shore",46.93827,-90.65296,NA,27498,"46.938270 N"," 90.652960 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Heim, Mike, Gitar, Richard D.","Davidson, Donald W."
"SUWS016722","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Davidson, Donald W.","s.n.","1990-08-10",1990,8,10,222,"1990-08-10","","",NA,"Ashland","Devils Island. Apostle Island National Lake Shore",46.93827,-90.65296,NA,27498,"46.938270 N"," 90.652960 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Heim, Mike, Gitar, Richard D.","Davidson, Donald W."
"SUWS016723","Equisetopsida","Lycopodiales","Lycopodiaceae","Huperzia lucidula",3885,"(Michx.) Trevis.","Huperzia","lucidula","","","","","Davidson, Donald W.","s.n.","1990-08-10",1990,8,10,222,"1990-08-10","","",NA,"Ashland","Stockton Island. Apostle Island National Lake Shore",46.93827,-90.65296,NA,27498,"46.938270 N"," 90.652960 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Heim, Mike, Gitar, Richard D.","Davidson, Donald W."
"SUWS016724","Equisetopsida","Asterales","Asteraceae","Petasites frigidus var. palmatus",6783,"(Aiton) Cronquist","Petasites","frigidus","palmatus","var.","Davidson, Donald W.","24May2004","Anderson, Derek S.","160","2003-06-15",2003,6,15,166,"2003-06-15","","",NA,"Douglas","Beebe. Stone Chimney Road between Hwy. 53 and CTH L [near Beebe]",46.4172,-91.81442,NA,603,"46.417200 N"," 91.814420 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Anderson, Derek S.","Anderson, Derek S."
"SUWS016731","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Anderson, Derek S.","343","2003-07-20",2003,7,20,201,"2003-07-20","","Wetland area.",NA,"Vilas","Manitowish Waters. Wayside on Hwy. 51 near the Iron County border [near Manitowish Waters]",46.13512,-89.90044,NA,2400,"46.135120 N"," 89.900440 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016732","Equisetopsida","Rosales","Rosaceae","Spiraea alba var. alba",6888,"","Spiraea","alba","alba","var.","","","Anderson, Derek S.","344","2003-07-20",2003,7,20,201,"2003-07-20","","Wetland area.",NA,"Vilas","Manitowish Waters. Wayside on Hwy. 51 near the Iron County border [near Manitowish Waters]",46.13512,-89.90044,NA,2400,"46.135120 N"," 89.900440 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016733","Equisetopsida","Gentianales","Apocynaceae","Apocynum androsaemifolium",2562,"L.","Apocynum","androsaemifolium","","","","","Anderson, Derek S.","345","2003-07-20",2003,7,20,201,"2003-07-20","","Wetland area.",NA,"Vilas","Manitowish Waters. Wayside on Hwy. 51 near the Iron County border [near Manitowish Waters]",46.13512,-89.90044,NA,2400,"46.135120 N"," 89.900440 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016734","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Anderson, Derek S.","347","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016735","Equisetopsida","Liliales","Liliaceae","Clintonia borealis",8591,"(Aiton) Raf.","Clintonia","borealis","","","","","Anderson, Derek S.","350","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016736","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Anderson, Derek S.","351","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016755","Equisetopsida","Fagales","Betulaceae","Betula alleghaniensis",2735,"Britton","Betula","alleghaniensis","","","","","Anderson, Derek S.","362","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016764","Equisetopsida","Asparagales","Orchidaceae","Epipactis helleborine",3529,"(L.) Crantz","Epipactis","helleborine","","","","","Anderson, Derek S.","339","2003-07-19",2003,7,19,200,"2003-07-19","","Wooded area.",NA,"Manitowoc","Near Cherney Maribel Caves area",44.28591,-87.77298,NA,500,"44.285910 N"," 87.772980 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.; Judziewicz, Emmet J.","Anderson, Derek S."
"SUWS016766","Equisetopsida","Liliales","Liliaceae","Streptopus lanceolatus var. longipes",8781,"(Fernald) Reveal","Streptopus","lanceolatus","longipes","var.","","","Anderson, Derek S.","341","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016767","Equisetopsida","Asparagales","Iridaceae","Iris versicolor",3944,"L.","Iris","versicolor","","","","","Anderson, Derek S.","346","2003-07-20",2003,7,20,201,"2003-07-20","","Wetland.",NA,"Vilas","Manitowish Waters. Wayside on Hwy. 51 near the Iron County border [near Manitowish Waters]",46.13512,-89.90044,NA,2400,"46.135120 N"," 89.900440 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016768","Equisetopsida","Dipsacales","Caprifoliaceae","Diervilla lonicera",3400,"Mill.","Diervilla","lonicera","","","","","Anderson, Derek S.","348","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016769","Equisetopsida","Asterales","Asteraceae","Erigeron strigosus",3556,"Muhl. ex Willd.","Erigeron","strigosus","","","","","Anderson, Derek S.","349","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016770","Equisetopsida","Caryophyllales","Polygonaceae","Polygonum convolvulus",13040,"L.","Polygonum","convolvulus","","","","","Anderson, Derek S.","364","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016772","Equisetopsida","Pinales","Pinaceae","Picea abies",4492,"(L.) H.Karst.","Picea","abies","","","","","Wershofen, Justin","2003-1","2003-11-18",2003,11,18,322,"2003-11-18","","Red clay. [Probably cultivated]",NA,"Douglas","Superior. Superior YMCA; 69 North 28 East Street",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Wershofen, Justin","Other Collectors"
"SUWS016777","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium obscurum",12976,"L.","Lycopodium","obscurum","","","","","Kopetzky, Jonathan","2003-1","2003-09-21",2003,9,21,264,"2003-09-21","","Low light, sandy wet soil.",NA,"Forest","Off of Hwy. W on CTH Q approximately 3.6 miles on the right side of the road [near Kimberly Lake]",45.45264,-88.86526,NA,NA,"45.452640 N"," 88.865260 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Kopetzky, Jonathan","Other Collectors"
"SUWS016778","Equisetopsida","Lycopodiales","Lycopodiaceae","Huperzia lucidula",3885,"(Michx.) Trevis.","Huperzia","lucidula","","","","","Kopetzky, Jonathan","2003-2","2003-09-21",2003,9,21,264,"2003-09-21","","Low light; sandy wet soil.",NA,"Forest","Off of Hwy. W on CTH Q approximately 3.6 miles on the right side of the road [near Kimberly Lake]",45.45264,-88.86526,NA,NA,"45.452640 N"," 88.865260 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Kopetzky, Jonathan","Other Collectors"
"SUWS016783","Equisetopsida","Rosales","Rosaceae","Crataegus monogyna var. monogyna",12952,"Jacq.","Crataegus","monogyna","monogyna","var.","","","Jurkowski, Melissa","2003-20","2003-09-00",2003,9,0,NA,"2003-09","[Cultivated?]","",NA,"Douglas","Superior Senior High, Superior",46.77186,-92.08529,NA,721,"46.771860 N"," 92.085290 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Jurkowski, Melissa","Other Collectors"
"SUWS016787","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium obscurum",12976,"L.","Lycopodium","obscurum","","","","","Roth, Jessica","2003-1","2003-09-21",2003,9,21,264,"2003-09-21","","Low light; sandy, wet soil.",NA,"Forest","Off of Hwy. W on CTH Q approximately 3.6 miles on the right side of the road [near Kimberly Lake]",45.45264,-88.86526,NA,NA,"45.452640 N"," 88.865260 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Roth, Jessica","Other Collectors"
"SUWS016788","Equisetopsida","Lycopodiales","Lycopodiaceae","Huperzia lucidula",3885,"(Michx.) Trevis.","Huperzia","lucidula","","","","","Roth, Jessica","2003-2","2003-09-21",2003,9,21,264,"2003-09-21","","Low light; sandy, wet soil.",NA,"Forest","Off of Hwy. W on CTH Q approximately 3.6 miles on the right side of the road [near Kimberly Lake]",45.45264,-88.86526,NA,NA,"45.452640 N"," 88.865260 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Roth, Jessica","Other Collectors"
"SUWS016827","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium obscurum",12976,"L.","Lycopodium","obscurum","","","Anderson, Derek S.","01Apr2004","Anderson, Derek S.","342","2003-07-20",2003,7,20,201,"2003-07-20","","Wooded area.",NA,"Langlade","Townline Lake; Parish Hills segment of the Ice Age Trail",45.37719,-89.29663,NA,587,"45.377190 N"," 89.296630 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Anderson, Derek S.","Anderson, Derek S."
"SUWS016935","Equisetopsida","Sapindales","Sapindaceae","Acer saccharinum",2424,"L.","Acer","saccharinum","","","","","Langenbrunner, Craig S.","00/22","2000-03-27",2000,3,27,87,"2000-03-27","","Soil loam; full sun.",NA,"Douglas","Superior. UWS [University of Wisconsin - Superior] campus; SE corner of Old Main",46.71784,-92.08786,NA,699,"46.717840 N"," 92.087860 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","March","Langenbrunner, Craig S.","Other Collectors"
"SUWS016936","Equisetopsida","Sapindales","Sapindaceae","Acer saccharinum",2424,"L.","Acer","saccharinum","","","","","Langenbrunner, Craig S.","00/06","2000-02-08",2000,2,8,39,"2000-02-08","","Clayish loam soil; full sun.",NA,"Douglas","Superior. UWS [University of Wisconsin - Superior] Campus between Rothwell and Greenhouse",46.71784,-92.08786,NA,699,"46.717840 N"," 92.087860 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","February","Langenbrunner, Craig S.","Other Collectors"
"SUWS017025","Equisetopsida","Poales","Cyperaceae","Carex lacustris",2956,"Willd.","Carex","lacustris","","","","","Castle, R.","94-37","1994-06-01",1994,6,1,152,"1994-06-01","","Growing near beach.",NA,"Douglas","Superior. Nemadji River Boat landing",46.59392,-92.11951,NA,15460,"46.593920 N"," 92.119510 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Castle, R.","Castle, R."
"SUWS017082","Equisetopsida","Poales","Poaceae","Elymus virginicus var. virginicus",6652,"","Elymus","virginicus","virginicus","var.","","","Anderson, Derek S.","470","2004-09-08",2004,9,8,252,"2004-09-08","","Woods near lake.",NA,"Douglas","Superior. Pattison State Park; 13 miles S of Superior",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.","Anderson, Derek S."
"SUWS017083","Equisetopsida","Alismatales","Hydrocharitaceae","Elodea canadensis",3499,"Michx.","Elodea","canadensis","","","","","Anderson, Derek S.","435","2004-08-06",2004,8,6,219,"2004-08-06","","Approximately 1 foot of water; along shore.",NA,"Douglas","Summit. Amnicon Lake",46.47775,-92.06105,NA,2321,"46.477750 N"," 92.061050 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017085","Equisetopsida","Nymphaeales","Nymphaeaceae","Nuphar variegata",4340,"Durand","Nuphar","variegata","","","","","Anderson, Derek S.","423","2004-08-21",2004,8,21,234,"2004-08-21","","Rooted in 4 feet of water in bay.",NA,"Douglas","Superior. Kimballs Bay; St. Louis River",46.698,-92.15964,NA,1616,"46.698000 N"," 92.159640 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.; Branstad, David A.","Anderson, Derek S."
"SUWS017086","Equisetopsida","Poales","Poaceae","Calamagrostis canadensis",2822,"(Michx.) P.Beauv.","Calamagrostis","canadensis","","","","","Anderson, Derek S.","469","2004-09-08",2004,9,8,252,"2004-09-08","","Woods near lake.",NA,"Douglas","Superior. Pattison State Park; 13 miles S of Superior",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.; Davidson, Donald W.","Anderson, Derek S."
"SUWS017088","Equisetopsida","Alismatales","Hydrocharitaceae","Najas flexilis",4319,"(Willd.) Rostk. & W.L.E.Schmidt","Najas","flexilis","","","","","Anderson, Derek S.","434","2004-08-06",2004,8,6,219,"2004-08-06","","In approximately 1 foot of water along shoreline.",NA,"Douglas","Summit. Amnicon Lake",46.47775,-92.06105,NA,2321,"46.477750 N"," 92.061050 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017090","Equisetopsida","Caryophyllales","Droseraceae","Drosera rotundifolia",3439,"L.","Drosera","rotundifolia","","","","","Anderson, Derek S.","428","2004-08-04",2004,8,4,217,"2004-08-04","","Several patches growing along the shoreline between old fallen trees.",NA,"Price","Bass Lake; near Timm's Hill",45.77689,-90.67033,NA,562,"45.776890 N"," 90.670330 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017091","Equisetopsida","Alismatales","Hydrocharitaceae","Vallisneria americana",5329,"Michx.","Vallisneria","americana","","","","","Anderson, Derek S.","422","2004-08-21",2004,8,21,234,"2004-08-21","","Rooted in shallow inlet of bay.",NA,"Douglas","Superior. Kimballs Bay; St. Louis River",46.698,-92.15964,NA,1616,"46.698000 N"," 92.159640 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.; Branstad, David A.","Anderson, Derek S."
"SUWS017092","Equisetopsida","Poales","Cyperaceae","Carex interior",2953,"L.H.Bailey","Carex","interior","","","","","Anderson, Derek S.","468","2004-09-08",2004,9,8,252,"2004-09-08","","Wet woods near lake.",NA,"Douglas","Superior. Pattison State Park; 13 miles S of Superior",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.; Davidson, Donald W.","Anderson, Derek S."
"SUWS017094","Equisetopsida","Commelinales","Pontederiaceae","Pontederia cordata",4605,"L.","Pontederia","cordata","","","","","Anderson, Derek S.","433","2004-08-06",2004,8,6,219,"2004-08-06","","Approximately 2 feet of water along shore.",NA,"Douglas","Summit. Amnicon Lake",46.47775,-92.06105,NA,2321,"46.477750 N"," 92.061050 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017095","Equisetopsida","Nymphaeales","Cabombaceae","Brasenia schreberi",2782,"J.F.Gmel.","Brasenia","schreberi","","","","","Anderson, Derek S.","427","2004-08-04",2004,8,4,217,"2004-08-04","","Rooted in 1 foot of water.",NA,"Price","Bass Lake; near Timm's Hill",45.77689,-90.67033,NA,562,"45.776890 N"," 90.670330 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017096","Equisetopsida","Alismatales","Araceae","Spirodela polyrrhiza",5140,"(L.) Schleid.","Spirodela","polyrrhiza","","","","","Anderson, Derek S.","421","2004-08-21",2004,8,21,234,"2004-08-21","","Floating on surface in calm bay.",NA,"Douglas","Superior. Kimballs Bay; St. Louis River",46.698,-92.15964,NA,1616,"46.698000 N"," 92.159640 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.; Branstad, David A.","Anderson, Derek S."
"SUWS017097","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","","","Anderson, Derek S.","471","2004-09-08",2004,9,8,252,"2004-09-08","","Woods near lake.",NA,"Douglas","Superior. Pattison State Park; 13 miles S of Superior",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.; Davidson, Donald W.","Anderson, Derek S."
"SUWS017099","Equisetopsida","Liliales","Smilacaceae","Smilax tamnoides",5080,"L.","Smilax","tamnoides","","","","","Anderson, Derek S.","430","2004-08-04",2004,8,4,217,"2004-08-04","","Wooded area along stream bank.",NA,"Price","Hwy. 13 rest stop; along the South Branch of the Flambeau Flowage [near Boars Rapids]",45.79543,-90.42867,NA,1444,"45.795430 N"," 90.428670 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017100","Equisetopsida","Poales","Poaceae","Bromus ciliatus",2789,"L.","Bromus","ciliatus","","","","","Anderson, Derek S.","472","2004-09-08",2004,9,8,252,"2004-09-08","","Woods near lake.",NA,"Douglas","Superior. Pattison State Park; 13 miles S of Superior",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.; Davidson, Donald W.","Anderson, Derek S."
"SUWS017101","Equisetopsida","Alismatales","Potamogetonaceae","Potamogeton natans",4626,"L.","Potamogeton","natans","","","","","Anderson, Derek S.","437","2004-08-06",2004,8,6,219,"2004-08-06","","In approximately 2-3 feet of water along shoreline.",NA,"Douglas","Oakland. Dowling Lake",46.47405,-92.04487,NA,1167,"46.474050 N"," 92.044870 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017102","Equisetopsida","Osmundales","Osmundaceae","Osmunda regalis var. spectabilis",6764,"(Willd.) A.Gray","Osmunda","regalis","spectabilis","var.","","","Anderson, Derek S.","431","2004-08-04",2004,8,4,217,"2004-08-04","","Wooded area along stream bank.",NA,"Price","Hwy. 13 rest stop; along the South Branch of the Flambeau Flowage [near Boars Rapids]",45.79543,-90.42867,NA,1444,"45.795430 N"," 90.428670 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017103","Equisetopsida","Saxifragales","Haloragaceae","Myriophyllum heterophyllum",4311,"Michx.","Myriophyllum","heterophyllum","","","","","Anderson, Derek S.","425","2004-08-21",2004,8,21,234,"2004-08-21","","In approx. 4 feet of water; in a bay inlet.",NA,"Douglas","Superior. Kimballs Bay; St. Louis River",46.698,-92.15964,NA,1616,"46.698000 N"," 92.159640 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.; Branstad, David A.","Anderson, Derek S."
"SUWS017104","Equisetopsida","Equisetales","Equisetaceae","Equisetum fluviatile",3531,"L.","Equisetum","fluviatile","","","","","Anderson, Derek S.","467","2004-09-08",2004,9,8,252,"2004-09-08","","In the lake.",NA,"Douglas","Superior. Pattison State Park: 13 miles S of Superior; Interstate Falls Lake",46.52667,-92.12222,NA,1697,"46.526670 N"," 92.122220 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Anderson, Derek S.; Davidson, Donald W.","Anderson, Derek S."
"SUWS017105","Equisetopsida","Lamiales","Lentibulariaceae","Utricularia vulgaris",5312,"L.","Utricularia","vulgaris","","","","","Anderson, Derek S.","438","2004-08-06",2004,8,6,219,"2004-08-06","","In approximately 3 feet of water.",NA,"Douglas","Dowling Lake",46.47405,-92.04487,NA,1167,"46.474050 N"," 92.044870 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017106","Equisetopsida","Poales","Typhaceae","Sparganium emersum",5118,"Rehmann","Sparganium","emersum","","","","","Anderson, Derek S.","432","2004-08-04",2004,8,4,217,"2004-08-04","","In approximately 2 feet of water along shore.",NA,"Ashland","Butternut. Butternut Lake; public landing [Butternut - Parker Lake?]",45.98802,-90.50911,NA,1065,"45.988020 N"," 90.509110 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017107","Equisetopsida","Nymphaeales","Nymphaeaceae","Nymphaea odorata",4342,"Aiton","Nymphaea","odorata","","","","","Anderson, Derek S.","426","2004-08-04",2004,8,4,217,"2004-08-04","","Rooted in 3 feet of water on the lake shore.",NA,"Price","Bass Lake; located near Timm's Hill",45.77689,-90.67033,NA,562,"45.776890 N"," 90.670330 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Anderson, Derek S.","Anderson, Derek S."
"SUWS017116","Equisetopsida","Malpighiales","Violaceae","Viola pedatifida",5398,"G.Don","Viola","pedatifida","","","","","Anderson, Derek S.","375","2004-05-21",2004,5,21,142,"2004-05-21","","Sandy upland area.",NA,"Burnett","Danbury. 2 miles S of Danbury on State Hwy. 35",45.97765,-92.36564,NA,500,"45.977650 N"," 92.365640 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
"SUWS017117","Equisetopsida","Ericales","Ericaceae","Chamaedaphne calyculata var. angustifolia",12906,"(L.) Moench","Chamaedaphne","calyculata","angustifolia","var.","","","Anderson, Derek S.","374","2004-05-21",2004,5,21,142,"2004-05-21","","Lowland, bog area; with black spruce, bog rosemary, blueberry, cranberry and leatherleaf.",NA,"Burnett","Blaine. Along Springbrook Trail",46.07029,-92.18468,NA,4700,"46.070290 N"," 92.184680 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
"SUWS017118","Equisetopsida","Ericales","Ericaceae","Andromeda glaucophylla",12834,"Link","Andromeda","glaucophylla","","","","","Anderson, Derek S.","372","2004-05-21",2004,5,21,142,"2004-05-21","","Lowland, bog area; with black spruce, bog rosemary, blueberry, cranberry and leatherleaf.",NA,"Burnett","Blaine. Along Springbrook Trail",46.07029,-92.18468,NA,4700,"46.070290 N"," 92.184680 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
"SUWS017119","Equisetopsida","Ericales","Ericaceae","Vaccinium macrocarpon",5321,"Aiton","Vaccinium","macrocarpon","","","","","Anderson, Derek S.","373","2004-05-21",2004,5,21,142,"2004-05-21","","Lowland, bog area; with black spruce, bog rosemary, blueberry, cranberry and leatherleaf.",NA,"Burnett","Blaine. Along Springbrook Trail",46.07029,-92.18468,NA,4700,"46.070290 N"," 92.184680 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
"SUWS017120","Equisetopsida","Poales","Cyperaceae","Eriophorum vaginatum",3563,"L.","Eriophorum","vaginatum","","","","","Anderson, Derek S.","371","2004-05-21",2004,5,21,142,"2004-05-21","","Lowland, bog area; with black spruce, bog rosemary, blueberry, cranberry and leatherleaf.",NA,"Burnett","Blaine. Along Springbrook Trail",46.07029,-92.18468,NA,4700,"46.070290 N"," 92.184680 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
"SUWS017121","Equisetopsida","Boraginales","Boraginaceae","Lithospermum canescens",4094,"(Michx.) Lehm.","Lithospermum","canescens","","","","","Anderson, Derek S.","370","2004-05-21",2004,5,21,142,"2004-05-21","","Upland, sandy area; open.",NA,"Burnett","Blaine. Along the Namekagon Trail",46.09382,-92.11243,NA,2200,"46.093820 N"," 92.112430 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Anderson, Derek S.","Anderson, Derek S."
