"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS010050","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods Balsam fir and paper birch.",NA,"Ashland","Rd. 187 (National Forest Road). Near Morgan Falls.",46.34717,-90.9163,NA,429,"46.347170 N"," 90.916300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W."
"SUWS010051","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Brashier","PL-252","1964-07-06",1964,7,6,188,"1964-07-06","","Hardwood forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Smith","Brashier"
"SUWS010052","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Mitchell, John A.","s.n.","1968-05-01",1968,5,1,122,"1968-05-01","","Moist area beneath large old growth of white pine.",NA,"Bayfield","Iron River. S shore, Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,"46.506260 N"," 91.367040 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Mitchell, John A.","Other Collectors"
"SUWS010053","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Johnson, Kurt","s.n.","1967-07-12",1967,7,12,193,"1967-07-12","","Woods.",NA,"Bayfield","Drummond. Donald's Road, 3 mi. NE of Drummond",46.37173,-91.21608,NA,1757,"46.371730 N"," 91.216080 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Johnson, Kurt","Other Collectors"
"SUWS010054","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Brashier","PL-251","1964-07-15",1964,7,15,197,"1964-07-15","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Walvoord","Brashier"
"SUWS010056","Equisetopsida","Lycopodiales","Lycopodiaceae","Huperzia lucidula",3885,"(Michx.) Trevis.","Huperzia","lucidula","","","","","Mitchell, John A.","s.n.","1968-05-01",1968,5,1,122,"1968-05-01","","Just above lake edge on slope bank beneath large old growth white pines, soil sandy and covered with needles.",NA,"Bayfield","Iron River. S shore Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,"46.506260 N"," 91.367040 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Mitchell, John A.","Other Collectors"
"SUWS010070","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Zarling, Ruth","s.n.","1967-07-28",1967,7,28,209,"1967-07-28","","Jack pine forest.",NA,"Bayfield","On CTH N, 5 miles from Pigeon Lake Field Station",46.33991,-91.36446,NA,9024,"46.339910 N"," 91.364460 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Zarling, Ruth","Other Collectors"
"SUWS010072","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Zirngibl, William","s.n.","1985-07-20",1985,7,20,201,"1985-07-20","","Mature poplar and pine forest about 15 ft. from edge of swamp. Deep rhizome not surficial.",NA,"Price","9 miles N of Phillips, E side of Rd. (Hwy 13), Property of Roger Kreger. [W of Coolidge Lake]",45.82694,-90.40043,NA,3036,"45.826940 N"," 90.400430 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Zirngibl, William","Other Collectors"
"SUWS010073","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","",NA,"Bayfield","1.5 miles N by NE of CTH A and National Forest Rd. 390 [there is no FR 390, there is 391 just S of Camp Nine Lake that jcts. with CTH A]",46.40073,-91.41715,NA,819,"46.400730 N"," 91.417150 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","Johnson, Robbye","Other Collectors"
"SUWS010075","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","",NA,"Bayfield","Iron River. Fred's Rd. Chequmegon National Forest, off of CTH A in Iron River",46.62887,-91.31853,NA,7370,"46.628870 N"," 91.318530 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","Johnson, Robbye","Other Collectors"
