"catalogNumber","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010370","Anderson, Danette","",""
"SUWS010371","Anderson, Danette","",""
"SUWS010372","Anderson, Danette","",""
"SUWS010373","Anderson, Danette","",""
"SUWS010374","Anderson, Danette","",""
"SUWS010375","Anderson, Danette","",""
"SUWS010376","Anderson, Danette","",""
"SUWS010377","Anderson, Danette","",""
"SUWS010378","Anderson, Danette","",""
"SUWS010379","Anderson, Danette","",""
"SUWS010380","Anderson, Danette","",""
"SUWS010381","Anderson, Danette","",""
"SUWS010382","Anderson, Danette","",""
"SUWS010383","Anderson, Danette","",""
"SUWS010384","Anderson, Danette","",""
"SUWS010385","Anderson, Danette","",""
"SUWS010386","Anderson, Danette","",""
"SUWS010388","Anderson, Danette","",""
"SUWS010389","Anderson, Danette","",""
"SUWS010390","Anderson, Danette","",""
"SUWS010424","Munich, Robert A.","",""
"SUWS010425","Kristiansen, Stein","",""
"SUWS010426","Munich, Robert A.","",""
"SUWS010427","Kristiansen, Stein","",""
"SUWS010428","Munich, Robert A.","",""
"SUWS010429","Kristiansen, Stein","",""
"SUWS010430","Kristiansen, Stein","",""
"SUWS010438","Munich, Robert A.","",""
"SUWS010439","Kristiansen, Stein","",""
"SUWS010441","Kristiansen, Stein","",""
"SUWS010442","Kristiansen, Stein","",""
"SUWS010443","Kristiansen, Stein","",""
"SUWS010444","Kristiansen, Stein","",""
"SUWS010445","Kristiansen, Stein","",""
"SUWS010446","Munich, Robert A.","",""
"SUWS010447","Kristiansen, Stein","",""
"SUWS010448","Kristiansen, Stein","",""
"SUWS010449","Kristiansen, Stein","",""
"SUWS010451","Kristiansen, Stein","",""
"SUWS010463","Thomson, John W., Jr.","",""
"SUWS010464","","",""
"SUWS010489","Thomson, John W., Jr.","",""
"SUWS010490","McGovern, Scott","",""
"SUWS010491","Hansen, Perky","",""
"SUWS010492","Munich, Robert A.","",""
"SUWS010495","Zirngibl, William","",""
"SUWS010496","Castle, R.","",""
"SUWS010497","McGovern, Scott","",""
"SUWS010498","Munich, Robert A.","",""
"SUWS010499","Gitar"," Rounce",""
"SUWS010500","Gitar"," Rounce",""
"SUWS010501","Anderson, Danette","",""
"SUWS010502","Munich, Robert A.","",""
"SUWS010504","McGovern, Scott","",""
"SUWS010505","Hansen, Perky","",""
"SUWS010506","Munich, Robert A.","",""
"SUWS010507","Mendenhall, Paula M.","",""
"SUWS010508","McGovern, Scott","",""
"SUWS010509","Castle, R.","",""
"SUWS010510","Hansen, Perky","",""
"SUWS010511","Hansen, Perky","",""
"SUWS010513","Castle, R.","",""
"SUWS010514","Mendenhall, Paula M.","",""
"SUWS010518","McGovern, Scott","",""
"SUWS010519","Castle, R.","",""
"SUWS010522","Castle, R.","",""
"SUWS010523","Mendenhall, Paula M.","",""
"SUWS010524","Castle, R.","",""
"SUWS010525","Hansen, Perky","",""
"SUWS010526","McGovern, Scott","",""
"SUWS010527","Castle, R.","",""
"SUWS010528","Castle, R.","",""
"SUWS010529","Munich, Robert A.","",""
"SUWS010530","Kristiansen, Stein","",""
"SUWS010531","Anderson, Danette","",""
"SUWS010538","Younger, Patti"," Bruederle, Leo P.",""
"SUWS010539","McGovern, Scott","",""
"SUWS010540","Kristiansen, Stein","",""
"SUWS010540b","Castle, R.","",""
"SUWS010541","Munich, Robert A.","",""
"SUWS010548","Hansen, Perky","",""
"SUWS010549","Castle, R.","",""
"SUWS010552","McGovern, Scott","",""
"SUWS010555","Castle, R.","",""
"SUWS010556","Castle, R.","",""
"SUWS010557","Castle, R.","",""
"SUWS010559","McGovern, Scott","",""
"SUWS010560","Munich, Robert A.","",""
"SUWS010571","Castle, R.","",""
"SUWS010572","Castle, R.","",""
"SUWS010573","Castle, R.","",""
"SUWS010574","Castle, R.","",""
"SUWS010575","Castle, R.","",""
"SUWS010576","Brashier"," Smith",""
"SUWS010578","Martin, Bonita","",""
"SUWS010579","Heim, John A.","",""
"SUWS010580","Smetak, Scott","",""
"SUWS010581","Martin, Bonita","",""
"SUWS010582","Heim, John A.","",""
"SUWS010583","Ojanen, Joanne M.","",""
"SUWS010585","Ojanen, Joanne M.","",""
"SUWS010585b","Anderson, Jason","",""
"SUWS010586","Heim, John A.","",""
"SUWS010587","Ojanen, Joanne M.","",""
"SUWS010589","Martin, Bonita","",""
"SUWS010590","Martin, Roy","",""
"SUWS010591","Castle, R."," Johnson, R."," Anderson, D."
"SUWS010592","Martin, Bonita","",""
"SUWS010593","Smetak, Scott","",""
"SUWS010594","Heim, John A.","",""
"SUWS010595","Brost, Mike","",""
"SUWS010596","Taylor, W. Carl","",""
"SUWS010599","Smetak, Scott","",""
"SUWS010600","Martin, Bonita","",""
"SUWS010601","Thomson, John W., Jr.","",""
"SUWS010602","Johnson, R."," Castle, R.",""
"SUWS010603","Ojanen, Joanne M.","",""
"SUWS010604","Castle, R.","",""
"SUWS010605","Brost, Mike","",""
"SUWS010606","Johnson, R."," Castle, R.",""
"SUWS010607","Johnson, R.","",""
"SUWS010608","Heim, John A.","",""
"SUWS010609","Brost, Mike","",""
"SUWS010610","Martin, Bonita","",""
"SUWS010611","Ojanen, Joanne M.","",""
"SUWS010612","Thomson, John W., Jr.","",""
"SUWS010612A","Heim, John A.","",""
"SUWS010613","Castle, R.","",""
"SUWS010614","Martin, Bonita","",""
"SUWS010615","Martin, Bonita","",""
"SUWS010616","Martin, Bonita","",""
"SUWS010617","Heim, John A.","",""
"SUWS010618","Somerville, Mary F.","",""
"SUWS010621","Heim, John A.","",""
"SUWS010626","Smetak, Scott","",""
"SUWS010629","Davidson, Donald W."," Collins, Matt",""
"SUWS010629b","Davidson, Donald W."," Collins, Matt",""
"SUWS010630","McGovern, Scott","",""
"SUWS010631","Thomson, John W., Jr.","",""
"SUWS010632","Munich, Robert A.","",""
"SUWS010633","Hansen, Perky","",""
"SUWS010634","Castle, R.","",""
"SUWS010642","McGovern, Scott","",""
"SUWS010643","Davidson, Donald W."," Collins, Matt",""
"SUWS010644","Ojanen, Joanne M.","",""
"SUWS010645","Martin, Bonita","",""
"SUWS010647","Brost, Mike","",""
"SUWS010648","Smetak, Scott","",""
"SUWS010649","Heim, John A.","",""
"SUWS010650","Hansen, Perky","",""
"SUWS010651","Munich, Robert A.","",""
"SUWS010652","Ojanen, Joanne M.","",""
"SUWS010653","Brost, Mike","",""
"SUWS010656","Castle, R.","",""
"SUWS010657","Hein, Elizabeth","",""
"SUWS010658","Martin, Bonita","",""
"SUWS010659","Heim, John A.","",""
"SUWS010660","Castle, R.","",""
"SUWS010663","Castle, R.","",""
"SUWS010667","Castle, R.","",""
"SUWS010668","Hansen, Perky","",""
"SUWS010669","Mendenhall, Paula M.","",""
"SUWS010670","McGovern, Scott","",""
"SUWS010671","Davidson, Donald W."," Collins, Matt",""
"SUWS010672","Davidson, Donald W."," Collins, Matt",""
"SUWS010673","Davidson, Donald W."," Collins, Matt",""
"SUWS010674","Smetak, Scott","",""
"SUWS010676","Martin, Bonita","",""
"SUWS010677","Ojanen, Joanne M.","",""
"SUWS010682","Davidson, Donald W."," Collins, Matt",""
"SUWS010683","Davidson, Donald W."," Collins, Matt",""
"SUWS010684","Anderson, Jason","",""
"SUWS010685","Smetak, Scott","",""
"SUWS010686","Brost, Mike","",""
"SUWS010688","Gitar, Richard D.","",""
"SUWS010689","Ojanen, Joanne M.","",""
"SUWS010690","Castle, R.","",""
"SUWS010691","Ojanen, Joanne M.","",""
"SUWS010692","Castle, R.","",""
"SUWS010695","Heim, John A.","",""
"SUWS010705","Bolender"," Jones, Brashier",""
"SUWS010706","Bolender"," Jones, Brashier",""
"SUWS010707","Koch, Rudy G.","",""
"SUWS010708","Brashier"," Romans",""
"SUWS010709","Brashier"," Romans",""
"SUWS010710","Thomson, John W., Jr.","",""
"SUWS010714","Brashier"," Romans",""
"SUWS010715","Brashier"," Romans",""
"SUWS010717","Koch, Rudy G.","",""
"SUWS010719","Brashier"," Romans",""
"SUWS010720","Brashier"," Gunderson",""
"SUWS010721","Brashier"," Janowski",""
"SUWS010722","Koch, Rudy G.","",""
"SUWS010723","Brashier"," Thoren",""
"SUWS010724","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010725","Barnard"," Brashier",""
"SUWS010725b","Lahti, Duane","",""
"SUWS010726","Brashier"," Romans",""
"SUWS010728","Koch, Rudy G.","",""
"SUWS010728b","Dennery, Ed","",""
"SUWS010730","Koch, Rudy G.","",""
"SUWS010731","Castle, R.","",""
"SUWS010732","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010733","Thomson, John W., Jr.","",""
"SUWS010734","Leitner, Lawrence A.","",""
"SUWS010735","Koch, Rudy G.","",""
"SUWS010736","Castle, R.","",""
"SUWS010737","Brashier"," Romans",""
"SUWS010739","Koch, Rudy G.","",""
"SUWS010740","Brashier"," Romans",""
"SUWS010741","Brost, Mike","",""
"SUWS010742","Clements, Jimmy D.","",""
"SUWS010743","Leitner, Lawrence A.","",""
"SUWS010744","Brashier"," Romans",""
"SUWS010745","Thomson, John W., Jr.","",""
"SUWS010746","Thomson, John W., Jr.","",""
"SUWS010747","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010748","Thomson, John W., Jr.","",""
"SUWS010749","Brashier"," Thoren",""
"SUWS010751","Brashier"," Cherf",""
"SUWS010752","Brashier"," Romans",""
"SUWS010753","C., E. A.","",""
"SUWS010754","Cornell"," Brashier",""
"SUWS010755","Raatz"," Brashier",""
"SUWS010756","Hjerleid"," Brashier",""
"SUWS010757","Barnard"," Brashier",""
"SUWS010758","Collins"," Brashier",""
"SUWS010759","Holden"," Brashier",""
"SUWS010760","Muller"," Brashier",""
"SUWS010761","Wassgren"," Brashier",""
"SUWS010762","Hjerleid"," Brashier",""
"SUWS010763","Brashier"," Romans",""
"SUWS010764","Brashier"," Valaskey",""
"SUWS010765","Collinson, Keith","",""
"SUWS010766","Mitchell, John A.","",""
"SUWS010767","Brashier"," Romans",""
"SUWS010768","Brashier"," Romans",""
"SUWS010769","Koch, Rudy G.","",""
"SUWS010770","Castle, R.","",""
"SUWS010771","Thomson, John W., Jr.","",""
"SUWS010772","Thomson, John W., Jr.","",""
"SUWS010773","Thomson, John W., Jr.","",""
"SUWS010774","Bolender"," Jones, Brashier",""
"SUWS010775","Koch, Rudy G.","",""
"SUWS010777","Koch, Rudy G.","",""
"SUWS010778","Johnson, R.","",""
"SUWS010779","Cornell"," Brashier",""
"SUWS010780","Valaskey"," Brashier",""
"SUWS010781","Brashier"," Cherf",""
"SUWS010782","Muller"," Brashier",""
"SUWS010783","Thomson, John W., Jr.","",""
"SUWS010784","Brashier"," Romans",""
"SUWS010785","Brashier"," Gunderson",""
"SUWS010786","Brashier"," Janowski",""
"SUWS010789","Smith"," Brashier",""
"SUWS010790","Holden"," Brashier",""
"SUWS010791","Shaw, Merton R.","",""
"SUWS010792","Barnard"," Brashier",""
"SUWS010793","Hjerleid"," Brashier",""
"SUWS010794","Stackler, Susan","",""
"SUWS010795","Brashier"," Romans",""
"SUWS010796","Brashier"," Romans",""
"SUWS010797","Brashier"," Romans",""
"SUWS010798","Brashier"," Romans",""
"SUWS010800","Mitchell, John A.","",""
"SUWS010801","Staupe, Jane","",""
"SUWS010803","Thomson, John W., Jr.","",""
"SUWS010805","Brashier"," Romans",""
"SUWS010809","Castle, R.","",""
"SUWS010810","Castle, R.","",""
"SUWS010812","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010813","Castle, R.","",""
"SUWS010814","Heim, John A.","",""
"SUWS010815","Thomson, John W., Jr.","",""
"SUWS010816","Collins"," Brashier",""
"SUWS010817","Cornell"," Brashier",""
"SUWS010818","Koch, Rudy G.","",""
"SUWS010824","Holden"," Brashier",""
"SUWS010825","Thomson, John W., Jr.","",""
"SUWS010827","Koch, Rudy G.","",""
"SUWS010828","Thomson, John W., Jr.","",""
"SUWS010829","McGovern, Scott","",""
"SUWS010830","Mitchell, John A.","",""
"SUWS010831","Thomson, John W., Jr.","",""
"SUWS010832","Mitchell, John A.","",""
"SUWS010833","Brashier"," Romans",""
"SUWS010834","Thomson, John W., Jr.","",""
"SUWS010835","Thomson, John W., Jr.","",""
"SUWS010836","Brashier"," Romans",""
"SUWS010837","Koch, Rudy G.","",""
"SUWS010838","Barnard"," Brashier",""
"SUWS010839","Stackler, Susan","",""
"SUWS010840","Martin, Bonita","",""
"SUWS010843","Sima, Bessie R.","",""
"SUWS010844","Holden"," Brashier",""
"SUWS010845","Brashier"," Romans",""
"SUWS010846","Cornell"," Brashier",""
"SUWS010847","Hjerleid"," Brashier",""
"SUWS010849","Brashier"," Romans",""
"SUWS010850","Thomson, John W., Jr.","",""
"SUWS010851","Thomson, John W., Jr.","",""
"SUWS010852","Thomson, John W., Jr.","",""
"SUWS010853","Thomson, John W., Jr.","",""
"SUWS010854","Lahti, Duane","",""
"SUWS010855","Smetak, Scott","",""
"SUWS010856","Brashier"," Thoren",""
"SUWS010857","Collins"," Brashier",""
"SUWS010858","Thomson, John W., Jr.","",""
"SUWS010859","Cornell"," Brashier",""
"SUWS010860","Holden"," Brashier",""
"SUWS010861","Thomson, John W., Jr.","",""
"SUWS010862","Brashier"," Romans",""
"SUWS010863","Cornell"," Brashier",""
"SUWS010864","Barnard"," Brashier",""
"SUWS010865","Koch, Rudy G.","",""
"SUWS010866","Stackler, Susan","",""
"SUWS010868","Brashier"," Romans",""
"SUWS010869","Brashier"," Romans",""
"SUWS010870","Stackler, Susan","",""
"SUWS010871","Thomson, John W., Jr.","",""
"SUWS010872","Thomson, John W., Jr.","",""
"SUWS010873","Brashier"," Romans",""
"SUWS010874","Stackler, Susan","",""
"SUWS010875","Castle, R.","",""
"SUWS010876","Brashier"," Cherf",""
"SUWS010878","Mitchell, John A.","",""
"SUWS010879","Koch, Rudy G.","",""
"SUWS010885","Swanson, Steven D.","",""
"SUWS010886","Castle, R.","",""
"SUWS010887","Castle, R.","",""
"SUWS010888","Stackler, Susan","",""
"SUWS010889","Shaw, Merton R.","",""
"SUWS010892","Thomson, John W., Jr.","",""
"SUWS010893","Johnson, R.","",""
"SUWS010896","Koch, Rudy G.","",""
"SUWS010897","Stackler, Susan","",""
"SUWS010898","Koch, Rudy G.","",""
"SUWS010900","Koch, Rudy G.","",""
"SUWS010903","Gibbons, Dean W.","",""
"SUWS010904","Thompson, Kathy L.","",""
"SUWS010904b","Nelson, C. J."," Sohmer, S. H.",""
"SUWS010907","Thomson, John W., Jr.","",""
"SUWS010908","Anderson, Jason","",""
"SUWS010909","Martin, Bonita","",""
"SUWS010910","G., R. A.","",""
"SUWS010912","Hall, Norma","",""
"SUWS010913","Hall, Norma","",""
"SUWS010914","Trapp, K.","",""
"SUWS010915","Brashier"," Gall",""
"SUWS010916","Brashier"," Grage",""
"SUWS010918","Ludwig, Larry","",""
"SUWS010919","G., R. A.","",""
"SUWS010920","Hall, Norma","",""
"SUWS010924","Hartley, R.","",""
"SUWS010925","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010926","Schmidt, Mike","",""
"SUWS010927","Castle, R.","",""
"SUWS010929","Sohmer, S. H.","",""
"SUWS010933","Thomson, John W., Jr.","",""
