"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr","t_num","t_dir","r_num","r_dir"
"SUWS011391","Equisetopsida","Malpighiales","Violaceae","Viola lanceolata var. lanceolata",6942,"","Viola","lanceolata","lanceolata","var.","","","Brashier","s.n.","1965-06-08",1965,6,8,159,"1965-06-08","","On lake shore near conservation builidings, sand.",NA,"Douglas","Solon Springs. Solon Springs Wildlife Sanctuary",46.35327,-91.82241,NA,4012,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",45,"N",12,"W"
"SUWS011393","Equisetopsida","Malpighiales","Violaceae","Viola canadensis",5389,"L.","Viola","canadensis","","","Cochrane, Theodore S.","25Jan2010","Brashier","s.n.","1965-05-22",1965,5,22,142,"1965-05-22","","Clay soil, river bottom. Collected 1 month after area was flooded.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Brashier; Romans","Brashier",48,"N",14,"W"
"SUWS011400","Equisetopsida","Malpighiales","Violaceae","Viola pubescens",5399,"Aiton","Viola","pubescens","","","","","Castle, R.","99-111A","1993-05-13",1993,5,13,133,"1993-05-13","","Near the river, rich soils. Yellow flowers, purple veins.",NA,"Douglas","Brule. Hwy 2 rest stop near Brule and the Little Brule River",46.553,-91.57658,NA,4284,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",47,"N",10,"W"
"SUWS011401","Equisetopsida","Malpighiales","Violaceae","Viola pubescens",5399,"Aiton","Viola","pubescens","","","","","Brashier","s.n.","1965-05-22",1965,5,22,142,"1965-05-22","","River bottom, clay soil. Collected 1 month after area was flooded.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Brashier; Romans","Brashier",48,"N",14,"W"
"SUWS011410","Equisetopsida","Malpighiales","Violaceae","Viola pedata",5397,"L.","Viola","pedata","","","","","Brashier","3b","1964-06-01",1964,6,1,153,"1964-06-01","","Open, sandy area bordering the highway.",NA,"Burnett","Danbury. 3 miles S of Danbury, at the jct. of old 35 Rd., and State Hwy 35",45.96741,-92.36349,NA,150,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",40,"N",16,"W"
"SUWS011411","Equisetopsida","Malpighiales","Violaceae","Viola pedata",5397,"L.","Viola","pedata","","","","","Brashier","3a","1964-06-01",1964,6,1,153,"1964-06-01","","Open, sandy area bordering the highway.",NA,"Burnett","Danbury. 3 miles S of Danbury, at the jct. of old 35 Rd., and State Hwy 35",45.96741,-92.36349,NA,150,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",40,"N",16,"W"
"SUWS011414","Equisetopsida","Malpighiales","Violaceae","Viola macloskeyi subsp. pallens",6943,"(Banks ex Ging.) M.S.Baker","Viola","macloskeyi","pallens","subsp.","","","Castle, R.","93-122","1993-05-25",1993,5,25,145,"1993-05-25","","Growing on shore of lake.",NA,"Douglas","Brule. SE of Brule near Rush Lake",46.48917,-91.55495,NA,1000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",46,"N",10,"W"
"SUWS011415","Equisetopsida","Malpighiales","Violaceae","Viola macloskeyi subsp. pallens",6943,"(Banks ex Ging.) M.S.Baker","Viola","macloskeyi","pallens","subsp.","","","Brashier","12b","1964-06-01",1964,6,1,153,"1964-06-01","","Moist area with dark black soil.",NA,"Douglas","Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS011420","Equisetopsida","Malpighiales","Violaceae","Viola sororia",5404,"Willd.","Viola","sororia","","","","","Thomson, John W., Jr.","5032","1942-06-12",1942,6,12,163,"1942-06-12","","Clay soil, wet field.",NA,"Douglas","Superior. S of 22nd St and Weeks Ave., Superior",46.72459,-92.09196,NA,462,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS011420b","Equisetopsida","Malpighiales","Violaceae","Viola sororia",5404,"Willd.","Viola","sororia","","","","","Thomson, John W., Jr.","5430","1943-06-09",1943,6,9,160,"1943-06-09","","Low, wet, clay soil.",NA,"Douglas","Superior. Clough Ave. and 23rd St., Superior",46.71163,-92.09063,NA,120,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS011421","Equisetopsida","Malpighiales","Violaceae","Viola sororia",5404,"Willd.","Viola","sororia","","","","","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","Roadside in sand; near bog.",NA,"Douglas","Patzau. 0.5 mile W State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS011423","Equisetopsida","Malpighiales","Violaceae","Viola sororia",5404,"Willd.","Viola","sororia","","","","","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","Roadside in sand, near bog.",NA,"Douglas","Patzau. 0.5 mile W State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS011424","Equisetopsida","Malpighiales","Violaceae","Viola sororia",5404,"Willd.","Viola","sororia","","","","","Brashier","s.n.","1965-06-10",1965,6,10,161,"1965-06-10","","In forest path in virgin white pine forest; shaded.",NA,"Bayfield","Drummond. 2.5 miles N of Drummond on Hwy 63",46.3456,-91.19926,NA,3287,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",45,"N",7,"W"
"SUWS011425","Equisetopsida","Malpighiales","Violaceae","Viola tricolor",5406,"L.","Viola","tricolor","","","Cochrane, Theodore S.","25Jan2010","Mackensen","s.n.","1966-07-26",1966,7,26,207,"1966-07-26","","Very rich soil.",NA,"Burnett","Nemakogen River area [Bayfield Co. - original in error]",46.08287,-92.11127,NA,5000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Mackensen; Brashier","Other Collectors",42,"N",14,"W"
"SUWS011426","Equisetopsida","Malpighiales","Violaceae","Viola sagittata var. sagittata",6947,"","Viola","sagittata","sagittata","var.","Cochrane, Theodore S.","25Jan2010","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","Wet ditchside.",NA,"Douglas","Superior. 5 miles S of Superior on Hwy 35",46.63637,-92.10374,NA,4228,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",48,"N",14,"W"
"SUWS011428","Equisetopsida","Malpighiales","Violaceae","Viola sagittata var. sagittata",6947,"","Viola","sagittata","sagittata","var.","Cochrane, Theodore S.","25Jan2010","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","Wet ditchside.",NA,"Douglas","Superior. 5 miles S of Superior on Hwy 35",46.63637,-92.10374,NA,4228,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",48,"N",14,"W"
"SUWS011429","Equisetopsida","Malpighiales","Violaceae","Viola cucullata",5390,"Aiton","Viola","cucullata","","","Cochrane, Theodore S.","25Jan2010","Brashier","s.n.","1965-05-22",1965,5,22,142,"1965-05-22","","River bottom, clay soil. Collected 1 month after area was flooded.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Brashier; Romans","Brashier",48,"N",14,"W"
"SUWS011430","Equisetopsida","Malpighiales","Violaceae","Viola sagittata var. sagittata",6947,"","Viola","sagittata","sagittata","var.","Cochrane, Theodore S.","25Jan2010","Brashier","s.n.","1965-06-08",1965,6,8,159,"1965-06-08","","Open area in field, wet.",NA,"Douglas","Superior. Wisconsin State University Forest [Don't think it exists anymore]",46.46411,-91.8994,NA,45399,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",12,"W"
"SUWS011431","Equisetopsida","Malpighiales","Violaceae","Viola renifolia",5400,"A.Gray","Viola","renifolia","","","","","Brashier","s.n.","1965-05-20",1965,5,20,140,"1965-05-20","","Wet soil near swamp; rich soil.",NA,"Douglas","Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS011435","Equisetopsida","Cucurbitales","Cucurbitaceae","Echinocystis lobata",3466,"(Michx.) Torr. & A.Gray","Echinocystis","lobata","","","","","Castle, R.","93-354","1993-08-11",1993,8,11,223,"1993-08-11","","Roadside, growing on weeds. 6 petaled, greenish white flowers.",NA,"Douglas","Maple. S of Maple 0.25 mile on CTH H",46.58604,-91.72074,NA,1337,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Castle, R.","Castle, R.",47,"N",11,"W"
"SUWS011437","Equisetopsida","Cucurbitales","Cucurbitaceae","Echinocystis lobata",3466,"(Michx.) Torr. & A.Gray","Echinocystis","lobata","","","","","Lunda, Judy","65","1977-09-18",1977,9,18,261,"1977-09-18","","Rich soil, open sun, along fence row.",NA,"Bayfield","Ino. 12 miles W of Ashland on CTH G [near Ino]",46.53645,-91.1534,NA,4066,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Lunda, Judy","Other Collectors",47,"N",6,"W"
"SUWS011442","Equisetopsida","Malpighiales","Salicaceae","Populus grandidentata",4609,"Michx.","Populus","grandidentata","","","","","Brashier","PL-198","1964-07-23",1964,7,23,205,"1964-07-23","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Walvoord","Brashier",45,"N",8,"W"
"SUWS011443","Equisetopsida","Malpighiales","Salicaceae","Populus grandidentata",4609,"Michx.","Populus","grandidentata","","","","","Brashier","PL-200","1964-07-23",1964,7,23,205,"1964-07-23","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Grage","Brashier",45,"N",8,"W"
"SUWS011448","Equisetopsida","Malpighiales","Salicaceae","Populus deltoides subsp. monilifera",6805,"(Aiton) Eckenw.","Populus","deltoides","monilifera","subsp.","Cochrane, Theodore S.","V/2002","Castle, R.","93-94","1993-05-10",1993,5,10,130,"1993-05-10","","Planted on old farm, rich soils. Male flowers and a few female flowers present. Planted.",NA,"Douglas","CTH B, 3 miles E of Lake Nebagamon",46.51492,-91.6368,NA,1250,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",47,"N",10,"W"
"SUWS011449","Equisetopsida","Malpighiales","Salicaceae","Populus deltoides subsp. monilifera",6805,"(Aiton) Eckenw.","Populus","deltoides","monilifera","subsp.","","","Demaske, D.","635","1974-05-30",1974,5,30,150,"1974-05-30","","Open area.",NA,"Trempealeau","Perrot State Park, between railroad and cliff in open area on SW side of Trempealeau Mt.",44.01972,-91.48681,NA,500,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Demaske, D.","Other Collectors",18,"N",9,"W"
"SUWS011457","Equisetopsida","Malpighiales","Salicaceae","Populus balsamifera subsp. balsamifera",13230,"L.","Populus","balsamifera","balsamifera","subsp.","","","Suneson, Verna","11329","1934-07-13",1934,7,13,194,"1934-07-13","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Suneson, Verna","Other Collectors",49,"N",14,"W"
"SUWS011458","Equisetopsida","Malpighiales","Salicaceae","Populus balsamifera subsp. balsamifera",13230,"L.","Populus","balsamifera","balsamifera","subsp.","","","Castle, R.","93-10","1993-05-01",1993,5,1,121,"1993-05-01","","Low wet ground with aspen. Stamens collected on ground from 40 feet tall mature trees.",NA,"Douglas","Allouez. Nemadji River and Hwy 2 [Allouez]",46.69663,-92.03495,NA,1035,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",49,"N",13,"W"
"SUWS011461","Equisetopsida","Malpighiales","Salicaceae","Populus alba",4606,"L.","Populus","alba","","","","","Micke, Brian","s.n.","1979-09-16",1979,9,16,259,"1979-09-16","","[Planted?]",NA,"Douglas","Superior. Univ. of Wisconsin - Superior campus",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Micke, Brian","Other Collectors",49,"N",14,"W"
"SUWS011462","Equisetopsida","Malpighiales","Salicaceae","Populus alba",4606,"L.","Populus","alba","","","Cochrane, Theodore S.","V/2002","Castle, R.","93-79","1993-05-08",1993,5,8,128,"1993-05-08","","Clay soils. Planted.",NA,"Douglas","Superior. Univ. of Wisconsin - Superior campus",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",49,"N",14,"W"
"SUWS011463","Equisetopsida","Malpighiales","Salicaceae","Populus alba",4606,"L.","Populus","alba","","","Cochrane, Theodore S.","V/2002","Hall, Norma","11389","1938-07-01",1938,7,1,182,"1938-07-01","","[Probably not wild, but a cultivated tree or root-sprout from a cultivated tree - T.S. Cochrane, 2002]",NA,"Barron","Chetek",45.31413,-91.651,NA,3114,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Hall, Norma","Other Collectors",33,"N",10,"W"
"SUWS011468","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","Brashier","PL-203","1964-07-22",1964,7,22,204,"1964-07-22","","",NA,"Bayfield","Pigeon Lake Field Station [Douglas Co. - original in error]",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Smith","Brashier",45,"N",8,"W"
"SUWS011469","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","Brashier","PL-201","1964-07-23",1964,7,23,205,"1964-07-23","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Valaskey","Brashier",45,"N",8,"W"
"SUWS011470","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","Brashier","PL-202","1964-07-17",1964,7,17,199,"1964-07-17","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Gunderson","Brashier",45,"N",8,"W"
"SUWS011477","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","McGovern, Scott","92/11","1992-09-13",1992,9,13,257,"1992-09-13","","Found along roadside, sandy soil, in direct sun standing alone. 25 feet tall tree with smooth dark gray bark, simple leaves with oval shape.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","McGovern, Scott","Other Collectors",49,"N",14,"W"
"SUWS011478","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","Munich, Robert A.","16/92","1992-10-01",1992,10,1,275,"1992-10-01","","Sandy soil, much grass present. About 20 feet tall, buds very fragrant and gummy.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Munich, Robert A.","Other Collectors",49,"N",14,"W"
"SUWS011482","Equisetopsida","Caryophyllales","Caryophyllaceae","Cerastium fontanum subsp. vulgare",6572,"(Hartm.) Greuter & Burdet","Cerastium","fontanum","vulgare","subsp.","","","Hjerleid","s.n.","1966-07-24",1966,7,24,205,"1966-07-24","","Sandy open ground.",NA,"Bayfield","NW side of Pigeon Lake",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Hjerleid; Brashier","Other Collectors",45,"N",8,"W"
"SUWS011483","Equisetopsida","Malpighiales","Salicaceae","Populus tremuloides",4611,"Michx.","Populus","tremuloides","","","","","Castle, R.","93-62","1993-04-25",1993,4,25,115,"1993-04-25","","Field, with tag alder. Male flowers present.",NA,"Douglas","Superior. Univ. of Wisconsin - Superior campus, In parking lot near Wessman Arena",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"April","Castle, R.","Castle, R.",49,"N",14,"W"
"SUWS011485","Equisetopsida","Malpighiales","Salicaceae","Populus nigra",4610,"L.","Populus","nigra","","","Cochrane, Theodore S.","25Nov2009","Hall, Norma","11387","1938-07-10",1938,7,10,191,"1938-07-10","","[Some cultivated variety, lacking notes on or photo of habit - probably not growing ""wild"" - T.S. Cochrane, 2009]",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011486","Equisetopsida","Malpighiales","Salicaceae","Populus balsamifera subsp. balsamifera",13230,"L.","Populus","balsamifera","balsamifera","subsp.","Cochrane, Theodore S.","25Nov2009","Hall, Norma","11335","1938-06-20",1938,6,20,171,"1938-06-20","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011493","Equisetopsida","Malpighiales","Salicaceae","Salix bebbiana",4944,"Sarg.","Salix","bebbiana","","","","","Thomson, John W., Jr.","5467","1943-08-15",1943,8,15,227,"1943-08-15","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS011495","Equisetopsida","Malpighiales","Salicaceae","Salix eriocephala",4949,"Michx.","Salix","eriocephala","","","","","Thomson, John W., Jr.","5468","1943-08-15",1943,8,15,227,"1943-08-15","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS011497","Equisetopsida","Malpighiales","Salicaceae","Salix discolor",4948,"Muhl.","Salix","discolor","","","","","","s.n.","1942-04-22",1942,4,22,112,"1942-04-22","","",NA,"Douglas","Superior. UWS Campus [University of Wisconsin - Superior]",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"April","","Other Collectors",49,"N",14,"W"
"SUWS011498","Equisetopsida","Malpighiales","Salicaceae","Salix discolor",4948,"Muhl.","Salix","discolor","","","","","","s.n.","1942-04-22",1942,4,22,112,"1942-04-22","","",NA,"Douglas","Superior. UWS Campus [University of Wisconsin - Superior]",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"April","","Other Collectors",49,"N",14,"W"
"SUWS011501","Equisetopsida","Malpighiales","Salicaceae","Salix discolor",4948,"Muhl.","Salix","discolor","","","","","Castle, R.","93-91","1993-05-10",1993,5,10,130,"1993-05-10","","In ditch, damp soil.",NA,"Douglas","Near closed Lake Nebagamon dump",46.5102,-91.70372,NA,4603,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Castle, R.","Castle, R.",47,"N",11,"W"
"SUWS011502","Equisetopsida","Malpighiales","Salicaceae","Salix discolor",4948,"Muhl.","Salix","discolor","","","","","Charboneau, E.","C143E52","1980-08-05",1980,8,5,218,"1980-08-05","","",NA,"Douglas","Lyman Lake bridge, on CTH C at flowage",46.45669,-91.98397,NA,1672,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Charboneau, E.","Other Collectors",46,"N",13,"W"
"SUWS011505","Equisetopsida","Malpighiales","Salicaceae","Salix exigua subsp. interior",11240,"Nutt.","Salix","exigua","interior","subsp.","","","Hansen, Perky","92/25","1992-10-01",1992,10,1,275,"1992-10-01","","Rocky, moist humus, dogwood nearby. 10 feet tall.",NA,"Douglas","Superior. Bayside, near road",46.69111,-91.91731,NA,29129,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Hansen, Perky","Other Collectors",49,"N",12,"W"
"SUWS011506","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","Cochrane, Theodore S.","27Jan2010","Munich, Robert A.","31/92","1992-10-20",1992,10,20,294,"1992-10-20","","Wet humus, many grasses and poplars present, growing on the side of a field near a ravine. About 15 feet tall, many branches.",NA,"Douglas","Superior. Billings Drive archery range",46.68211,-92.15082,NA,2995,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Munich, Robert A.","Other Collectors",49,"N",14,"W"
"SUWS011509","Equisetopsida","Malpighiales","Salicaceae","Salix humilis",4951,"Marshall","Salix","humilis","","","","","Hall, Norma","11484","1938-06-28",1938,6,28,179,"1938-06-28","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011512","Equisetopsida","Malpighiales","Salicaceae","Salix exigua subsp. interior",11240,"Nutt.","Salix","exigua","interior","subsp.","","","Suneson, Verna","11533","1934-07-16",1934,7,16,197,"1934-07-16","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Suneson, Verna","Other Collectors",49,"N",14,"W"
"SUWS011513","Equisetopsida","Malpighiales","Salicaceae","Salix exigua subsp. interior",11240,"Nutt.","Salix","exigua","interior","subsp.","","","G., R.A.F","11516","1939-06-01",1939,6,1,152,"1939-06-01","","Collection date: 1939.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","G., R.A.F","Other Collectors",49,"N",14,"W"
"SUWS011514","Equisetopsida","Malpighiales","Salicaceae","Salix exigua subsp. interior",11240,"Nutt.","Salix","exigua","interior","subsp.","","","Munich, Robert A.","13/92","1992-10-01",1992,10,1,275,"1992-10-01","","Wet, sandy soil on side of road. About 10 feet tall. Narrow toothed leaves.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Munich, Robert A.","Other Collectors",49,"N",14,"W"
"SUWS011519","Equisetopsida","Malpighiales","Salicaceae","Salix lucida subsp. lucida",13293,"Muhl.","Salix","lucida","lucida","subsp.","","","Hall, Norma","11549","1938-07-06",1938,7,6,187,"1938-07-06","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011520","Equisetopsida","Malpighiales","Salicaceae","Salix lucida subsp. lucida",13293,"Muhl.","Salix","lucida","lucida","subsp.","","","Suneson, Verna","11548","1934-07-13",1934,7,13,194,"1934-07-13","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Suneson, Verna","Other Collectors",49,"N",14,"W"
"SUWS011521","Equisetopsida","Malpighiales","Salicaceae","Salix lucida subsp. lucida",13293,"Muhl.","Salix","lucida","lucida","subsp.","","","","s.n.","1931-07-01",1931,7,1,182,"1931-07-01","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","","Other Collectors",49,"N",14,"W"
"SUWS011526","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","","","Hall, Norma","11469","1938-06-23",1938,6,23,174,"1938-06-23","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011527","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","","","Suneson, Verna","11543","1934-07-13",1934,7,13,194,"1934-07-13","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Suneson, Verna","Other Collectors",49,"N",14,"W"
"SUWS011528","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","","","Hall, Norma","11580","1938-06-26",1938,6,26,177,"1938-06-26","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Hall, Norma","Other Collectors",49,"N",14,"W"
"SUWS011529","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","","","","s.n.","1931-07-01",1931,7,1,182,"1931-07-01","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","","Other Collectors",49,"N",14,"W"
"SUWS011531","Equisetopsida","Malpighiales","Salicaceae","Salix petiolaris",4957,"Sm.","Salix","petiolaris","","","","","Suneson, Verna","11578","1934-07-13",1934,7,13,194,"1934-07-13","","",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Suneson, Verna","Other Collectors",49,"N",14,"W"
