"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr","t_num","t_dir","r_num","r_dir"
"SUWS015738","Equisetopsida","Poales","Cyperaceae","Eriophorum viridicarinatum",3565,"(Engelm.) Fernald","Eriophorum","viridicarinatum","","","","","Koch, Rudy G.","9983","1975-09-12",1975,9,12,255,"1975-09-12","","Bog.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS015739","Equisetopsida","Poales","Cyperaceae","Eriophorum viridicarinatum",3565,"(Engelm.) Fernald","Eriophorum","viridicarinatum","","","","","Wassgren","s.n.","1964-06-27",1964,6,27,179,"1964-06-27","","In bog.",NA,"Bayfield","Drummond. near Pigeon Lake",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Wassgren; Brashier","Other Collectors",45,"N",8,"W"
"SUWS015746","Equisetopsida","Poales","Cyperaceae","Eriophorum vaginatum",3563,"L.","Eriophorum","vaginatum","","","","","Brashier","s.n.","1965-06-20",1965,6,20,171,"1965-06-20","","In bog.",NA,"Douglas","Patzau. 0.5 miles W of State Highway 35 on CTH BB on the James Romans property [E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS015751","Equisetopsida","Poales","Cyperaceae","Eriophorum vaginatum",3563,"L.","Eriophorum","vaginatum","","","Castle, R.","","Brashier","s.n.","1965-06-20",1965,6,20,171,"1965-06-20","","In bog.",NA,"Douglas","Patzau. 0.5 miles W of State Highway 35 on CTH BB on the James Romans property [E of Patzau]",46.48986,-92.18414,NA,1517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Romans","Brashier",46,"N",15,"W"
"SUWS015760","Equisetopsida","Poales","Cyperaceae","Scirpus cyperinus",4999,"(L.) Kunth","Scirpus","cyperinus","","","Castle, R.","1994","Thomson, John W., Jr.","5283","1943-08-04",1943,8,4,216,"1943-08-04","","Low, wet; clay soil.",NA,"Douglas","Superior. S of 22nd St. and Weeks Ave., Superior",46.72459,-92.09196,NA,462,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.; Fassett, Norman C.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS015765","Equisetopsida","Poales","Cyperaceae","Scirpus atrovirens",4998,"Willd.","Scirpus","atrovirens","","","Cochrane, Theodore S.","10/1974","Sohmer, S. H.","2378","1968-07-16",1968,7,16,198,"1968-07-16","","Stream.",NA,"La Crosse","Newburg Corners. Ca. 2 miles SE of Newburg Corners; Meadow Brook Park; Bohemian Valley",43.75698,-90.94954,NA,2000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Sohmer, S. H.","Other Collectors",15,"N",5,"W"
"SUWS015781","Equisetopsida","Poales","Poaceae","Agrostis hyemalis",2465,"(Walter) Britton, Sterns & Poggenb.","Agrostis","hyemalis","","","Castle, R.","1994","Shinners, L. H.","2946","1940-08-22",1940,8,22,235,"1940-08-22","","Sandy roadway.",NA,"Adams","Adams. 2 miles NE of Adams; Minnie Rock",44.07036,-89.75834,NA,101,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Shinners, L. H.; Catenhusen, John","Other Collectors",19,"N",6,"E"
"SUWS015798","Equisetopsida","Poales","Poaceae","Beckmannia syzigachne",2725,"(Steud.) Fernald","Beckmannia","syzigachne","","","","","Thomson, John W., Jr.","s.n.","1942-07-13",1942,7,13,194,"1942-07-13","","Wet field.",NA,"Douglas","Superior. S of 22nd and Weeks Ave., Superior",46.70801,-92.10408,NA,3099,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS015811","Equisetopsida","Poales","Poaceae","Bromus ciliatus",2789,"L.","Bromus","ciliatus","","","","","Thomson, John W., Jr.","5018","1942-08-23",1942,8,23,235,"1942-08-23","","",NA,"Douglas","Superior. Along road to Wisconsin Point.",46.69472,-91.99265,NA,2450,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS015844","Equisetopsida","Poales","Poaceae","Elytrigia repens",13017,"(L.) Desv. ex B.D.Jacks.","Elytrigia","repens","","","Castle, R.","","Thomson, John W., Jr.","5254","1943-07-04",1943,7,4,185,"1943-07-04","","In yard.",NA,"Douglas","Superior. 920 N 22nd St., Superior",46.71231,-92.09136,NA,122,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS015848","Equisetopsida","Poales","Poaceae","Eragrostis minor",3547,"Host","Eragrostis","minor","","","Castle, R.","1994","Shinners, L. H.","2491","1940-08-06",1940,8,6,219,"1940-08-06","","RR tracks.",NA,"Racine","Burlington. Soo Line RR tracks N side of Burlington",42.67807,-88.2762,NA,4266,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Shinners, L. H.","Other Collectors",3,"N",19,"E"
"SUWS015850","Equisetopsida","Poales","Poaceae","Eragrostis hypnoides",3546,"(Lam.) Britton, Sterns & Poggenb.","Eragrostis","hypnoides","","","","","Smith, W. A.","208-76","1976-08-13",1976,8,13,226,"1976-08-13","","Banks of river.",NA,"Vernon","Banks of Kickapoo River",43.57144,-90.66673,NA,18241,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Smith, W. A.","Other Collectors",13,"N",2,"W"
"SUWS015863","Equisetopsida","Poales","Poaceae","Hordeum jubatum",3874,"L.","Hordeum","jubatum","","","","","Thomson, John W., Jr.","5459","1943-08-06",1943,8,6,218,"1943-08-06","","Backyard.",NA,"Douglas","Superior. Backyard of 920 N 22nd St., Superior",46.71231,-92.09136,NA,122,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS015876","Equisetopsida","Poales","Poaceae","Dichanthelium leibergii",3390,"(Vasey) Freckmann","Dichanthelium","leibergii","","","","","Konkel, Deborah","s.n.","1992-06-19",1992,6,19,171,"1992-06-19","","Bank facing the railroad tracks to the N. Bromus inermis, Tradescantia ohiensis, Zizia aurea and Carex spp.",NA,"Monroe","At the far W end of the prairie [=Monroe Co.]",43.95,-90.62,NA,34765,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Konkel, Deborah","Other Collectors",17,"N",2,"W"
"SUWS015931","Equisetopsida","Poales","Poaceae","Sporobolus heterolepis",5144,"(A.Gray) A.Gray","Sporobolus","heterolepis","","","","","Konkel, Deborah","1036","1992-08-14",1992,8,14,227,"1992-08-14","","With Amorpha canescens, Andropogon gerardii, and Panicum virgatum. Occasional species, occurs as tussocks.",NA,"La Crosse","Rockland. La Crosse River Trail Prairie E of Rockland [E of Rockland could be either La Crosse Co. or Monroe Co.]",43.90425,-90.9157,NA,450,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Konkel, Deborah","Other Collectors",17,"N",5,"W"
"SUWS015943","Equisetopsida","Poales","Typhaceae","Sparganium americanum",5115,"Nutt.","Sparganium","americanum","","","","","Castle, R.","94-6","1994-06-28",1994,6,28,179,"1994-06-28","","Growing in 6 inches of water.",NA,"Douglas","Superior. Belknap and Hwy. 2 on Lake Superior",46.72313,-92.13386,NA,752,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Castle, R.","Castle, R.",49,"N",14,"W"
"SUWS015955","Equisetopsida","Poales","Typhaceae","Sparganium",1300,"L.","Sparganium","","","","Harms, V. L.","May 1971","Thomson, John W., Jr.","5268","1943-08-07",1943,8,7,219,"1943-08-07","","On muck bottom.",NA,"Douglas","Just below Stone's Bridge",46.4353,-91.67262,NA,1162,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.; Jacobson, J. R.","Thomson, John W., Jr.",46,"N",10,"W"
