Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
862,SUWS012826,Equisetopsida,Boraginales,Boraginaceae,Mertensia paniculata var. paniculata,6754,,Mertensia,paniculata,paniculata,var.,"Cochrane, Theodore S.",1/1971,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Clay soil in hardwoods.,NA,Douglas,Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property,46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.65497,-92.10442,862,1,862,93354961.12,38691.86308,41,40,24814,2,48,14,W
863,SUWS012827,Equisetopsida,Boraginales,Boraginaceae,Mertensia paniculata var. paniculata,6754,,Mertensia,paniculata,paniculata,var.,"Cochrane, Theodore S.",1/1971,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Clay soil in hardwoods.,NA,Douglas,Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property,46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.65497,-92.10442,863,1,863,93354961.12,38691.86308,41,40,24814,2,48,14,W
864,SUWS012828,Equisetopsida,Boraginales,Boraginaceae,Mertensia paniculata var. paniculata,6754,,Mertensia,paniculata,paniculata,var.,"Cochrane, Theodore S.",1/1971,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Clay soil in hardwoods.,NA,Douglas,Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property,46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.65497,-92.10442,864,1,864,93354961.12,38691.86308,41,40,24814,2,48,14,W
865,SUWS012834,Equisetopsida,Boraginales,Boraginaceae,Myosotis scorpioides,4301,L.,Myosotis,scorpioides,,,"Cochrane, Theodore S.",1/1971,Cornell,s.n.,1966-07-07,1966,7,7,188,1966-07-07,,"Soil sandy and loose, surrounding area wooded.",NA,Bayfield,Drummond. 3 miles E of Drummond on Town Roads 216 and 213,46.30866,-91.2045,NA,3269,46.308660 N, 91.204500 W,46.30866,-91.2045,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Other Collectors,46.30866,-91.2045,865,1,865,92875669.31,38567.01091,116,115,24407,2,44,7,W
866,SUWS012835,Equisetopsida,Boraginales,Boraginaceae,Myosotis scorpioides,4301,L.,Myosotis,scorpioides,,,"Cochrane, Theodore S.",1/1971,Thoren,s.n.,1964-07-06,1964,7,6,188,1964-07-06,,Brookside.,NA,Douglas,Brule. Fish Hatchery at Brule,46.53529,-91.58211,NA,1088,46.535290 N, 91.582110 W,46.53529,-91.58211,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Thoren; Brashier,Other Collectors,46.53529,-91.58211,866,1,866,93017478.21,38599.04619,60,59,24710,2,47,10,W
867,SUWS012851,Equisetopsida,Lamiales,Verbenaceae,Verbena hastata,5341,L.,Verbena,hastata,,,"Tans, William",Mar 1975,Brashier,233a,1964-06-30,1964,6,30,182,1964-06-30,,On beach of lake; sandy soil.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.34228,-91.34901,867,1,867,92054397.66,38461.88047,97,96,24508,2,45,8,W
868,SUWS012867,Equisetopsida,Lamiales,Lamiaceae,Galeopsis tetrahit,3659,L.,Galeopsis,tetrahit,,,,,Brashier,185a,1964-08-04,1964,8,4,217,1964-08-04,,In tall grass in ditch adjacent to road; shaded.,NA,Douglas,South Superior. 1 mile N of jct. of CTH A (Sunnyside Rd.) and CTH C [ca. 3mi SE of South Superior],46.62914,-92.06763,NA,2273,46.629140 N, 92.067630 W,46.62914,-92.06763,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.62914,-92.06763,868,1,868,93354961.12,38691.86308,41,40,24814,2,48,14,W
869,SUWS012871,Equisetopsida,Lamiales,Lamiaceae,Glechoma hederacea,3713,L.,Glechoma,hederacea,,,,,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Sandy roadside.,NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans Property [E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,869,1,869,92130815.8,38625.8977,71,70,24615,2,46,15,W
870,SUWS012872,Equisetopsida,Lamiales,Lamiaceae,Glechoma hederacea,3713,L.,Glechoma,hederacea,,,,,Brashier,77b,1964-06-02,1964,6,2,154,1964-06-02,,Open field area in tall grass between road and creek.,NA,Pierce,East Ellsworth. 2 miles N of East Ellsworth on State Hwy 35 near railroad trestle,44.76115,-92.48741,NA,NA,44.761150 N, 92.487410 W,44.76115,-92.48741,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,44.76115,-92.48741,870,1,870,92925383.85,38580.61709,841,840,22617,2,26,17,W
871,SUWS012875,Equisetopsida,Lamiales,Lamiaceae,Lycopus virginicus,4157,L.,Lycopus,virginicus,,,,,Hjerleid,s.n.,1966-07-14,1966,7,14,195,1966-07-14,,Low area (pothole). [OUT OF RANGE?],NA,Bayfield,NE Shore of Lake Owen and Hwy. 213,46.3044,-91.21089,NA,1333,46.304400 N, 91.210890 W,46.3044,-91.21089,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Other Collectors,46.3044,-91.21089,871,1,871,92875669.31,38567.01091,116,115,24407,2,44,7,W
872,SUWS012891,Equisetopsida,Lamiales,Lamiaceae,Monarda fistulosa subsp. fistulosa,6757,,Monarda,fistulosa,fistulosa,subsp.,,,Hjerleid,s.n.,1966-07-24,1966,7,24,205,1966-07-24,,Open field.,NA,Bayfield,2 miles W of Pigeon Lake on CTH A,46.34227,-91.39095,NA,801,46.342270 N, 91.390950 W,46.34227,-91.39095,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Other Collectors,46.34227,-91.39095,872,1,872,92054397.66,38461.88047,97,96,24508,2,45,8,W
873,SUWS012893,Equisetopsida,Lamiales,Lamiaceae,Monarda fistulosa subsp. fistulosa,6757,,Monarda,fistulosa,fistulosa,subsp.,,,"Koch, Rudy G.",7256,1971-07-31,1971,7,31,212,1971-07-31,,Hills of the Driftless area; along bank of small stream; sunny.,NA,Richland,Boaz. Ca. 5 miles N of Boaz; John Shelton Farm,43.40249,-90.5566,NA,3000,43.402490 N, 90.556600 W,43.40249,-90.5566,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Koch, Rudy G.","Koch, Rudy G.",43.40249,-90.5566,873,1,873,93362370.91,38627.07442,1398,1397,21102,2,11,2,W
874,SUWS012894,Equisetopsida,Lamiales,Lamiaceae,Monarda fistulosa subsp. fistulosa,6757,,Monarda,fistulosa,fistulosa,subsp.,,,Cornell,s.n.,1966-07-13,1966,7,13,194,1966-07-13,,Roadside; soil sandy and loose; open area.,NA,Bayfield,Pigeon Lake Rd. 1.75 miles W of Pigeon Lake Camp,46.34042,-91.37189,NA,789,46.340420 N, 91.371890 W,46.34042,-91.37189,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Other Collectors,46.34042,-91.37189,874,1,874,92054397.66,38461.88047,97,96,24508,2,45,8,W
875,SUWS012899,Equisetopsida,Lamiales,Lamiaceae,Monarda fistulosa subsp. fistulosa,6757,,Monarda,fistulosa,fistulosa,subsp.,,,Holden,s.n.,1966-07-19,1966,7,19,200,1966-07-19,,Meadow with grass and shrubs; rich soil.,NA,Bayfield,8 miles W of Pigeon Lake on CTH N [near Henderson Lake],46.33715,-91.49841,NA,851,46.337150 N, 91.498410 W,46.33715,-91.49841,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Holden; Brashier,Other Collectors,46.33715,-91.49841,875,1,875,91868405.64,38314.60928,96,95,24509,2,45,9,W
876,SUWS012906,Equisetopsida,Lamiales,Lamiaceae,Mentha arvensis var. canadensis,13141,(L.) Kuntze,Mentha,arvensis,canadensis,var.,"Castle, R.",1994,Brashier,148a,1964-08-18,1964,8,18,231,1964-08-18,,Wet roadside.,NA,Douglas,Patzau. 2 miles W of State Hwy 35 on CTH BB [near Patzau],46.49133,-92.22075,NA,2762,46.491330 N, 92.220750 W,46.49133,-92.22075,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.49133,-92.22075,876,1,876,92130815.8,38625.8977,71,70,24615,2,46,15,W
877,SUWS012907,Equisetopsida,Lamiales,Lamiaceae,Mentha arvensis var. canadensis,13141,(L.) Kuntze,Mentha,arvensis,canadensis,var.,,,"Thomson, John W., Jr.",s.n.,1942-07-18,1942,7,18,199,1942-07-18,,[Labled as Mentha arvensis var. glabrata].,NA,Douglas,Superior. Sand Island in Superior harbor,46.73216,-92.0663,NA,5192,46.732160 N, 92.066300 W,46.73216,-92.0663,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Thomson, John W., Jr.; Smith, C. W.","Thomson, John W., Jr.",46.73216,-92.0663,877,1,877,77718721.67,35378.21444,29,28,24914,2,49,14,W
878,SUWS012908,Equisetopsida,Lamiales,Lamiaceae,Mentha arvensis var. canadensis,13141,(L.) Kuntze,Mentha,arvensis,canadensis,var.,,,"Thomson, John W., Jr.",5638,1943-08-17,1943,8,17,229,1943-08-17,,In heavy wet clay soil.,NA,Douglas,"Superior. S of 920 N 22nd St., Superior",46.71231,-92.09136,NA,122,46.712310 N, 92.091360 W,46.71231,-92.09136,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.71231,-92.09136,878,1,878,77718721.67,35378.21444,29,28,24914,2,49,14,W
879,SUWS012913,Equisetopsida,Lamiales,Lamiaceae,Mentha arvensis var. canadensis,13141,(L.) Kuntze,Mentha,arvensis,canadensis,var.,"Castle, R.",1994,Brashier,133c,1964-08-26,1964,8,26,239,1964-08-26,,Wet roadside in tall grass.,NA,Douglas,Superior. 1 mile N of U.S. Hwy. 2 on Wisconsin Point Rd. [Moccassin Mike Rd.],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.67311,-91.97214,879,1,879,92715991.97,38478.30907,42,41,24813,2,48,13,W
880,SUWS012914,Equisetopsida,Lamiales,Lamiaceae,Mentha arvensis var. canadensis,13141,(L.) Kuntze,Mentha,arvensis,canadensis,var.,,,Hjerleid,s.n.,1966-07-12,1966,7,12,193,1966-07-12,,Open brushy low land.,NA,Bayfield,Cable. 4 miles S of Cable on Hwy 63,46.15366,-91.32955,NA,4091,46.153660 N, 91.329550 W,46.15366,-91.32955,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Other Collectors,46.15366,-91.32955,880,1,880,92746876.27,38442.33787,162,161,24208,2,42,8,W
881,SUWS012924,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"Matte, Paul",96/11,1996-10-19,1996,10,19,293,1996-10-19,,"Rocky, wet silty soil, near lake shore.",NA,Door,"Nasewaupee. Sand Bay area, Snake Island Rd.",44.85888,-87.4901,NA,1191,44.858880 N, 87.490100 W,44.85888,-87.4901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Matte, Paul",Other Collectors,44.85888,-87.4901,881,1,881,92398133.74,38547.47962,752,751,42825,4,28,25,E
882,SUWS013044,Equisetopsida,Asterales,Asteraceae,Cirsium vulgare,3144,(Savi) Ten.,Cirsium,vulgare,,,,,"Messina, Stacy",96/15,1996-09-17,1996,9,17,261,1996-09-17,,"Open area, roadside.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Messina, Stacy",Other Collectors,46.67311,-91.97214,882,1,882,92715991.97,38478.30907,42,41,24813,2,48,13,W
883,SUWS013074,Equisetopsida,Commelinales,Commelinaceae,Tradescantia virginiana,NA,L.,,,,,,,"Wagner, Christina",97/38,1997-07-07,1997,7,7,188,1997-07-07,,Prairie. [EXCLUDED],NA,Burnett,Grantsburg,45.77922,-92.6827,NA,1700,45.779220 N, 92.682700 W,45.77922,-92.6827,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Wagner, Christina",Other Collectors,45.77922,-92.6827,883,1,883,93274030.75,38592.11403,295,294,23819,2,38,19,W
884,SUWS013075,Equisetopsida,Liliales,Liliaceae,Lilium philadelphicum,8631,L.,Lilium,philadelphicum,,,,,"Wagner, Christina",39/97,1997-07-07,1997,7,7,188,1997-07-07,,Prairie.,NA,Burnett,Grantsburg,45.77922,-92.6827,NA,1700,45.779220 N, 92.682700 W,45.77922,-92.6827,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Wagner, Christina",Other Collectors,45.77922,-92.6827,884,1,884,93274030.75,38592.11403,295,294,23819,2,38,19,W
885,SUWS013077,Equisetopsida,Lamiales,Lamiaceae,Mentha X piperita,13138,L. (pro sp.),Mentha,X piperita,,,,,"Wagner, Christina",36/97,1997-07-07,1997,7,7,188,1997-07-07,,Prairie.,NA,Burnett,Grantsburg,45.77922,-92.6827,NA,1700,45.779220 N, 92.682700 W,45.77922,-92.6827,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Wagner, Christina",Other Collectors,45.77922,-92.6827,885,1,885,93274030.75,38592.11403,295,294,23819,2,38,19,W
886,SUWS013089,Equisetopsida,Boraginales,Boraginaceae,Lithospermum canescens,4094,(Michx.) Lehm.,Lithospermum,canescens,,,,,"Wagner, Christina",42/97,1997-07-07,1997,7,7,188,1997-07-07,,Prairie.,NA,Burnett,Grantsburg,45.77922,-92.6827,NA,1700,45.779220 N, 92.682700 W,45.77922,-92.6827,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Wagner, Christina",Other Collectors,45.77922,-92.6827,886,1,886,93274030.75,38592.11403,295,294,23819,2,38,19,W
887,SUWS013111,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum scandens,13042,L.,Polygonum,scandens,,,,,"Byrns, Frank",May-99,1999-09-07,1999,9,7,250,1999-09-07,,"Moist woods, thickets, and roadsides. Perenial to 5 m, stem sharply angled, leaves oblong-ovate or broadly cordate.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Byrns, Frank",Other Collectors,46.68122,-92.06631,887,1,887,77718721.67,35378.21444,29,28,24914,2,49,14,W
888,SUWS013115,Equisetopsida,Gentianales,Apocynaceae,Asclepias syriaca,2644,L.,Asclepias,syriaca,,,,,"Byrns, Frank",7/99,1999-09-07,1999,9,7,250,1999-09-07,,"Fields, meadows and roadsides.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Byrns, Frank",Other Collectors,46.68122,-92.06631,888,1,888,77718721.67,35378.21444,29,28,24914,2,49,14,W
889,SUWS013119,Equisetopsida,Pinales,Pinaceae,Pinus banksiana,4501,Lamb.,Pinus,banksiana,,,,,"Byrns, Frank",14/99,1999-09-07,1999,9,7,250,1999-09-07,,"Dry to sterile, sany, rocky soil. Small, spreading branches, lvs in 2's, usually curved cones erect, curved.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Byrns, Frank",Other Collectors,46.68122,-92.06631,889,1,889,77718721.67,35378.21444,29,28,24914,2,49,14,W
890,SUWS013121,Equisetopsida,Pinales,Pinaceae,Pinus resinosa,4505,Aiton,Pinus,resinosa,,,,,"Byrns, Frank",15/99,1999-09-07,1999,9,7,250,1999-09-07,,"Dry, sandy, rocky, soil. Tree to 40 m, lvs. In 2's, cones spreading.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Byrns, Frank",Other Collectors,46.68122,-92.06631,890,1,890,77718721.67,35378.21444,29,28,24914,2,49,14,W
891,SUWS013122,Equisetopsida,Ranunculales,Ranunculaceae,Thalictrum dioicum,5216,L.,Thalictrum,dioicum,,,,,"Byrns, Frank",Dec-99,1999-09-07,1999,9,7,250,1999-09-07,,"Moist woods. Petioles elongate, filaments and anthers yellow, achenes sessile or subsessile.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Byrns, Frank",Other Collectors,46.68122,-92.06631,891,1,891,77718721.67,35378.21444,29,28,24914,2,49,14,W
892,SUWS013140,Equisetopsida,Cupressales,Cupressaceae,Thuja occidentalis,5227,L.,Thuja,occidentalis,,,,,"Byrns, Frank",33/99,1999-10-01,1999,10,1,274,1999-10-01,,"Moist or wet soils often in swamps. Conical tree to 20 m with widely spreading branches, branchlets soft and flat.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Byrns, Frank",Other Collectors,46.67545,-92.14871,892,1,892,93354961.12,38691.86308,41,40,24814,2,48,14,W
893,SUWS013142,Equisetopsida,Pinales,Pinaceae,Picea glauca,4494,(Moench) Voss,Picea,glauca,,,,,"Byrns, Frank",34-99,1999-10-01,1999,10,1,274,1999-10-01,,"Mostly in rich moist soil. Tree to 25 m, crown slender, twigs glaborous, lvs 8-18 mm.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Byrns, Frank",Other Collectors,46.67545,-92.14871,893,1,893,93354961.12,38691.86308,41,40,24814,2,48,14,W
894,SUWS013146,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"Byrns, Frank",38/99,1999-10-01,1999,10,1,274,1999-10-01,,Moist upland woods and stream sides. Tree with light greenish gray bark.,NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Byrns, Frank",Other Collectors,46.67545,-92.14871,894,1,894,93354961.12,38691.86308,41,40,24814,2,48,14,W
895,SUWS013148,Equisetopsida,Cornales,Cornaceae,Cornus canadensis,3215,L.,Cornus,canadensis,,,,,"Byrns, Frank",40/99,1999-10-01,1999,10,1,274,1999-10-01,,"Moist acid woods and bogs. [No year specified on date collected, but based upon other collections of this individual best year would be:1999]",NA,Douglas,Superior. Superior School Forest,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Byrns, Frank",Other Collectors,46.68122,-92.06631,895,1,895,77718721.67,35378.21444,29,28,24914,2,49,14,W
896,SUWS013548,Equisetopsida,Pinales,Pinaceae,Picea mariana,4495,"(Mill.) Britton, Sterns & Poggenb.",Picea,mariana,,,,,"Behn, T.",97-35,1997-09-20,1997,9,20,263,1997-09-20,,Swampy area; partial sun.,NA,Oneida,Minocqua. 1 mile SW of the Ahlborn Farm; at the Witt homestead,45.72048,-89.51092,NA,46777,45.720480 N, 89.510920 W,45.72048,-89.51092,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Behn, T.",Other Collectors,45.72048,-89.51092,896,1,896,91175386.86,38231.18901,347,346,43708,4,37,8,E
897,SUWS013552,Equisetopsida,Sapindales,Sapindaceae,Acer negundo,2419,L.,Acer,negundo,,,,,"Behn, T.",97-16,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun.,NA,Douglas,Superior. 1609 Hammond Ave.; Front of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71886,-92.09839,897,1,897,77718721.67,35378.21444,29,28,24914,2,49,14,W
898,SUWS013553,Equisetopsida,Rosales,Rhamnaceae,Rhamnus cathartica,4787,L.,Rhamnus,cathartica,,,,,"Behn, T.",97-10,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun; dry clay soil.,NA,Douglas,Superior. 1609 Hammond Ave.; Front of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71886,-92.09839,898,1,898,77718721.67,35378.21444,29,28,24914,2,49,14,W
899,SUWS013555,Equisetopsida,Brassicales,Brassicaceae,Hesperis matronalis,3837,L.,Hesperis,matronalis,,,,,"Behn, T.",97-14,1997-06-17,1997,6,17,168,1997-06-17,,Partial Sun. [Cultivated??],NA,Douglas,Superior. 1609 Hammond Ave.; Front of complex,46.71996,-92.09839,NA,101,46.719960 N, 92.098390 W,46.71996,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71996,-92.09839,899,1,899,77718721.67,35378.21444,29,28,24914,2,49,14,W
900,SUWS013559,Equisetopsida,Malvales,Malvaceae,Alcea rosea,2472,L.,Alcea,rosea,,,,,"Behn, T.",97-33,1997-08-11,1997,8,11,223,1997-08-11,,"Partial shade, hard clay soil. [Cultivated??]",NA,Douglas,Superior. 1609 Hammond Ave.; W side of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Behn, T.",Other Collectors,46.71886,-92.09839,900,1,900,77718721.67,35378.21444,29,28,24914,2,49,14,W
901,SUWS013563,Equisetopsida,Apiales,Apiaceae,Osmorhiza longistylis,4381,(Torr.) DC.,Osmorhiza,longistylis,,,,,"Behn, T.",97-15,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun; compact soil.,NA,Douglas,Superior. 1609 Hammond Ave.; W side of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71886,-92.09839,901,1,901,77718721.67,35378.21444,29,28,24914,2,49,14,W
902,SUWS013566,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus acris,4752,L.,Ranunculus,acris,,,,,"Behn, T.",97-9,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun.,NA,Douglas,Superior. 1609 Hammond Ave.; W side of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71886,-92.09839,902,1,902,77718721.67,35378.21444,29,28,24914,2,49,14,W
