"column_name","csv_name","datatype"
"behavior","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","logical"
"behavior","DarwinCore_2026_06_22_230410_Bell_MN_post2000","logical"
"behavior","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","logical"
"behavior","DarwinCore_2026_06_22_230410_Bell_MN_year_na","logical"
"behavior","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","logical"
"behavior","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","logical"
"behavior","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","logical"
"behavior","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","logical"
"behavior","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"behavior","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","logical"
"behavior","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","logical"
"behavior","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"catalogNumber","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","integer"
"catalogNumber","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"catalogNumber","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"catalogNumber","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"catalogNumber","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"catalogNumber","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","integer"
"catalogNumber","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","integer"
"catalogNumber","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"catalogNumber","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"catalogNumber","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"catalogNumber","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"catalogNumber","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"catalogNumber","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"catalogNumber","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"catalogNumber","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"catalogNumber","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"catalogNumber","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"catalogNumber","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"class","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","character"
"class","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"class","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"class","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"class","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"class","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"class","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"class","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"class","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"class","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"class","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"class","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"class","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"class","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"class","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"class","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"class","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"class","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"collectionCode","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","logical"
"collectionCode","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","logical"
"collectionCode","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","logical"
"collectionCode","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","logical"
"collectionCode","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","logical"
"collectionCode","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"collectionCode","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"collectionCode","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"collectionCode","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"collectionCode","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"collectionCode","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"collectionCode","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"collectionCode","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"collectionCode","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"collectionCode","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"collectionCode","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"collectionCode","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"collectionCode","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"collectionID","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","character"
"collectionID","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"collectionID","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"collectionID","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"collectionID","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"collectionID","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"collectionID","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"collectionID","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"collectionID","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"collectionID","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"collectionID","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"collectionID","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"collectionID","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"collectionID","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"collectionID","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"collectionID","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"collectionID","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"collectionID","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"continent","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","logical"
"continent","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","logical"
"continent","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","logical"
"continent","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","logical"
"continent","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","logical"
"continent","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","logical"
"continent","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","logical"
"continent","DarwinCore_2026_06_22_230410_Bell_MN_post2000","logical"
"continent","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","logical"
"continent","DarwinCore_2026_06_22_230410_Bell_MN_year_na","logical"
"continent","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB",NA
"continent","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958",NA
"continent","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976",NA
"continent","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976",NA
"continent","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB",NA
"continent","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","logical"
"continent","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","logical"
"continent","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"coordinatePrecision","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990",NA
"coordinatePrecision","DarwinCore_2026_06_21_212202_Consortium_MN_post1990",NA
"coordinatePrecision","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946",NA
"coordinatePrecision","DarwinCore_2026_06_21_212202_Consortium_MN_year_na",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940",NA
"coordinatePrecision","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na",NA
"coordinatePrecision","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985",NA
"coordinatePrecision","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000",NA
"coordinatePrecision","DarwinCore_2026_06_22_230410_Bell_MN_post2000",NA
"coordinatePrecision","DarwinCore_2026_06_22_230410_Bell_MN_pre1946",NA
"coordinatePrecision","DarwinCore_2026_06_22_230410_Bell_MN_year_na",NA
"coordinatePrecision","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","logical"
"coordinatePrecision","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","logical"
"coordinatePrecision","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","logical"
"coordinatePrecision","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","logical"
"coordinatePrecision","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"coordinatePrecision","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN",NA
"coordinatePrecision","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN",NA
"coordinatePrecision","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP",NA
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_22_230410_Bell_MN_post2000","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","integer"
"coordinateUncertaintyInMeters","DarwinCore_2026_06_22_230410_Bell_MN_year_na","integer"
"coordinateUncertaintyInMeters","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","integer"
"coordinateUncertaintyInMeters","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","integer"
"coordinateUncertaintyInMeters","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","integer"
"coordinateUncertaintyInMeters","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","integer"
"coordinateUncertaintyInMeters","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"coordinateUncertaintyInMeters","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","integer"
"coordinateUncertaintyInMeters","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","integer"
"coordinateUncertaintyInMeters","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"country","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","character"
"country","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"country","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"country","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"country","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"country","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"country","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"country","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"country","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"country","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"country","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"country","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"country","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"country","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"country","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"country","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"country","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"country","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
