"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010152","Bayfield","Koch, Rudy G.","",""
"SUWS010153","Douglas","Collinson, Keith","",""
"SUWS010154","Douglas","Koch, Rudy G.","",""
"SUWS010155","Douglas","Koch, Rudy G.","",""
"SUWS010157","Douglas","Thomson, John W., Jr.","",""
"SUWS010158","Douglas","Koch, Rudy G.","",""
"SUWS010158b","Douglas","Stackler, Susan","",""
"SUWS010159","Bayfield","Brashier"," Thoren",""
"SUWS010160","Ashland","Koch, Rudy G.","",""
"SUWS010162","Iron","Koch, Rudy G.","",""
"SUWS010164","Bayfield","Brashier"," Janowski",""
"SUWS010165","Douglas","Koch, Rudy G.","",""
"SUWS010166","La Crosse","Nelson, C. J.","",""
"SUWS010167","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010168","Sawyer","Davis, J. D.","",""
"SUWS010169","Douglas","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010170","Douglas","Thomson, John W., Jr.","",""
"SUWS010171","Douglas","Koch, Rudy G.","",""
"SUWS010172","Douglas","Thomson, John W., Jr.","",""
"SUWS010173","Douglas","Thomson, John W., Jr.","",""
"SUWS010174","Douglas","Koch, Rudy G.","",""
"SUWS010175","Ashland","Koch, Rudy G.","",""
"SUWS010179","Ashland","Koch, Rudy G.","",""
"SUWS010180","Columbia","Smith, W. A.","",""
"SUWS010181","Douglas","Charboneau, E.","",""
"SUWS010184","Douglas","Koch, Rudy G.","",""
"SUWS010186","Vernon","Chen, Jane Meau","",""
"SUWS010187","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010190","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010191","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010192","Bayfield","Lahti, Duane","",""
"SUWS010193","Douglas","Thomson, John W., Jr.","",""
"SUWS010194","Rusk","Iltis, Hugh H.","",""
"SUWS010195","Douglas","Thomson, John W., Jr.","",""
