"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS011717","Bayfield","Thomson, John W., Jr.","",""
"SUWS011718","Douglas","Thomson, John W., Jr.","",""
"SUWS011719","Douglas","Koch, Rudy G.","",""
"SUWS011720","Douglas","Brashier"," Romans",""
"SUWS011722","Bayfield","Walvoord"," Brashier",""
"SUWS011723","Bayfield","Brashier"," Thoren",""
"SUWS011727","Bayfield","Wassgren"," Brashier",""
"SUWS011729","Douglas","Koch, Rudy G.","",""
"SUWS011730","Bayfield","Thomson, John W., Jr.","",""
"SUWS011731","Bayfield","Mackensen"," Brashier",""
"SUWS011733","Bayfield","Janowski"," Brashier",""
"SUWS011734","Bayfield","Muller"," Brashier",""
"SUWS011735","Bayfield","Callister, Steven M.","",""
"SUWS011736","Bayfield","Hjerleid"," Brashier",""
"SUWS011737","Burnett","Koch, Rudy G.","",""
"SUWS011738","Bayfield","Cherf"," Brashier",""
"SUWS011740","Douglas","Brashier"," Romans",""
"SUWS011741","Bayfield","Valaskey"," Brashier",""
"SUWS011742","Douglas","Thomson, John W., Jr.","",""
"SUWS011745","Douglas","Hein, Elizabeth","",""
"SUWS011746","Douglas","Hein, Elizabeth","",""
"SUWS011747","Douglas","Thomson, John W., Jr.","",""
"SUWS011748","Douglas","Thomson, John W., Jr.","",""
"SUWS011749","Douglas","McGovern, Scott","",""
"SUWS011750","Ashland","Koch, Rudy G.","",""
"SUWS011751","Douglas","Olson, Patti","",""
"SUWS011752","Douglas","Thomson, John W., Jr.","",""
"SUWS011753","Douglas","Koch, Rudy G.","",""
"SUWS011754","Douglas","Brashier"," Romans",""
"SUWS011755","Douglas","Brashier"," Romans",""
"SUWS011756","Douglas","Castle, R."," Johnson, R.",""
"SUWS011758","Bayfield","Cherf"," Brashier",""
"SUWS011759","Bayfield","Collins"," Brashier",""
"SUWS011760","Bayfield","Brashier"," Walvoord",""
"SUWS011761","Bayfield","Gunderson"," Brashier",""
"SUWS011762","Bayfield","Brashier"," Smith",""
"SUWS011763","Bayfield","Brashier"," Cherf",""
"SUWS011764","Bayfield","Collins"," Brashier",""
"SUWS011765","Bayfield","Hjerleid"," Brashier",""
"SUWS011766","Bayfield","Brashier"," Grage",""
"SUWS011768","Douglas","Olson, Patti","",""
"SUWS011769","Bayfield","Brashier"," Thoren",""
"SUWS011770","Bayfield","Brashier"," Valaskey",""
"SUWS011771","Douglas","Thomson, John W., Jr.","",""
"SUWS011772","Douglas","Brashier"," Romans",""
"SUWS011773","Douglas","Thomson, John W., Jr.","",""
"SUWS011774","Bayfield","Koch, Rudy G.","",""
"SUWS011775","Douglas","Castle, R.","",""
"SUWS011777","Douglas","Castle, R.","",""
"SUWS011778","Walworth","Leitner, Lawrence A.","",""
"SUWS011779","Douglas","Gitar"," Rounce",""
"SUWS011780","Douglas","Mendenhall, Paula M.","",""
"SUWS011781","Bayfield","Brashier"," Thoren",""
"SUWS011782","Bayfield","Collins"," Brashier",""
"SUWS011783","Bayfield","Brashier"," Romans",""
"SUWS011784","Douglas","Stackler, Susan","",""
"SUWS011785","Bayfield","Collins"," Brashier",""
"SUWS011788","Douglas","Sima, Bessie R.","",""
"SUWS011789","La Crosse","Demaske, D.","",""
"SUWS011790","Douglas","Brashier"," Romans",""
"SUWS011791","Douglas","Castle, R.","",""
"SUWS011792","Bayfield","Collins"," Brashier",""
"SUWS011794","Douglas","","",""
"SUWS011795","Bayfield","Barnard"," Brashier",""
"SUWS011797","Bayfield","Hjerleid"," Brashier",""
"SUWS011798","Bayfield","Cornell"," Brashier",""
"SUWS011799","Douglas","Castle, R.","",""
"SUWS011800","Douglas","Brashier"," Romans",""
"SUWS011801","Buffalo","Witkiewicz, E. J.","",""
"SUWS011803","Bayfield","Brashier"," Valaskey",""
"SUWS011804","Bayfield","Brashier"," Thoren",""
"SUWS011805","Bayfield","Cornell"," Brashier",""
"SUWS011806","Douglas","Thomson, John W., Jr.","",""
"SUWS011807","Douglas","Collinson, Keith","",""
"SUWS011808","Douglas","Koch, Rudy G.","",""
"SUWS011809","Douglas","Brashier"," Romans",""
"SUWS011810","Bayfield","Collins"," Brashier",""
"SUWS011811","Bayfield","Cornell"," Brashier",""
"SUWS011812","Douglas","Castle, R.","",""
"SUWS011813","Bayfield","Brashier"," Valaskey",""
"SUWS011814","Bayfield","Brashier"," Walvoord",""
"SUWS011815","Douglas","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS011816","Bayfield","Hjerleid"," Brashier",""
"SUWS011817","Douglas","Wong, Kenneth","",""
"SUWS011819","Bayfield","Lahti, Duane","",""
"SUWS011820","Bayfield","Koch, Rudy G.","",""
"SUWS011821","Douglas","Hein, Elizabeth","",""
"SUWS011822","Douglas","Shaw"," Brashier",""
"SUWS011823","Douglas","Thomson, John W., Jr.","",""
"SUWS011824","Douglas","Jones"," Brashier",""
"SUWS011826","Douglas","Brashier"," Romans",""
"SUWS011827","Douglas","Brashier"," Romans",""
"SUWS011828","Bayfield","Cornell"," Brashier",""
"SUWS011829","Bayfield","Brashier"," Janowski",""
"SUWS011830","Douglas","Koch, Rudy G.","",""
"SUWS011831","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011832","Douglas","Thomson, John W., Jr.","",""
"SUWS011833","Douglas","Staupe, Jane","",""
"SUWS011834","Douglas","Thomson, John W., Jr.","",""
"SUWS011836","Douglas","Thomson, John W., Jr.","",""
"SUWS011837","Douglas","Koch, Rudy G.","",""
"SUWS011838","Douglas","Thomson, John W., Jr.","",""
"SUWS011839","Douglas","Thomson, John W., Jr.","",""
"SUWS011840","Douglas","Koch, Rudy G.","",""
"SUWS011841","Douglas","Thomson, John W., Jr.","",""
"SUWS011842","Douglas","Stackler, Susan","",""
"SUWS011843","Douglas","Brashier"," Romans",""
"SUWS011844","Douglas","Thomson, John W., Jr.","",""
"SUWS011845","Douglas","Staupe, Jane","",""
"SUWS011846","Bayfield","Thomson, John W., Jr.","",""
"SUWS011847","Douglas","Brashier"," Romans",""
"SUWS011848","Dane","Carline, R.","",""
"SUWS011850","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS011851","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS011852","Douglas","Castle, R.","",""
"SUWS011853","Douglas","Bruederle, Leo P.","",""
"SUWS011854","Douglas","Castle, R.","",""
"SUWS011857","Douglas","Johnson, R."," Castle, R."," Anderson, D."
"SUWS011859","Douglas","Thomson, John W., Jr.","",""
"SUWS011860","Barron","Thomson, John W., Jr.","",""
"SUWS011861","Douglas","Brashier"," Romans",""
"SUWS011862","Douglas","Brashier"," Romans",""
"SUWS011863","Douglas","Thomson, John W., Jr.","",""
"SUWS011864","Douglas","Thomson, John W., Jr.","",""
"SUWS011865","Polk","Knuf, Phillip","",""
"SUWS011867","Douglas","Brashier"," Romans",""
"SUWS011868","Manitowoc","Brashier"," Romans",""
"SUWS011869","Douglas","Thomson, John W., Jr.","",""
"SUWS011870","Douglas","Brashier"," Romans",""
"SUWS011871","Bayfield","Brashier"," Romans",""
"SUWS011873","Douglas","Thomson, John W., Jr.","",""
"SUWS011874","Douglas","Stackler, Susan","",""
"SUWS011875","Douglas","Castle, R."," Johnson, R.",""
"SUWS011876","Douglas","Dabydeen, Simon","",""
"SUWS011877","Douglas","Johnson, R."," Castle, R."," Anderson, D."
"SUWS011878","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011881","Douglas","Brashier"," Romans",""
"SUWS011882","Douglas","Thomson, John W., Jr.","",""
"SUWS011883","Douglas","Thomson, John W., Jr.","",""
"SUWS011884","Douglas","Castle, R.","",""
"SUWS011885","Douglas","Staupe, Jane","",""
"SUWS011886","Douglas","Jones"," Brashier",""
"SUWS011887","Douglas","Brashier","",""
"SUWS011892","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011893","Douglas","Stackler, Susan","",""
"SUWS011894","Douglas","Castle, R.","",""
"SUWS011895","Bayfield","Collins"," Brashier",""
"SUWS011896","Douglas","Brashier"," Romans",""
"SUWS011897","Douglas","Thomson, John W., Jr.","",""
"SUWS011898","Douglas","Brashier"," Romans",""
"SUWS011899","Douglas","Brashier"," Romans",""
"SUWS011900","Douglas","Brashier"," Romans",""
"SUWS011901","Douglas","Koch, Rudy G.","",""
"SUWS011902","Douglas","Thomson, John W., Jr.","",""
"SUWS011903","Bayfield","Brashier"," Walvoord",""
"SUWS011904","Douglas","Tendrup, Lynn S.","",""
"SUWS011905","Douglas","Thomson, John W., Jr.","",""
"SUWS011906","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS011907","Douglas","Tendrup, Lynn S.","",""
"SUWS011908","Douglas","Koch, Rudy G.","",""
"SUWS011909","Douglas","Koch, Rudy G.","",""
"SUWS011912","Douglas","Thomson, John W., Jr.","",""
"SUWS011913","Douglas","Thomson, John W., Jr.","",""
"SUWS011914","Douglas","Thomson, John W., Jr.","",""
"SUWS011915","Douglas","Thomson, John W., Jr.","",""
"SUWS011916","Douglas","Brost, Mike","",""
"SUWS011917","Bayfield","Collins"," Brashier",""
"SUWS011918","Bayfield","Cornell"," Brashier",""
"SUWS011919","Douglas","Staupe, Jane","",""
"SUWS011920","Douglas","Romans"," Brashier",""
"SUWS011921","Bayfield","Brashier"," Thoren",""
"SUWS011922","Bayfield","Brashier"," Cherf",""
"SUWS011923","St. Croix","Brashier"," Romans",""
"SUWS011924","Douglas","Koch, Rudy G.","",""
"SUWS011925","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011926","Douglas","Thomson, John W., Jr.","",""
"SUWS011927","Douglas","Thomson, John W., Jr.","",""
"SUWS011928","Douglas","Thomson, John W., Jr.","",""
"SUWS011933","Fond du Lac","Purtell, Harriet M.","",""
"SUWS011935","Jackson","Thomson, John W., Jr.","",""
"SUWS011936","Douglas","Olson, Patti","",""
"SUWS011937","Bayfield","Collins"," Brashier",""
"SUWS011938","Juneau","Brashier"," Romans",""
"SUWS011939","Juneau","Brashier"," Romans",""
"SUWS011940","Bayfield","Holden"," Brashier",""
"SUWS011941","Bayfield","Cornell"," Brashier",""
"SUWS011942","Douglas","Brashier"," Romans",""
"SUWS011943","Douglas","Thomson, John W., Jr.","",""
"SUWS011944","Douglas","Koch, Rudy G.","",""
"SUWS011945","Barron","Thomson, John W., Jr.","",""
"SUWS011947","Bayfield","Collins"," Brashier",""
"SUWS011948","Bayfield","Holden"," Brashier",""
"SUWS011949","Bayfield","Hjerleid"," Brashier",""
"SUWS011950","Manitowoc","Brashier"," Romans",""
"SUWS011951","Bayfield","Brashier"," Grage",""
"SUWS011955","Bayfield","Thomson, John W., Jr.","",""
"SUWS011956","Douglas","Brashier"," Collins",""
"SUWS011957","Douglas","Brashier"," Romans",""
"SUWS011958","Bayfield","Brashier"," Romans",""
"SUWS011959","Bayfield","Barnard"," Brashier",""
"SUWS011960","Bayfield","Holden"," Brashier",""
"SUWS011961","Bayfield","Cornell"," Brashier",""
"SUWS011962","Bayfield","Thoren"," Brashier",""
"SUWS011963","Bayfield","Brashier"," Parrish",""
"SUWS011964","Douglas","Koch, Rudy G.","",""
"SUWS011966","Bayfield","Koch, Rudy G.","",""
"SUWS011967","Douglas","Thomson, John W., Jr.","",""
"SUWS011968","Bayfield","Barnard"," Brashier",""
"SUWS011969","Bayfield","Holden"," Brashier",""
"SUWS011970","Bayfield","Cornell"," Brashier",""
"SUWS011971","Douglas","Hein, Elizabeth","",""
"SUWS011972","Douglas","Hein, Elizabeth","",""
"SUWS011973","Bayfield","Brashier"," Romans",""
"SUWS011974","Walworth","Thomson, John W., Jr.","",""
"SUWS011975","Bayfield","Cornell"," Brashier",""
"SUWS011976","Douglas","Koch, Rudy G.","",""
"SUWS011977","Burnett","Castle, R.","",""
"SUWS011978","Douglas","McGovern, Scott","",""
"SUWS011979","Eau Claire","Barnard"," Brashier",""
"SUWS011980","Douglas","Koch, Rudy G.","",""
"SUWS011983","Douglas","Castle, R.","",""
"SUWS011984","Bayfield","Romans"," Brashier",""
"SUWS011985","Bayfield","Holden","Brashier",""
"SUWS011987","Douglas","Thomson, John W., Jr.","",""
"SUWS011988","Douglas","Thomson, John W., Jr.","",""
"SUWS011989","Ashland","Brashier"," Romans",""
"SUWS011990","Bayfield","Hjerleid"," Brashier",""
"SUWS011991","Ashland","Brashier"," Gall",""
"SUWS011992","Douglas","Koch, Rudy G.","",""
"SUWS011993","Bayfield","Cherf"," Brashier",""
"SUWS011994","Burnett","Brashier"," Romans",""
"SUWS011995","Pepin","Brashier"," Romans",""
"SUWS011996","Juneau","Thomson, John W., Jr.","",""
"SUWS011997","Bayfield","Valaskey"," Brashier",""
"SUWS011998","Douglas","Stackler, Susan","",""
"SUWS011999","Douglas","Castle, R.","",""
"SUWS012000","Douglas","Castle, R.","",""
"SUWS012004","Douglas","Thomson, John W., Jr.","",""
"SUWS012005","Douglas","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012007","Bayfield","Brashier"," Walvoord",""
"SUWS012008","Douglas","Castle, R.","",""
"SUWS012009","Bayfield","Koch, Rudy G.","",""
"SUWS012010","Douglas","Thomson, John W., Jr.","",""
"SUWS012011","Douglas","Thomson, John W., Jr.","",""
"SUWS012012","Bayfield","Brashier"," Gall",""
"SUWS012013","Bayfield","Brashier"," Janowski",""
"SUWS012014","Douglas","Brashier"," Romans",""
"SUWS012015","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012016","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012017","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012018","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012019","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012020","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012021","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012022","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012023","Douglas","Koch, Rudy G.","",""
"SUWS012024","Douglas","Thomson, John W., Jr.","",""
"SUWS012025","Douglas","Thomson, John W., Jr.","",""
"SUWS012026","Marinette","Brashier"," Romans",""
"SUWS012027","Bayfield","Brashier"," Gall",""
"SUWS012028","Douglas","Castle, R.","",""
"SUWS012029","Bayfield","Brashier"," Janowski",""
"SUWS012030","Bayfield","Koch, Rudy G.","",""
"SUWS012031","Bayfield","Brashier"," Walvoord",""
"SUWS012032","Burnett","Brashier"," Romans",""
"SUWS012033","Douglas","Hansen, Perky","",""
"SUWS012034","Douglas","Munich, Robert A.","",""
"SUWS012036","Douglas","Stackler, Susan","",""
"SUWS012037","Bayfield","Brashier"," Gall",""
"SUWS012038","Douglas","Thomson, John W., Jr.","",""
"SUWS012039","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012040","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012041","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012042","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012043","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012045","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012046","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012047","Douglas","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS012049","Douglas","Thomson, John W., Jr.","",""
"SUWS012050","Douglas","Thomson, John W., Jr.","",""
"SUWS012052","Douglas","Thomson, John W., Jr.","",""
"SUWS012053","Polk","Brashier"," Romans",""
"SUWS012054","Douglas","Thomson, John W., Jr.","",""
"SUWS012055","Douglas","Stackler, Susan","",""
"SUWS012058","Bayfield","Hjerleid"," Brashier",""
"SUWS012059","Bayfield","Valaskey"," Brashier",""
"SUWS012060","Douglas","Castle, R.","",""
"SUWS012061","Douglas","Clement, G. G.","",""
"SUWS012062","Bayfield","Koch, Rudy G.","",""
"SUWS012063","Douglas","Thomson, John W., Jr.","",""
"SUWS012065","Douglas","Stackler, Susan","",""
"SUWS012067","Douglas","Smetak, Scott","",""
"SUWS012068","Douglas","Koch, Rudy G.","",""
"SUWS012069","Douglas","Bruederle, Leo P.","",""
"SUWS012070","Bayfield","Anderson, Jason","",""
"SUWS012071","Bayfield","Koch, Rudy G.","",""
"SUWS012072","Bayfield","Cherf"," Brashier",""
"SUWS012073","Douglas","Munich, Robert A.","",""
"SUWS012074","Bayfield","Barnard"," Brashier",""
"SUWS012076","Bayfield","Brashier"," Gunderson",""
"SUWS012078","Douglas","Thomson, John W., Jr.","",""
"SUWS012079","Douglas","Koch, Rudy G.","",""
"SUWS012080","Douglas","Castle, R.","",""
"SUWS012081","Douglas","Castle, R.","",""
"SUWS012082","Bayfield","Brashier"," Romans",""
"SUWS012083","Douglas","Brashier"," Romans",""
"SUWS012084","Bayfield","Brashier"," Gall",""
"SUWS012086","Douglas","Clement, G. G.","",""
"SUWS012087","Douglas","Castle, R.","",""
"SUWS012088","Douglas","Thomson, John W., Jr.","",""
"SUWS012089","Douglas","Brashier"," Romans",""
"SUWS012090","Douglas","Bruederle, Leo P.","",""
"SUWS012091","Bayfield","Barnard"," Brashier",""
"SUWS012094","Douglas","Castle, R.","",""
"SUWS012095","Douglas","Hansen, Perky","",""
"SUWS012096","Bayfield","Anderson, Jason","",""
"SUWS012097","Douglas","Munich, Robert A.","",""
"SUWS012098","Ashland","Brashier"," Walvoord",""
"SUWS012099","Ashland","Brashier"," Raatz",""
"SUWS012100","Bayfield","Koch, Rudy G.","",""
"SUWS012101","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012102","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS012103","Douglas","Olson, Patti","",""
"SUWS012106","Douglas","Castle, R.","",""
"SUWS012107","Bayfield","Brashier"," Thoren",""
"SUWS012108","Douglas","Younger, Patti"," Bruederle, Leo P.",""
"SUWS012109","Douglas","Sima, Bessie R.","",""
"SUWS012110","Douglas","Brashier"," Romans",""
"SUWS012111","Bayfield","Hjerleid"," Brashier",""
"SUWS012112","Dane","Thomson, John W., Jr.","",""
"SUWS012113","Douglas","Thomson, John W., Jr.","",""
"SUWS012114","Bayfield","Castle, R.","",""
"SUWS012115","Burnett","Brashier"," Romans",""
"SUWS012117","Bayfield","Romans"," Brashier",""
"SUWS012118","Douglas","Castle, R.","",""
"SUWS012119","Douglas","Thomson, John W., Jr.","",""
"SUWS012125","Barron","Thomson, John W., Jr.","",""
"SUWS012126","Burnett","Brashier"," Romans",""
"SUWS012127","Burnett","Brashier"," Smith",""
"SUWS012128","Burnett","Brashier"," Wassgren",""
"SUWS012129","Burnett","Brashier"," Romans",""
"SUWS012130","Buffalo","Brashier"," Romans",""
"SUWS012131","Vernon","Ziegler, S. R."," Leykom, M. F.",""
"SUWS012132","Fond du Lac","Leitner, Lawrence A.","",""
"SUWS012133","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012135","Douglas","","",""
"SUWS012136","Douglas","Tendrup, Lynn S."," Stackler, Susan",""
"SUWS012137","Bayfield","Collins"," Brashier",""
"SUWS012138","Bayfield","Holden"," Brashier",""
"SUWS012139","Douglas","Thomson, John W., Jr.","",""
"SUWS012146","Douglas","Thomson, John W., Jr.","",""
"SUWS012148","Douglas","Thomson, John W., Jr.","",""
"SUWS012149","Burnett","Romans"," Brashier",""
"SUWS012150","Douglas","","",""
"SUWS012152","Douglas","Koch, Rudy G.","",""
"SUWS012153","La Crosse","Konkel, Deborah","",""
"SUWS012154","Bayfield","Brashier"," Grage",""
"SUWS012161","Ashland","Mackensen"," Brashier",""
"SUWS012163","Ashland","Barnard"," Brashier",""
"SUWS012164","Douglas","Smetak, Scott","",""
"SUWS012165","Douglas","Gitar"," Rounce",""
"SUWS012166","Douglas","Thomson, John W., Jr.","",""
"SUWS012167","Douglas","Brashier"," Romans",""
"SUWS012168","Ashland","Brashier"," Romans",""
"SUWS012169","Douglas","Koch, Rudy G.","",""
"SUWS012170","Douglas","Mendenhall, Paula M.","",""
"SUWS012171","Douglas","Castle, R.","",""
"SUWS012172","Bayfield","Koch, Rudy G.","",""
"SUWS012173","Douglas","Staupe, Jane","",""
"SUWS012174","Burnett","Brashier"," Romans",""
"SUWS012175","Douglas","Thomson, John W., Jr.","",""
"SUWS012176","Douglas","Thomson, John W., Jr.","",""
"SUWS012177","Douglas","Castle, R.","",""
"SUWS012178","Douglas","Thomson, John W., Jr.","",""
"SUWS012179","Polk","Brashier"," Romans",""
"SUWS012180","Douglas","Castle, R.","",""
"SUWS012181","Bayfield","Muller"," Brashier",""
"SUWS012182","Douglas","Thomson, John W., Jr.","",""
"SUWS012183","Douglas","Thomson, John W., Jr.","",""
"SUWS012184","Douglas","Thomson, John W., Jr.","",""
"SUWS012185","Washburn","Thomson, John W., Jr.","",""
"SUWS012186","Pierce","Brashier"," Romans",""
"SUWS012191","Bayfield","Barnard"," Brashier",""
"SUWS012192","Dane","Cochrane, Theodore S.","",""
"SUWS012195","Burnett","Brashier"," Romans",""
"SUWS012196","Burnett","Brashier"," Romans",""
"SUWS012197","Douglas","Hendrickson, Sue","",""
"SUWS012198","Douglas","Castle, R.","",""
"SUWS012199","Douglas","Castle, R.","",""
"SUWS012200","Douglas","Castle, R.","",""
"SUWS012201","Douglas","Thomson, John W., Jr.","",""
"SUWS012202","Douglas","Hicks, James","",""
"SUWS012203","Douglas","Younger, Patti"," Bruederle, Leo P.",""
"SUWS012204","Juneau","Brashier"," Romans",""
"SUWS012205","Juneau","Brashier"," Romans",""
"SUWS012206","Douglas","Castle, R.","",""
"SUWS012207","Douglas","Clements, Jimmy D.","",""
"SUWS012208","Douglas","Mercedes","",""
"SUWS012210","Douglas","Smetak, Scott","",""
"SUWS012212","Bayfield","Brashier"," Thoren",""
"SUWS012213","Douglas","Brashier"," Romans",""
"SUWS012214","Bayfield","Mackensen"," Brashier",""
"SUWS012215","Bayfield","Cherf"," Brashier",""
"SUWS012216","Bayfield","Hjerleid"," Brashier",""
"SUWS012217","Bayfield","Collins"," Brashier",""
"SUWS012218","Bayfield","Cornell"," Brashier",""
"SUWS012219","Douglas","Clements, Jimmy D.","",""
"SUWS012221","Bayfield","Holden"," Brashier",""
"SUWS012223","Bayfield","Cherf"," Brashier",""
"SUWS012224","St. Croix","Brashier"," Romans",""
"SUWS012225","Bayfield","Hjerleid"," Brashier",""
"SUWS012226","Douglas","Sima, Bessie R.","",""
"SUWS012227","Bayfield","Brashier"," Thoren",""
"SUWS012228","Douglas","Koch, Rudy G.","",""
"SUWS012239b","Douglas","Munich, Robert A.","",""
"SUWS012240","Sheboygan","Brashier"," Romans",""
"SUWS012242","Bayfield","Thomson, John W., Jr.","",""
"SUWS012245","Douglas","Thomson, John W., Jr.","",""
"SUWS012247","Burnett","Castle, R.","",""
"SUWS012248","Bayfield","Holden"," Brashier",""
"SUWS012249","Bayfield","Barnard"," Brashier",""
"SUWS012250","Bayfield","Collins"," Brashier",""
"SUWS012251","Douglas","Thomson, John W., Jr.","",""
"SUWS012252","Bayfield","Hjerleid"," Brashier",""
"SUWS012253","Bayfield","Cornell","",""
"SUWS012254","Juneau","Thomson, John W., Jr.","",""
"SUWS012255","Bayfield","Brashier"," Grage",""
"SUWS012256","Douglas","Dabydeen, Simon","",""
"SUWS012257","Sawyer","Mackensen"," Brashier",""
"SUWS012258","Bayfield","Collins"," Brashier",""
"SUWS012259","Douglas","Olson, Patti","",""
"SUWS012261","Bayfield","Collins"," Brashier",""
"SUWS012262","Douglas","Castle, R.","",""
"SUWS012263","Douglas","Thomson, John W., Jr.","",""
"SUWS012264","Bayfield","Cornell"," Brashier",""
"SUWS012265","Bayfield","Holden"," Brashier",""
"SUWS012266","Bayfield","Collins"," Brashier",""
"SUWS012270","Douglas","Hansen, Perky","",""
"SUWS012271","Bayfield","Holden"," Brashier",""
"SUWS012272","Douglas","Castle, R.","",""
"SUWS012273","Bayfield","Brost, Mike","",""
"SUWS012274","Douglas","Brashier"," Romans",""
"SUWS012275","Bayfield","Cornell"," Brashier",""
"SUWS012276","Douglas","Munich, Robert A.","",""
"SUWS012277","Eau Claire","Mackensen"," Brashier",""
"SUWS012278","Douglas","Staupe, Jane","",""
"SUWS012279","Bayfield","Hjerleid"," Brashier",""
"SUWS012281","Bayfield","Brashier"," Smith",""
"SUWS012282","Bayfield","Barnard"," Brashier",""
"SUWS012283","Douglas","Bruederle, Leo P.","",""
"SUWS012284","Bayfield","Collins"," Brashier",""
"SUWS012285","Bayfield","Brashier"," Wassgren",""
"SUWS012286","Bayfield","Hjerleid"," Brashier",""
"SUWS012287","Eau Claire","Mackensen"," Brashier",""
"SUWS012288","Bayfield","Cornell"," Brashier",""
"SUWS012289","Bayfield","Hjerleid"," Brashier",""
"SUWS012291","Douglas","Thomson, John W., Jr.","",""
"SUWS012292","Douglas","Hicks, James","",""
"SUWS012294","Douglas","Sima, Bessie R.","",""
"SUWS012295","Bayfield","Collins"," Brashier",""
"SUWS012296","Bayfield","Hjerleid"," Brashier",""
"SUWS012297","Bayfield","Cornell"," Brashier",""
"SUWS012298","Douglas","Castle, R.","",""
"SUWS012299","Douglas","Thomson, John W., Jr.","",""
"SUWS012300","Douglas","McGovern, Scott","",""
"SUWS012301","Douglas","Bruederle, Leo P."," Clements, Jimmy",""
"SUWS012302","Douglas","Sima, Bessie R.","",""
"SUWS012303","Douglas","Shugar, Helen","",""
"SUWS012304","Juneau","Brashier"," Romans",""
"SUWS012308","Douglas","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012309","Douglas","Thomson, John W., Jr.","",""
"SUWS012310","Douglas","Castle, R.","",""
"SUWS012311","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012313","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012314","Douglas","Thomson, John W., Jr.","",""
"SUWS012316","Douglas","McDonald, Sue","",""
"SUWS012317","Walworth","","",""
"SUWS012319","Douglas","Castle, R.","",""
"SUWS012320","Douglas","Brashier"," Romans",""
"SUWS012321","Douglas","Koch, Rudy G.","",""
"SUWS012322","Douglas","Koch, Rudy G.","",""
"SUWS012323","Bayfield","Brashier"," Walvoord",""
"SUWS012324","Bayfield","Brashier"," Thoren",""
"SUWS012325","Bayfield","Brashier"," Smith",""
"SUWS012326","Bayfield","Cornell"," Brashier",""
"SUWS012327","Douglas","Thomson, John W., Jr.","",""
"SUWS012328","Douglas","Thomson, John W., Jr.","",""
"SUWS012329","Douglas","Collinson, Keith","",""
"SUWS012330","Bayfield","Holden"," Brashier",""
"SUWS012331","Bayfield","Cornell"," Brashier",""
"SUWS012334","Douglas","Castle, R.","",""
"SUWS012335","Douglas","Thomson, John W., Jr.","",""
"SUWS012336","Bayfield","Brashier"," Romans",""
"SUWS012337","Bayfield","Brashier"," Romans",""
"SUWS012338","Bayfield","Brashier"," Wassgren",""
"SUWS012339","Bayfield","Gunderson"," Brashier",""
"SUWS012340","Bayfield","Holden"," Brashier",""
"SUWS012341","Bayfield","Collins"," Brashier",""
"SUWS012342","Bayfield","Janowski"," Brashier",""
"SUWS012343","Douglas","Sima, Bessie R.","",""
"SUWS012344","Douglas","Olson, Patti","",""
"SUWS012345","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012346","Douglas","Thomson, John W., Jr.","",""
"SUWS012347","Bayfield","Cornell"," Brashier",""
"SUWS012348","Bayfield","Holden"," Brashier",""
"SUWS012349","Bayfield","Brashier"," Grage",""
"SUWS012350","Bayfield","Lahti, Duane","",""
"SUWS012351","Douglas","Koch, Rudy G.","",""
"SUWS012352","Douglas","Brashier"," Romans",""
"SUWS012353","Douglas","Brashier"," Romans",""
"SUWS012356","Douglas","Wasko, Walter","",""
"SUWS012357","Douglas","Brashier"," Romans",""
