OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
232,SUWS010929,43.693450 N, 91.241800 W,43.69345,-91.2418,43.69345,-91.2418,14,7,W
233,SUWS010938,46.853820 N, 91.101850 W,46.85382,-91.10185,46.85382,-91.10185,51,6,W
234,SUWS010939,42.828900 N, 89.021500 W,42.8289,-89.0215,42.8289,-89.0215,4,12,E
235,SUWS010944,42.831010 N, 89.009230 W,42.83101,-89.00923,42.83101,-89.00923,4,13,E
236,SUWS010945,42.831010 N, 89.009230 W,42.83101,-89.00923,42.83101,-89.00923,4,13,E
237,SUWS010946,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
238,SUWS010948,46.180850 N, 91.699300 W,46.18085,-91.6993,46.18085,-91.6993,43,11,W
239,SUWS010952,46.337840 N, 91.290930 W,46.33784,-91.29093,46.33784,-91.29093,45,7,W
240,SUWS010955,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
241,SUWS010957,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
242,SUWS010962,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
243,SUWS010963,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
244,SUWS010965,46.589660 N, 91.720740 W,46.58966,-91.72074,46.58966,-91.72074,47,11,W
245,SUWS010968,46.593950 N, 92.085380 W,46.59395,-92.08538,46.59395,-92.08538,48,14,W
246,SUWS010971,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
247,SUWS010972,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
248,SUWS010973,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
249,SUWS010977,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
250,SUWS010978,45.314130 N, 91.651000 W,45.31413,-91.651,45.31413,-91.651,33,10,W
251,SUWS010979,46.711890 N, 92.143250 W,46.71189,-92.14325,46.71189,-92.14325,49,14,W
252,SUWS010980,45.766880 N, 92.384590 W,45.76688,-92.38459,45.76688,-92.38459,38,16,W
253,SUWS010981,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
254,SUWS010994,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
255,SUWS010995,46.589660 N, 91.720740 W,46.58966,-91.72074,46.58966,-91.72074,47,11,W
256,SUWS010997,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
257,SUWS010998,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
258,SUWS010999,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
259,SUWS011000,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
260,SUWS011001,46.589660 N, 91.720740 W,46.58966,-91.72074,46.58966,-91.72074,47,11,W
261,SUWS011005,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
262,SUWS011008,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
263,SUWS011021,46.580500 N, 90.874350 W,46.5805,-90.87435,46.5805,-90.87435,47,4,W
264,SUWS011023,46.684480 N, 92.149590 W,46.68448,-92.14959,46.68448,-92.14959,49,14,W
265,SUWS011024,46.674920 N, 91.834060 W,46.67492,-91.83406,46.67492,-91.83406,48,12,W
266,SUWS011026,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
267,SUWS011031,46.580500 N, 90.874350 W,46.5805,-90.87435,46.5805,-90.87435,47,4,W
268,SUWS011032,46.580500 N, 90.874350 W,46.5805,-90.87435,46.5805,-90.87435,47,4,W
269,SUWS011033,46.694720 N, 91.992650 W,46.69472,-91.99265,46.69472,-91.99265,49,13,W
270,SUWS011034,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
271,SUWS011041,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
272,SUWS011047,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
273,SUWS011048,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
274,SUWS011061,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
275,SUWS011062,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
276,SUWS011069,46.572850 N, 91.699910 W,46.57285,-91.69991,46.57285,-91.69991,47,11,W
277,SUWS011070,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
278,SUWS011071,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
