"catalogNumber","county","collectedBy","t_num","t_dir","r_num","r_dir"
"SUWS010366","Bayfield","Koch, Rudy G.",45,"N",8,"W"
"SUWS010367","Ashland","Koch, Rudy G.",42,"N",2,"W"
"SUWS010368","Douglas","Koch, Rudy G.",49,"N",14,"W"
"SUWS010369","Monroe","Sohmer, S. H.",17,"N",3,"W"
"SUWS010370","Douglas","Anderson, Danette",NA,NA,NA,NA
"SUWS010371","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010372","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010373","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010374","Douglas","Anderson, Danette",49,"N",12,"W"
"SUWS010375","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010376","Douglas","Anderson, Danette",49,"N",12,"W"
"SUWS010377","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010378","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010379","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010380","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010381","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010382","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010383","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010384","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010385","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010386","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010388","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010389","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010390","Douglas","Anderson, Danette",49,"N",13,"W"
"SUWS010424","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS010425","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010426","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS010427","Bayfield","Kristiansen, Stein",48,"N",8,"W"
"SUWS010428","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS010429","Bayfield","Kristiansen, Stein",48,"N",8,"W"
"SUWS010430","Bayfield","Kristiansen, Stein",48,"N",8,"W"
"SUWS010438","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS010439","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010441","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010442","Chippewa","Kristiansen, Stein",NA,NA,NA,NA
"SUWS010443","Chippewa","Kristiansen, Stein",NA,NA,NA,NA
"SUWS010444","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010445","Bayfield","Kristiansen, Stein",48,"N",8,"W"
"SUWS010446","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS010447","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010448","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010449","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010451","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010463","Jackson","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS010489","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS010490","Douglas","McGovern, Scott",49,"N",12,"W"
"SUWS010491","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS010492","Douglas","Munich, Robert A.",45,"N",14,"W"
"SUWS010495","Douglas","Zirngibl, William",49,"N",13,"W"
"SUWS010496","Douglas","Castle, R.",47,"N",10,"W"
"SUWS010497","Vilas","McGovern, Scott",40,"N",7,"E"
"SUWS010498","Douglas","Munich, Robert A.",45,"N",14,"W"
"SUWS010499","Douglas","Gitar",49,"N",14,"W"
"SUWS010500","Douglas","Gitar",49,"N",14,"W"
"SUWS010501","Douglas","Anderson, Danette",49,"N",12,"W"
"SUWS010502","Douglas","Munich, Robert A.",45,"N",14,"W"
"SUWS010504","Douglas","McGovern, Scott",NA,NA,NA,NA
"SUWS010505","Douglas","Hansen, Perky",49,"N",14,"W"
"SUWS010506","Douglas","Munich, Robert A.",NA,NA,NA,NA
"SUWS010507","Douglas","Mendenhall, Paula M.",49,"N",14,"W"
"SUWS010508","Douglas","McGovern, Scott",49,"N",14,"W"
"SUWS010509","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010510","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS010511","Douglas","Hansen, Perky",NA,NA,NA,NA
"SUWS010513","Douglas","Castle, R.",48,"N",13,"W"
"SUWS010514","Douglas","Mendenhall, Paula M.",49,"N",14,"W"
"SUWS010518","Vilas","McGovern, Scott",NA,NA,NA,NA
"SUWS010519","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010522","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010523","Douglas","Mendenhall, Paula M.",49,"N",13,"W"
"SUWS010524","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010525","Douglas","Hansen, Perky",49,"N",14,"W"
"SUWS010526","Douglas","McGovern, Scott",49,"N",12,"W"
"SUWS010527","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010528","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010529","Douglas","Munich, Robert A.",45,"N",14,"W"
"SUWS010530","Douglas","Kristiansen, Stein",49,"N",14,"W"
"SUWS010531","Douglas","Anderson, Danette",49,"N",14,"W"
"SUWS010538","Douglas","Younger, Patti",49,"N",13,"W"
"SUWS010539","Vilas","McGovern, Scott",40,"N",7,"E"
"SUWS010540","Douglas","Kristiansen, Stein",48,"N",14,"W"
"SUWS010540b","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010541","Douglas","Munich, Robert A.",45,"N",14,"W "
"SUWS010548","Douglas","Hansen, Perky",NA,NA,NA,NA
"SUWS010549","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010552","Douglas","McGovern, Scott",49,"N",12,"W"
"SUWS010555","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010556","Douglas","Castle, R.",45,"N",13,"W"
"SUWS010557","Douglas","Castle, R.",47,"N",10,"W"
"SUWS010559","Douglas","McGovern, Scott",49,"N",12,"W"
"SUWS010560","Douglas","Munich, Robert A.",NA,NA,NA,NA
"SUWS010571","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010572","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010573","Douglas","Castle, R.",45,"N",12,"W"
"SUWS010574","Douglas","Castle, R.",47,"N",10,"W"
"SUWS010575","Douglas","Castle, R.",49,"N",14,"W"
"SUWS010576","Bayfield","Brashier",45,"N",8,"W"
"SUWS010578","Douglas","Martin, Bonita",43,"N",11,"W"
"SUWS010579","Bayfield","Heim, John A.",45,"N",6,"W"
"SUWS010580","Douglas","Smetak, Scott",NA,NA,NA,NA
"SUWS010581","Douglas","Martin, Bonita",43,"N",11,"W"
"SUWS010582","Bayfield","Heim, John A.",45,"N",6,"W"
"SUWS010583","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS010585","Douglas","Ojanen, Joanne M.",NA,NA,NA,NA
"SUWS010585b","Bayfield","Anderson, Jason",47,"N",7,"W"
"SUWS010586","Douglas","Heim, John A.",47,"N",14,"W"
"SUWS010587","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS010589","Douglas","Martin, Bonita",NA,NA,NA,NA
"SUWS010590","Douglas","Martin, Roy",47,"N",12,"W"
"SUWS010591","Douglas","Castle, R.",NA,NA,NA,NA
"SUWS010592","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010593","Douglas","Smetak, Scott",48,"N",14,"W"
"SUWS010594","Douglas","Heim, John A.",49,"N",14,"W"
"SUWS010595","Bayfield","Brost, Mike",48,"N",9,"W"
"SUWS010596","Door","Taylor, W. Carl",30,"N",28,"E"
"SUWS010599","Douglas","Smetak, Scott",NA,NA,NA,NA
"SUWS010600","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010601","Douglas","Thomson, John W., Jr.",46," N",12,"W"
"SUWS010602","Douglas","Johnson, R.",45,"N",11,"W"
"SUWS010603","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS010604","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010605","Douglas","Brost, Mike",49,"N",14,"W"
"SUWS010606","Douglas","Johnson, R.",45,"N",13,"W"
"SUWS010607","Burnett","Johnson, R.",NA,NA,NA,NA
"SUWS010608","Douglas","Heim, John A.",48,"N",13,"W"
"SUWS010609","Douglas","Brost, Mike",49,"N",14,"W"
"SUWS010610","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010611","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS010612","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS010612A","Douglas","Heim, John A.",48,"N",13,"W"
"SUWS010613","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010614","Douglas","Martin, Bonita",48,"N",14,"W"
"SUWS010615","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010616","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010617","Douglas","Heim, John A.",47,"N",14,"W"
"SUWS010618","Iron","Somerville, Mary F.",NA,NA,NA,NA
"SUWS010621","Douglas","Heim, John A.",47,"N",14,"W"
"SUWS010626","Douglas","Smetak, Scott",49,"N",14,"W"
"SUWS010629","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS010629b","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS010630","Douglas","McGovern, Scott",49,"N",12,"W"
"SUWS010631","Douglas","Thomson, John W., Jr.",49," N",13,"W"
"SUWS010632","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS010633","Douglas","Hansen, Perky",49,"N",12,"W"
"SUWS010634","Douglas","Castle, R.",48,"N",10,"W"
"SUWS010642","Vilas","McGovern, Scott",40,"N",7,"E"
"SUWS010643","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS010644","Douglas","Ojanen, Joanne M.",49,"N",14,"W"
"SUWS010645","Douglas","Martin, Bonita",47,"N",12,"W"
"SUWS010647","Bayfield","Brost, Mike",48,"N",9,"W"
"SUWS010648","Douglas","Smetak, Scott",48,"N",14,"W"
"SUWS010649","Douglas","Heim, John A.",49,"N",14,"W"
"SUWS010650","Douglas","Hansen, Perky",NA,NA,NA,NA
"SUWS010651","Douglas","Munich, Robert A.",45,"N",14,"W"
"SUWS010652","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS010653","Bayfield","Brost, Mike",48,"N",9,"W"
"SUWS010656","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010657","Douglas","Hein, Elizabeth",46,"N",13,"W"
"SUWS010658","Douglas","Martin, Bonita",43,"N",11,"W"
"SUWS010659","Douglas","Heim, John A.",48,"N",13,"W"
"SUWS010660","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010663","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010667","Douglas","Castle, R.",49,"N",10,"W"
"SUWS010668","Douglas","Hansen, Perky",NA,NA,NA,NA
"SUWS010669","Douglas","Mendenhall, Paula M.",49,"N",14,"W"
"SUWS010670","Vilas","McGovern, Scott",40,"N",7,"E"
"SUWS010671","Douglas","Davidson, Donald W.",49,"N",14,"W"
"SUWS010672","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS010673","Douglas","Davidson, Donald W.",49,"N",13,"W"
