"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010357",44,"N",8,"W"
"SUWS010360",45,"N",8,"W"
"SUWS010365",49,"N",3,"W"
"SUWS010377",49,"N",13,"W"
"SUWS010378",49,"N",13,"W"
"SUWS010379",49,"N",13,"W"
"SUWS010380",49,"N",13,"W"
"SUWS010381",49,"N",13,"W"
"SUWS010382",49,"N",13,"W"
"SUWS010383",49,"N",13,"W"
"SUWS010384",49,"N",13,"W"
"SUWS010386",49,"N",13,"W"
"SUWS010388",49,"N",13,"W"
"SUWS010390",49,"N",13,"W"
"SUWS010424",49,"N",13,"W"
"SUWS010425",49,"N",14,"W"
"SUWS010426",49,"N",13,"W"
"SUWS010428",49,"N",14,"W"
"SUWS010439",49,"N",14,"W"
"SUWS010446",49,"N",14,"W"
"SUWS010509",49,"N",10,"W"
"SUWS010519",49,"N",10,"W"
"SUWS010522",49,"N",10,"W"
"SUWS010524",49,"N",10,"W"
"SUWS010527",49,"N",10,"W"
"SUWS010528",49,"N",10,"W"
"SUWS010538",49,"N",13,"W"
"SUWS010540b",49,"N",10,"W"
"SUWS010549",49,"N",10,"W"
"SUWS010555",49,"N",10,"W"
"SUWS010571",49,"N",10,"W"
"SUWS010572",49,"N",10,"W"
"SUWS010575",49,"N",14,"W"
"SUWS010579",45,"N",6,"W"
"SUWS010582",45,"N",6,"W"
"SUWS010586",47,"N",14,"W"
"SUWS010590",47,"N",12,"W"
"SUWS010592",47,"N",12,"W"
"SUWS010594",49,"N",14,"W"
"SUWS010595",48,"N",9,"W"
"SUWS010596",30,"N",28,"E"
"SUWS010600",47,"N",12,"W"
"SUWS010602",45,"N",11,"W"
"SUWS010604",49,"N",10,"W"
"SUWS010605",49,"N",14,"W"
"SUWS010606",45,"N",13,"W"
"SUWS010608",48,"N",13,"W"
"SUWS010609",49,"N",14,"W"
"SUWS010610",47,"N",12,"W"
"SUWS010612",47,"N",10,"W"
"SUWS010612A",48,"N",13,"W"
"SUWS010613",49,"N",10,"W"
"SUWS010615",47,"N",12,"W"
"SUWS010616",47,"N",12,"W"
"SUWS010617",47,"N",14,"W"
"SUWS010621",47,"N",14,"W"
"SUWS010629",49,"N",13,"W"
"SUWS010629b",49,"N",13,"W"
"SUWS010643",49,"N",13,"W"
"SUWS010645",47,"N",12,"W"
"SUWS010647",48,"N",9,"W"
"SUWS010649",49,"N",14,"W"
"SUWS010651",45,"N",14,"W"
"SUWS010653",48,"N",9,"W"
"SUWS010656",49,"N",10,"W"
"SUWS010657",46,"N",13,"W"
"SUWS010659",48,"N",13,"W"
"SUWS010660",49,"N",10,"W"
"SUWS010663",49,"N",10,"W"
"SUWS010667",49,"N",10,"W"
"SUWS010672",49,"N",13,"W"
"SUWS010673",49,"N",13,"W"
"SUWS010676",47,"N",12,"W"
"SUWS010682",49,"N",13,"W"
"SUWS010683",49,"N",13,"W"
"SUWS010686",49,"N",13,"W"
"SUWS010692",49,"N",10,"W"
"SUWS010695",45,"N",6,"W"
"SUWS010707",47,"N",14,"W"
"SUWS010710",47,"N",14,"W"
"SUWS010717",49,"N",14,"W"
"SUWS010722",45,"N",7,"W"
"SUWS010725b",46,"N",8,"W"
"SUWS010728",47,"N",8,"W"
"SUWS010728b",44,"N",12,"W"
"SUWS010730",48,"N",14,"W"
"SUWS010734",3,"N",22,"E"
"SUWS010735",47,"N",15,"W"
"SUWS010739",47,"N",14,"W"
"SUWS010741",48,"N",9,"W"
"SUWS010742",52,"N",3,"W"
"SUWS010743",3,"N",22,"E"
"SUWS010745",48,"N",10,"W"
"SUWS010748",46,"N",11,"W"
"SUWS010765",49,"N",14,"W"
"SUWS010769",49,"N",13,"W"
"SUWS010770",49,"N",10,"W"
"SUWS010772",46,"N",10,"W"
"SUWS010775",9,"N",2,"W"
"SUWS010777",48,"N",12,"W"
"SUWS010794",46,"N",15,"W"
"SUWS010803",47,"N",14,"W"
"SUWS010814",45,"N",6,"W"
"SUWS010818",49,"N",13,"W"
"SUWS010827",43,"N",15,"W"
"SUWS010828",47,"N",14,"W"
"SUWS010834",46,"N",10,"W"
"SUWS010837",47,"N",10,"W"
"SUWS010839",46,"N",15,"W"
"SUWS010840",47,"N",12,"W"
"SUWS010850",48,"N",14,"W"
"SUWS010852",47,"N",14,"W"
"SUWS010854",50,"N",7,"W"
"SUWS010861",49,"N",12,"W"
"SUWS010865",47,"N",15,"W"
"SUWS010866",45,"N",15,"W"
"SUWS010870",47,"N",15,"W"
"SUWS010872",49,"N",13,"W"
"SUWS010874",46,"N",15,"W"
"SUWS010879",44,"N",11,"W"
"SUWS010885",16,"N",8,"W"
"SUWS010886",43,"N",14,"W"
"SUWS010888",46,"N",15,"W"
"SUWS010896",45,"N",12,"W"
"SUWS010897",46,"N",15,"W"
"SUWS010898",47,"N",14,"W"
"SUWS010903",11,"N",5,"E"
"SUWS010904",32,"N",7,"W"
"SUWS010904b",16,"N",7,"W"
"SUWS010909",47,"N",12,"W"
"SUWS010918",49,"N",14,"W"
"SUWS010933",47,"N",10,"W"
"SUWS010935",49,"N",14,"W"
"SUWS010936",20,"N",12,"W"
"SUWS010940",15,"N",7,"W"
"SUWS010941",49,"N",13,"W"
