"catalogNumber","N_latitude","W_longitude"
"SUWS011061","46.681220 N"," 92.066310 W"
"SUWS011062","46.681220 N"," 92.066310 W"
"SUWS011069","46.572850 N"," 91.699910 W"
"SUWS011070","46.342280 N"," 91.349010 W"
"SUWS011071","46.342280 N"," 91.349010 W"
"SUWS011072","46.342280 N"," 91.349010 W"
"SUWS011076","46.342280 N"," 91.349010 W"
"SUWS011078","46.342280 N"," 91.349010 W"
"SUWS011083","46.342280 N"," 91.349010 W"
"SUWS011084","46.342280 N"," 91.349010 W"
"SUWS011090","46.342280 N"," 91.349010 W"
"SUWS011091","46.342280 N"," 91.349010 W"
"SUWS011092","46.342280 N"," 91.349010 W"
"SUWS011104","44.761150 N"," 92.487410 W"
"SUWS011105","43.667240 N"," 90.223460 W"
"SUWS011112","46.712310 N"," 92.091360 W"
"SUWS011113","46.342280 N"," 91.349010 W"
"SUWS011115","46.342280 N"," 91.349010 W"
"SUWS011117","46.712310 N"," 92.091360 W"
"SUWS011118","46.489860 N"," 92.184140 W"
"SUWS011120","46.353270 N"," 91.822410 W"
"SUWS011121","46.718100 N"," 92.114680 W"
"SUWS011122","46.716880 N"," 92.074360 W"
"SUWS011123","46.342280 N"," 91.349010 W"
"SUWS011124","46.342280 N"," 91.349010 W"
"SUWS011125","46.342280 N"," 91.349010 W"
"SUWS011126","46.342280 N"," 91.349010 W"
"SUWS011128","46.363170 N"," 91.374240 W"
"SUWS011130","46.035700 N"," 92.271740 W"
"SUWS011132","46.681220 N"," 92.066310 W"
"SUWS011138","42.835280 N"," 89.067610 W"
"SUWS011148","46.681220 N"," 92.066310 W"
"SUWS011151","46.712310 N"," 92.091360 W"
"SUWS011152","42.835280 N"," 89.067610 W"
"SUWS011154","46.489860 N"," 92.184140 W"
"SUWS011161","46.717840 N"," 92.087860 W"
"SUWS011162","46.712530 N"," 92.104440 W"
"SUWS011173","46.362590 N"," 91.399820 W"
"SUWS011177","46.342280 N"," 91.349010 W"
"SUWS011181","46.342280 N"," 91.349010 W"
"SUWS011183","46.336860 N"," 91.174090 W"
"SUWS011187","46.295540 N"," 91.521410 W"
"SUWS011195","45.766880 N"," 92.384590 W"
"SUWS011198","46.208010 N"," 91.292130 W"
"SUWS011199","46.349520 N"," 91.349010 W"
"SUWS011201","46.342280 N"," 91.349010 W"
"SUWS011202","46.342280 N"," 91.349010 W"
"SUWS011214","46.828150 N"," 90.666940 W"
"SUWS011218","43.879880 N"," 90.159230 W"
"SUWS011221","46.713450 N"," 92.112320 W"
"SUWS011224","46.681220 N"," 92.066310 W"
"SUWS011225","45.696630 N"," 90.400430 W"
"SUWS011229","46.235550 N"," 91.257970 W"
"SUWS011238","46.732160 N"," 92.066300 W"
"SUWS011239","46.342280 N"," 91.349010 W"
"SUWS011241","46.654970 N"," 92.104420 W"
"SUWS011242","46.362590 N"," 91.399820 W"
"SUWS011243","46.385120 N"," 91.336900 W"
"SUWS011245","46.535290 N"," 91.582110 W"
"SUWS011247","46.717840 N"," 92.087860 W"
"SUWS011248","46.712310 N"," 92.091360 W"
"SUWS011255","46.681220 N"," 92.066310 W"
"SUWS011257","46.489170 N"," 91.554950 W"
"SUWS011259","46.522770 N"," 91.567310 W"
"SUWS011263","46.342280 N"," 91.349010 W"
"SUWS011264","46.342280 N"," 91.349010 W"
"SUWS011265","46.342280 N"," 91.349010 W"
"SUWS011266","46.342280 N"," 91.349010 W"
"SUWS011267","46.342280 N"," 91.349010 W"
"SUWS011269","46.342280 N"," 91.349010 W"
"SUWS011271","46.342280 N"," 91.349010 W"
"SUWS011273","46.342280 N"," 91.349010 W"
"SUWS011277","46.717010 N"," 92.093500 W"
"SUWS011281","46.681220 N"," 92.066310 W"
"SUWS011283","43.820450 N"," 91.232200 W"
"SUWS011291","46.342280 N"," 91.349010 W"
"SUWS011292","46.302450 N"," 91.221020 W"
"SUWS011294","46.342280 N"," 91.349010 W"
"SUWS011296","46.342280 N"," 91.349010 W"
"SUWS011297","46.724590 N"," 92.091960 W"
"SUWS011300","46.681220 N"," 92.066310 W"
"SUWS011301","46.705450 N"," 92.104040 W"
"SUWS011302","46.489860 N"," 92.184140 W"
"SUWS011304","46.489860 N"," 92.184140 W"
"SUWS011307","46.712310 N"," 92.091360 W"
"SUWS011316","46.342280 N"," 91.349010 W"
"SUWS011317","46.342280 N"," 91.349010 W"
"SUWS011319","46.489860 N"," 92.184140 W"
"SUWS011323","46.586040 N"," 91.720740 W"
"SUWS011324","46.342280 N"," 91.349010 W"
"SUWS011325","46.342280 N"," 91.349010 W"
"SUWS011328","46.489860 N"," 92.184140 W"
"SUWS011332","46.336890 N"," 91.257970 W"
"SUWS011333","46.336890 N"," 91.257970 W"
"SUWS011335","46.681220 N"," 92.066310 W"
"SUWS011336","46.367450 N"," 91.108250 W"
"SUWS011337","46.717840 N"," 92.087860 W"
"SUWS011342","46.724590 N"," 92.091960 W"
"SUWS011349","46.342280 N"," 91.349010 W"
