"catalogNumber","N_latitude","W_longitude"
"SUWS015369","46.882440 N"," 90.481010 W"
"SUWS015370","45.334580 N"," 92.687250 W"
"SUWS015376","46.208010 N"," 91.292130 W"
"SUWS015382","46.489860 N"," 92.184140 W"
"SUWS015388","46.208010 N"," 91.292130 W"
"SUWS015397","46.489860 N"," 92.184140 W"
"SUWS015407","46.696630 N"," 92.034950 W"
"SUWS015411","46.673110 N"," 91.972140 W"
"SUWS015413","46.682110 N"," 92.150820 W"
"SUWS015416","46.489860 N"," 92.184140 W"
"SUWS015417","46.309160 N"," 92.154920 W"
"SUWS015422","46.673110 N"," 91.972140 W"
"SUWS015426","46.489860 N"," 92.184140 W"
"SUWS015438","46.489860 N"," 92.184140 W"
"SUWS015441","46.543220 N"," 92.046350 W"
"SUWS015464","46.425500 N"," 91.669080 W"
"SUWS015467","46.021570 N"," 92.339380 W"
"SUWS015472","46.681220 N"," 92.066310 W"
"SUWS015473","46.722080 N"," 92.094950 W"
"SUWS015484","46.489860 N"," 92.184140 W"
"SUWS015487","46.491310 N"," 92.283840 W"
"SUWS015494","46.600550 N"," 91.616060 W"
"SUWS015499","46.569270 N"," 91.627380 W"
"SUWS015501","46.051670 N"," 92.302640 W"
"SUWS015502","46.051670 N"," 92.302640 W"
"SUWS015509","44.059360 N"," 87.736210 W"
"SUWS015512","46.318620 N"," 91.279250 W"
"SUWS015513","44.976130 N"," 92.680350 W"
"SUWS015514","46.477750 N"," 92.061050 W"
"SUWS015525","46.696620 N"," 92.034980 W"
"SUWS015529","46.553000 N"," 91.576580 W"
"SUWS015533","46.535290 N"," 91.582110 W"
"SUWS015534","46.682110 N"," 91.602970 W"
"SUWS015538","46.589660 N"," 91.720740 W"
"SUWS015552","46.732160 N"," 92.066300 W"
"SUWS015570","45.224320 N"," 91.567830 W"
"SUWS015587","46.559110 N"," 91.322690 W"
"SUWS015608","43.403650 N"," 90.626870 W"
"SUWS015613","46.130350 N"," 90.668670 W"
"SUWS015614","44.020830 N"," 91.495480 W"
"SUWS015619","43.750970 N"," 90.890380 W"
"SUWS015630","43.975910 N"," 90.752070 W"
"SUWS015636","43.975910 N"," 90.752070 W"
"SUWS015637","46.130350 N"," 90.668670 W"
"SUWS015640","43.741440 N"," 90.899300 W"
"SUWS015644","43.801360 N"," 91.239580 W"
"SUWS015659","43.729410 N"," 91.225410 W"
"SUWS015660","43.729410 N"," 91.225410 W"
"SUWS015670","46.130350 N"," 90.668670 W"
"SUWS015673","44.019720 N"," 91.486810 W"
"SUWS015677","44.019720 N"," 91.486810 W"
"SUWS015682","43.891860 N"," 91.114590 W"
"SUWS015688","46.130350 N"," 90.668670 W"
"SUWS015689","44.020830 N"," 91.495480 W"
"SUWS015690","44.020830 N"," 91.495480 W"
"SUWS015691","46.403700 N"," 91.317130 W"
"SUWS015693","46.344000 N"," 91.363980 W"
"SUWS015706","46.717840 N"," 92.087860 W"
"SUWS015714","43.975910 N"," 90.752070 W"
"SUWS015716","43.729410 N"," 91.225410 W"
"SUWS015729","43.975910 N"," 90.752070 W"
"SUWS015738","46.130350 N"," 90.668670 W"
"SUWS015739","46.342280 N"," 91.349010 W"
"SUWS015746","46.489860 N"," 92.184140 W"
"SUWS015751","46.489860 N"," 92.184140 W"
"SUWS015760","46.724590 N"," 92.091960 W"
"SUWS015765","43.756980 N"," 90.949540 W"
"SUWS015781","44.070360 N"," 89.758340 W"
"SUWS015798","46.708010 N"," 92.104080 W"
"SUWS015811","46.694720 N"," 91.992650 W"
"SUWS015844","46.712310 N"," 92.091360 W"
"SUWS015848","42.678070 N"," 88.276200 W"
"SUWS015850","43.571440 N"," 90.666730 W"
"SUWS015863","46.712310 N"," 92.091360 W"
"SUWS015876","43.950000 N"," 90.620000 W"
"SUWS015931","43.904250 N"," 90.915700 W"
"SUWS015943","46.723130 N"," 92.133860 W"
"SUWS015955","46.435300 N"," 91.672620 W"
"SUWS015961","46.580220 N"," 91.668800 W"
"SUWS015963","46.477600 N"," 92.070440 W"
"SUWS015965","43.941110 N"," 90.809340 W"
"SUWS015971","46.477750 N"," 92.061050 W"
"SUWS015988","43.667240 N"," 90.223460 W"
"SUWS015992","46.553000 N"," 91.576580 W"
"SUWS015994","46.555000 N"," 91.576580 W"
"SUWS016007","46.681220 N"," 92.066310 W"
"SUWS016010","46.519310 N"," 90.603700 W"
"SUWS016012","46.489860 N"," 92.184140 W"
"SUWS016020","46.478830 N"," 91.602970 W"
"SUWS016021","46.681220 N"," 92.066310 W"
"SUWS016022","44.059360 N"," 87.736210 W"
"SUWS0160224","44.025160 N"," 88.535040 W"
"SUWS016024","44.025160 N"," 88.535040 W"
"SUWS016027","46.608000 N"," 91.972990 W"
"SUWS016028","43.733270 N"," 90.976860 W"
"SUWS016029","43.733270 N"," 90.976860 W"
"SUWS016040","46.342280 N"," 91.349010 W"
"SUWS016045","46.691110 N"," 91.917310 W"
"SUWS016048","46.634660 N"," 92.107410 W"
"SUWS016053","46.681220 N"," 92.066310 W"
"SUWS016056","46.706270 N"," 92.099490 W"
"SUWS016062","46.208010 N"," 91.292130 W"
"SUWS016077","46.477750 N"," 92.061050 W"
"SUWS016079","46.532570 N"," 92.059850 W"
"SUWS016081","46.342280 N"," 91.349010 W"
"SUWS016087","46.682110 N"," 92.150820 W"
"SUWS016088","46.021570 N"," 92.339380 W"
"SUWS016097","46.706270 N"," 92.099490 W"
"SUWS016098","45.967410 N"," 92.363490 W"
"SUWS016108","46.938270 N"," 90.652960 W"
"SUWS016111","46.774660 N"," 91.386570 W"
"SUWS016119","46.489860 N"," 92.184140 W"
"SUWS016120","46.938270 N"," 90.652960 W"
"SUWS016128","46.715830 N"," 92.108110 W"
"SUWS016131","45.698950 N"," 87.994850 W"
"SUWS016136","44.732180 N"," 92.446640 W"
"SUWS016139","46.589660 N"," 91.720740 W"
"SUWS016140","46.553000 N"," 91.576580 W"
"SUWS016144","46.489860 N"," 92.184140 W"
"SUWS016145","46.468060 N"," 91.745180 W"
"SUWS016146","46.497910 N"," 91.374860 W"
"SUWS016151","46.353270 N"," 91.822410 W"
"SUWS016154","46.489860 N"," 92.184140 W"
"SUWS016155","46.489860 N"," 92.184140 W"
"SUWS016163","46.654970 N"," 92.104420 W"
"SUWS016164","46.654970 N"," 92.104420 W"
"SUWS016165","46.654970 N"," 92.104420 W"
"SUWS016166","43.750970 N"," 90.890380 W"
"SUWS016167","43.768850 N"," 90.898300 W"
"SUWS016179","46.732160 N"," 92.066300 W"
"SUWS016183","46.681220 N"," 92.066310 W"
"SUWS016189","46.342280 N"," 91.349010 W"
"SUWS016191","46.342280 N"," 91.349010 W"
"SUWS016192","46.681220 N"," 92.066310 W"
"SUWS016193","46.342280 N"," 91.349010 W"
"SUWS016196","46.681220 N"," 92.066310 W"
"SUWS016206","46.724590 N"," 92.091960 W"
"SUWS016210","44.019720 N"," 91.483000 W"
"SUWS016212","46.681220 N"," 92.066310 W"
"SUWS016214","46.342280 N"," 91.349010 W"
"SUWS016215","46.717840 N"," 92.087860 W"
"SUWS016221","45.334580 N"," 92.687250 W"
"SUWS016229","44.019720 N"," 91.483000 W"
"SUWS016239","46.496960 N"," 92.259050 W"
"SUWS016243","46.489860 N"," 92.184140 W"
"SUWS016247","46.938270 N"," 90.652960 W"
"SUWS016256","46.464110 N"," 91.899400 W"
"SUWS016257","44.819070 N"," 87.353700 W"
"SUWS016258","46.435300 N"," 91.672620 W"
"SUWS016260","46.342280 N"," 91.349010 W"
"SUWS016263","46.489860 N"," 92.184140 W"
"SUWS016266","46.435300 N"," 91.672620 W"
"SUWS016297","46.342280 N"," 91.349010 W"
"SUWS016298","46.345310 N"," 91.292470 W"
"SUWS016547","46.734660 N"," 92.101680 W"
"SUWS016548","46.734660 N"," 92.101680 W"
"SUWS016549","46.734660 N"," 92.101680 W"
"SUWS016550","46.734660 N"," 92.101680 W"
"SUWS016551","46.734660 N"," 92.101680 W"
"SUWS016552","46.734660 N"," 92.101680 W"
"SUWS016553","46.734660 N"," 92.101680 W"
"SUWS016554","46.734660 N"," 92.101680 W"
"SUWS016555","46.734660 N"," 92.101680 W"
"SUWS016556","46.734660 N"," 92.101680 W"
"SUWS016596","46.593920 N"," 92.119510 W"
"SUWS016597","46.707190 N"," 92.085290 W"
"SUWS016598","46.593920 N"," 92.119510 W"
"SUWS016602","46.588200 N"," 92.125770 W"
"SUWS016603","46.588200 N"," 92.125770 W"
"SUWS016604","46.707190 N"," 92.085290 W"
"SUWS016605","46.681220 N"," 92.066310 W"
"SUWS016610","46.707190 N"," 92.085290 W"
"SUWS016611","46.593920 N"," 92.119510 W"
"SUWS016627","46.681220 N"," 92.066310 W"
"SUWS016643","46.717840 N"," 92.087860 W"
"SUWS016650","46.681220 N"," 92.066310 W"
"SUWS016651","46.681220 N"," 92.066310 W"
"SUWS016653","46.681220 N"," 92.066310 W"
"SUWS016657","46.681220 N"," 92.066310 W"
"SUWS016658","46.681220 N"," 92.066310 W"
"SUWS016659","46.707190 N"," 92.085290 W"
"SUWS016660","46.681220 N"," 92.066310 W"
"SUWS016662","46.717840 N"," 92.087860 W"
"SUWS016666","46.681220 N"," 92.066310 W"
"SUWS016672","46.681220 N"," 92.066310 W"
"SUWS016673","46.681220 N"," 92.066310 W"
"SUWS016674","46.681220 N"," 92.066310 W"
"SUWS016695","46.717840 N"," 92.087860 W"
"SUWS016696","46.717840 N"," 92.087860 W"
"SUWS016698","46.717840 N"," 92.087860 W"
"SUWS016700","46.681220 N"," 92.066310 W"
"SUWS016707","46.707190 N"," 92.085290 W"
"SUWS016718","46.938270 N"," 90.652960 W"
"SUWS016719","46.810770 N"," 90.818240 W"
"SUWS016720","46.938270 N"," 90.652960 W"
"SUWS016721","46.938270 N"," 90.652960 W"
"SUWS016722","46.938270 N"," 90.652960 W"
"SUWS016723","46.938270 N"," 90.652960 W"
"SUWS016724","46.417200 N"," 91.814420 W"
"SUWS016731","46.135120 N"," 89.900440 W"
"SUWS016732","46.135120 N"," 89.900440 W"
"SUWS016733","46.135120 N"," 89.900440 W"
"SUWS016734","45.377190 N"," 89.296630 W"
"SUWS016735","45.377190 N"," 89.296630 W"
"SUWS016736","45.377190 N"," 89.296630 W"
"SUWS016755","45.377190 N"," 89.296630 W"
"SUWS016764","44.285910 N"," 87.772980 W"
"SUWS016766","45.377190 N"," 89.296630 W"
"SUWS016767","46.135120 N"," 89.900440 W"
"SUWS016768","45.377190 N"," 89.296630 W"
"SUWS016769","45.377190 N"," 89.296630 W"
"SUWS016770","45.377190 N"," 89.296630 W"
"SUWS016772","46.681220 N"," 92.066310 W"
"SUWS016777","45.452640 N"," 88.865260 W"
"SUWS016778","45.452640 N"," 88.865260 W"
"SUWS016783","46.771860 N"," 92.085290 W"
"SUWS016784","46.771860 N"," 92.085290 W"
"SUWS016787","45.452640 N"," 88.865260 W"
"SUWS016788","45.452640 N"," 88.865260 W"
"SUWS016827","45.377190 N"," 89.296630 W"
"SUWS016935","46.717840 N"," 92.087860 W"
"SUWS016936","46.717840 N"," 92.087860 W"
"SUWS017025","46.593920 N"," 92.119510 W"
"SUWS017082","46.526670 N"," 92.122220 W"
"SUWS017083","46.477750 N"," 92.061050 W"
"SUWS017085","46.698000 N"," 92.159640 W"
"SUWS017086","46.526670 N"," 92.122220 W"
"SUWS017088","46.477750 N"," 92.061050 W"
"SUWS017090","45.776890 N"," 90.670330 W"
"SUWS017091","46.698000 N"," 92.159640 W"
"SUWS017092","46.526670 N"," 92.122220 W"
"SUWS017094","46.477750 N"," 92.061050 W"
"SUWS017095","45.776890 N"," 90.670330 W"
"SUWS017096","46.698000 N"," 92.159640 W"
"SUWS017097","46.526670 N"," 92.122220 W"
"SUWS017099","45.795430 N"," 90.428670 W"
"SUWS017100","46.526670 N"," 92.122220 W"
"SUWS017101","46.474050 N"," 92.044870 W"
"SUWS017102","45.795430 N"," 90.428670 W"
"SUWS017103","46.698000 N"," 92.159640 W"
"SUWS017104","46.526670 N"," 92.122220 W"
"SUWS017105","46.474050 N"," 92.044870 W"
"SUWS017106","45.988020 N"," 90.509110 W"
"SUWS017107","45.776890 N"," 90.670330 W"
"SUWS017116","45.977650 N"," 92.365640 W"
"SUWS017117","46.070290 N"," 92.184680 W"
"SUWS017118","46.070290 N"," 92.184680 W"
"SUWS017119","46.070290 N"," 92.184680 W"
"SUWS017120","46.070290 N"," 92.184680 W"
"SUWS017121","46.093820 N"," 92.112430 W"
"SUWS017122","46.093820 N"," 92.112430 W"
"SUWS017123","46.093820 N"," 92.112430 W"
