"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS011429",48,"N",14,"W"
"SUWS011430",46,"N",12,"W"
"SUWS011431",46,"N",15,"W"
"SUWS011435",47,"N",11,"W"
"SUWS011437",47,"N",6,"W"
"SUWS011442",45,"N",8,"W"
"SUWS011443",45,"N",8,"W"
"SUWS011448",47,"N",10,"W"
"SUWS011449",18,"N",9,"W"
"SUWS011457",49,"N",14,"W"
"SUWS011458",49,"N",13,"W"
"SUWS011461",49,"N",14,"W"
"SUWS011462",49,"N",14,"W"
"SUWS011463",33,"N",10,"W"
"SUWS011468",45,"N",8,"W"
"SUWS011469",45,"N",8,"W"
"SUWS011470",45,"N",8,"W"
"SUWS011477",49,"N",14,"W"
"SUWS011478",49,"N",14,"W"
"SUWS011482",45,"N",8,"W"
"SUWS011483",49,"N",14,"W"
"SUWS011485",49,"N",14,"W"
"SUWS011486",49,"N",14,"W"
"SUWS011493",49,"N",14,"W"
"SUWS011495",49,"N",14,"W"
"SUWS011497",49,"N",14,"W"
"SUWS011498",49,"N",14,"W"
"SUWS011501",47,"N",11,"W"
"SUWS011502",46,"N",13,"W"
"SUWS011505",49,"N",12,"W"
"SUWS011506",49,"N",14,"W"
"SUWS011509",49,"N",14,"W"
"SUWS011512",49,"N",14,"W"
"SUWS011513",49,"N",14,"W"
"SUWS011514",49,"N",14,"W"
"SUWS011519",49,"N",14,"W"
"SUWS011520",49,"N",14,"W"
"SUWS011521",49,"N",14,"W"
"SUWS011526",49,"N",14,"W"
"SUWS011527",49,"N",14,"W"
"SUWS011528",49,"N",14,"W"
"SUWS011529",49,"N",14,"W"
"SUWS011531",49,"N",14,"W"
"SUWS011533",49,"N",14,"W"
"SUWS011537",51,"N",6,"W"
"SUWS011546",44,"N",11,"W"
"SUWS011550",49,"N",14,"W"
"SUWS011553",46,"N",15,"W"
"SUWS011554",46,"N",15,"W"
"SUWS011557",45,"N",8,"W"
"SUWS011558",49,"N",14,"W"
"SUWS011559",49,"N",13,"W"
"SUWS011560",46,"N",15,"W"
"SUWS011563",31,"N",19,"W"
"SUWS011564",45,"N",8,"W"
"SUWS011565",43,"N",7,"W"
"SUWS011566",43,"N",7,"W"
"SUWS011572",45,"N",8,"W"
"SUWS011573",49,"N",14,"W"
"SUWS011574",45,"N",8,"W"
"SUWS011575",49,"N",14,"W"
"SUWS011576",46,"N",15,"W"
"SUWS011577",45,"N",8,"W"
"SUWS011578",45,"N",8,"W"
"SUWS011579",46,"N",15,"W"
"SUWS011580",45,"N",8,"W"
"SUWS011584",49,"N",14,"W"
"SUWS011587",49,"N",14,"W"
"SUWS011588",49,"N",14,"W"
"SUWS011590",46,"N",5,"W"
"SUWS011591",45,"N",8,"W"
"SUWS011593",49,"N",14,"W"
"SUWS011602",49,"N",14,"W"
"SUWS011605",45,"N",8,"W"
"SUWS011607",44,"N",7,"W"
"SUWS011610",45,"N",8,"W"
"SUWS011611",47,"N",10,"W"
"SUWS011614",49,"N",14,"W"
"SUWS011617",45,"N",7,"W"
"SUWS011618",45,"N",8,"W"
"SUWS011619",46,"N",5,"W"
"SUWS011621",44,"N",7,"W"
"SUWS011622",45,"N",7,"W"
"SUWS011623",45,"N",8,"W"
"SUWS011624",45,"N",8,"W"
"SUWS011625",45,"N",8,"W"
"SUWS011628",45,"N",8,"W"
"SUWS011630",48,"N",14,"W"
"SUWS011631",49,"N",13,"W"
"SUWS011632",31,"N",19,"W"
"SUWS011639",49,"N",12,"W"
