OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
794,25,12,E,54952.60396,-188194664.6
795,25,12,W,54228.2315,-183795732.9
796,25,13,E,55118.897,-190001296.6
797,25,13,W,54193.49025,-183353389.2
798,25,14,E,55070.1871,-189232098.7
799,25,14,W,54287.7061,-184581212.8
800,25,15,E,56734.24461,-200459987
801,25,15,W,54355.08034,-184580005.6
802,25,16,E,54023.85941,-182854312.7
803,25,16,W,53811.81315,-180924375.7
804,25,17,E,54480.62601,-184809194.2
805,25,17,W,54346.27739,-184711539.6
806,25,18,E,54251.64411,-183038791.4
807,25,18,W,53906.90074,-179823490.7
808,25,19,E,52474.50768,-170739163.2
809,25,19,W,33619.86451,-35394860.8
810,25,20,E,53984.31696,-182017447.4
811,25,21,E,54672.33899,-187254399
812,25,22,E,54374.17062,-184863385.9
813,25,23,E,54020.32011,-184263026.9
814,25,24,E,54277.33852,-182875884.7
815,25,25,E,54366.08379,-170079833.4
816,25,26,E,18080.02617,-15264557.88
817,26,1,E,53598.15079,-179265477.9
818,26,1,W,54409.91226,-185054537.7
819,26,2,E,53434.11415,-178598503.2
820,26,2,W,54299.10897,-184064550.2
821,26,3,E,53628.92999,-179698119.2
822,26,3,W,54236.66753,-184290457.2
823,26,4,E,52922.17496,-174676541.8
824,26,4,W,54231.82196,-183248052.4
825,26,5,E,53720.8211,-180639217.4
826,26,5,W,54530.44453,-186337297.3
827,26,6,E,53486.31794,-179013891.1
828,26,6,W,54443.2751,-185561131
829,26,7,E,53527.13383,-178812442.4
830,26,7,W,54385.73434,-185043769.2
831,26,8,E,53410.77691,-178288534.4
832,26,8,W,54489.73954,-186072069
833,26,9,E,59581.07483,-219402081.3
834,26,9,W,54520.456,-185832645.1
835,26,10,E,54726.8712,-187208811.7
836,26,10,W,54360.12117,-184801724.4
837,26,11,E,54519.47066,-186330591.2
838,26,11,W,54300.55875,-184416472
839,26,12,E,54513.66688,-185386156.1
840,26,12,W,54341.6638,-184043781
841,26,13,E,55124.29497,-190186451.6
842,26,13,W,54368.05476,-185028017.4
843,26,14,E,54894.42444,-188708411.1
844,26,14,W,54463.98849,-184720637.9
845,26,15,E,56657.6067,-201255197.3
846,26,15,W,54135.77447,-183844725.5
847,26,16,E,55042.46552,-189472372.7
848,26,16,W,53659.55124,-179780081.4
849,26,17,E,55181.23958,-189667207.6
850,26,17,W,54307.05724,-184122013.1
851,26,18,E,55038.20044,-189572079
852,26,18,W,54453.43641,-185365473.8
853,26,19,E,54423.41759,-183231716.6
854,26,19,W,51648.1863,-173061814.5
855,26,20,E,54369.71774,-185006689.1
856,26,20,W,33246.39747,-58281320.93
857,26,21,E,55289.86138,-190522832.6
858,26,22,E,54874.20163,-188144980
859,26,23,E,54643.36741,-184212500.2
860,26,24,E,54406.41179,-185256445.2
861,26,25,E,54367.63758,-184715531.8
862,26,26,E,45764.52557,-94087905.92
863,27,1,E,53687.81421,-180502255.4
864,27,1,W,54644.10597,-186371784.7
865,27,2,E,53551.18587,-179386173.2
866,27,2,W,54274.22359,-184178179.4
867,27,3,E,53791.81097,-181222679
868,27,3,W,54130.68198,-183487634
869,27,4,E,52857.00163,-174346714.2
870,27,4,W,54261.01561,-184573788.1
871,27,5,E,53572.70237,-179398945.4
872,27,5,W,54469.65944,-184758057
